000			Stories of Legend
003-009-021	Russia
003-009-022	Greece
003-009-023	Italy
003-009-024	Monaco
003-009-025	Germany
003-009-026	France
003-009-027	Spain
003-009-028	Denmark
003-009-029	Norway
003-009-030	United Kingdom
003-009-031	Greenland
003-009-032	Canada
003-009-033	New York
003-009-034	Bermuda
003-009-035	Jamaica
003-009-036	Colombia
003-009-037	Brazil
003-009-038	Argentina
003-009-039	Machu Picchu
003-009-040	Easter Island
003-009-041	Mexico
003-009-042	NASA
003-009-043	Las Vegas
003-009-044	Hollywood
003-009-045	Alaska
003-009-046	Hawaii
003-009-047	Moon Ch.1
003-009-049	Moon Ch.2
003-009-050	Moon Ch.3
003-010		ItF Ch.1 Zombie
003-010-000	Japan
003-010-001	Korea
003-010-002	China
003-010-003	Mongolia
003-010-004	Russia
003-010-005	Norway
003-010-006	United Kingdom
003-010-007	Denmark
003-010-008	Germany
003-010-009	France
003-010-010	Spain
003-010-011	Monako
003-010-012	Italy
003-010-013	Greece
003-010-014	Turkey
003-010-015	Dubai
003-010-016	India
003-010-017	Nepal
003-010-018	Thailand
003-010-019	Cambodia
003-010-020	Philippines
003-010-021	Singapore
003-010-022	Australia
003-010-023	The Great Abyss
003-010-024	Madagascar
003-010-025	Kenya
003-010-026	Saudi Arabia
003-010-027	Egypt
003-010-028	Sahara
003-010-029	Ghana
003-010-030	South Africa
003-010-031	Argentina
003-010-032	Easter Island
003-010-033	Machu Picchu
003-010-034	Columbia
003-010-035	Jamaica
003-010-036	Mexico
003-010-037	Hollywood
003-010-038	Las Vegas
003-010-039	Alaska
003-010-040	Canada
003-010-041	Greenland
003-010-042	New York
003-010-043	NASA
003-010-044	Bermuda
003-010-045	Brazil
003-010-046	Floating Continent
003-010-047	Moon
003-011		Filibuster Invasion
003-011-000	Filibuster Invasion
003-012		ItF Ch.2 Zombie
003-012-000	Japan
003-012-001	Korea
003-012-002	China
003-012-003	Mongolia
003-012-004	Russia
003-012-005	Norway
003-012-006	United Kingdom
003-012-007	Denmark
003-012-008	Germany
003-012-009	France
003-012-010	Spain
003-012-011	Monako
003-012-012	Italy
003-012-013	Greece
003-012-014	Turkey
003-012-015	Dubai
003-012-016	India
003-012-017	Nepal
003-012-018	Thailand
003-012-019	Cambodia
003-012-020	Philippines
003-012-021	Singapore
003-012-022	Australia
003-012-023	The Great Abyss
003-012-024	Madagascar
003-012-025	Kenya
003-012-026	Saudi Arabia
003-012-027	Egypt
003-012-028	Sahara
003-012-029	Ghana
003-012-030	South Africa
003-012-031	Argentina
003-012-032	Easter Island
003-012-033	Machu Picchu
003-012-034	Columbia
003-012-035	Jamaica
003-012-036	Mexico
003-012-037	Hollywood
003-012-038	Las Vegas
003-012-039	Alaska
003-012-040	Canada
003-012-041	Greenland
003-012-042	New York
003-012-043	NASA
003-012-044	Bermuda
003-012-045	Brazil
003-012-046	Floating Continent
003-012-047	Moon
003-013		ItF Ch.3 Zombie
003-013-000	Japan
003-013-001	Korea
003-013-002	China
003-013-003	Mongolia
003-013-004	Russia
003-013-005	Norway
003-013-006	United Kingdom
003-013-007	Denmark
003-013-008	Germany
003-013-009	France
003-013-010	Spain
003-013-011	Monako
003-013-012	Italy
003-013-013	Greece
003-013-014	Turkey
003-013-015	Dubai
003-013-016	India
003-013-017	Nepal
003-013-018	Thailand
003-013-019	Cambodia
003-013-020	Philippines
003-013-021	Singapore
003-013-022	Australia
003-013-023	The Great Abyss
003-013-024	Madagascar
003-013-025	Kenya
003-013-026	Saudi Arabia
003-013-027	Egypt
003-013-028	Sahara
003-013-029	Ghana
003-013-030	South Africa
003-013-031	Argentina
003-013-032	Easter Island
003-013-033	Machu Picchu
003-013-034	Columbia
003-013-035	Jamaica
003-013-036	Mexico
003-013-037	Hollywood
003-013-038	Las Vegas
003-013-039	Alaska
003-013-040	Canada
003-013-041	Greenland
003-013-042	New York
003-013-043	NASA
003-013-044	Bermuda
003-013-045	Brazil
003-013-046	Floating Continent
003-013-047	Moon
004			Extra
004-000		Growing Green
004-000-000	Catfruit Jubilee
004-000-001	Catfruit Jubilee
004-000-002	Catfruit Jubilee
004-001		Growing Purple
004-001-000	Catfruit Jubilee
004-001-001	Catfruit Jubilee
004-001-002	Catfruit Jubilee
004-002		Growing Red
004-002-000	Catfruit Jubilee
004-002-001	Catfruit Jubilee
004-002-002	Catfruit Jubilee
004-003		Growing Blue
004-003-000	Catfruit Jubilee
004-003-001	Catfruit Jubilee
004-003-002	Catfruit Jubilee
004-004		Growing Yellow
004-004-000	Catfruit Jubilee
004-004-001	Catfruit Jubilee
004-004-002	Catfruit Jubilee
004-005		Bad to Worse
004-005-000	Doom Paradise (Insane)
004-006		Day of Judgement
004-006-000	Acts of Cat-God (Insane)
004-007		Techneurosis
004-007-000	Space is the Place (Insane)
004-008		Catfruit Buffet
004-008-000	Violet Flash (Hard)
004-009		Catfruit Buffet
004-009-000	Red Passions (Hard)
004-010		Catfruit Buffet
004-010-000	Blue Illusion (Hard)
004-011		Catfruit Buffet
004-011-000	Rays of Gold (Hard)
004-012		Catfruit Buffet
004-012-000	Violet Flash (Expert)
004-013		Catfruit Buffet
004-013-000	Red Passions (Expert)
004-014		Catfruit Buffet
004-014-000	Blue Illusion (Expert)
004-015		Catfruit Buffet
004-015-000	Rays of Gold (Expert)
004-016		Catfruit Buffet
004-016-000	Violet Flash (Insane)
004-017		Catfruit Buffet
004-017-000	Red Passions (Insane)
004-018		Catfruit Buffet
004-018-000	Blue Illusion (Insane)
004-019		Catfruit Buffet
004-019-000	Rays of Gold (Insane)
004-020		Catfruit Buffet
004-020-000	Catfruit Jubilee
004-020-001	Catfruit Jubilee
004-020-002	Catfruit Jubilee
004-021		Crazed Moneko
004-021-000	in THE MOON
004-022		Growing Strange
004-022-000	Color of Blood (Merciless)
004-022-001	Fear of Flying (Merciless)
004-022-002	Hearts of Darkness (Merciless)
004-022-003	Holy Wrath (Merciless)
004-022-004	Galactic Threat (Merciless)
004-022-005	Clash of Steel (Merciless)
004-022-006	Seas of Death (Merciless)

006			Catclaw Dogo
006-000

007			Heavenly Tower
007-000		Heavenly Tower
007-000-000	Floor 1
007-000-001	Floor 2
007-000-002	Floor 3
007-000-003	Floor 4
007-000-004	Floor 5   
007-000-005	Floor 6
007-000-006	Floor 7
007-000-007	Floor 8
007-000-008	Floor 9
007-000-009	Floor 10
007-000-010	Floor 11
007-000-011	Floor 12
007-000-012	Floor 13
007-000-013	Floor 14
007-000-014	Floor 15
007-000-015	Floor 16
007-000-016	Floor 17
007-000-017	Floor 18
007-000-018	Floor 19
007-000-019	Floor 20
007-000-020	Floor 21
007-000-021	Floor 22
007-000-022	Floor 23
007-000-023	Floor 24
007-000-024	Floor 25
007-000-025	Floor 26
007-000-026	Floor 27
007-000-027	Floor 28
007-000-028	Floor 29
007-000-029	Floor 30
007-000-030	Floor 31
007-000-031	Floor 32
007-000-032	Floor 33
007-000-033	Floor 34
007-000-034	Floor 35
007-000-035	Floor 36
007-000-036	Floor 37
007-000-037	Floor 38
007-000-038	Floor 39
007-000-039	Floor 40
007-000-040	Floor 41
007-000-041	Floor 42
007-000-042	Floor 43
007-000-043	Floor 44
007-000-044	Floor 45
007-000-045	Floor 46
007-000-046	Floor 47
007-000-047	Floor 48
007-000-048	Floor 49
007-000-049	Floor 50

011			Ranking Dojo Stages
011-000

012			Challenge Mode
012-000		Challenge
012-000-000	Challenge

013			Uncanny Legends
013-000		A New Legend
013-000-000	An Ancient Curse
013-001		Here Be Dragons
013-001-000	Pilaf Field
013-001-001	Nyandaria
013-001-002	Annin Pass
013-001-003	Ajillo Highlands
013-001-004	Pasta Desert
013-001-005	Mince Hill
013-002		The Endless Wood
013-002-000	Kosamin Ruins
013-002-001	Shallow Sea Green
013-002-002	Playing Bandits
013-002-003	Buggy Hollows
013-002-004	Thriller Grin
013-002-005	John Gool
013-003		Primeval Currents
013-003-000	Marine Town
013-003-001	Wandering Conch
013-003-002	Palcaccio Waters
013-003-003	Utsubobo Seamount
013-003-004	Frontier Dawn
013-003-005	Rutsborg Vortex
013-004		Barking Bay
013-004-000	Crowded Surf
013-004-001	Mutinous Waves
013-004-002	Buoys & Gills
013-004-003	On the Rocks
013-004-004	Seahorse Siren
013-004-005	Young Cuttlefish
013-005		Abyss Gazers
013-005-000	Deadly Weapons
013-005-001	Inspirational Mural
013-005-002	Sunlit Caves
013-005-003	Glittering Peaks
013-005-004	Murmuring Evil
013-005-005	Languid Lakeside
013-006		Neo-Necropolis
013-006-000	Midnight Lycopene
013-006-001	Metroasis
013-006-002	Paper Skyscraper
013-006-003	Rogue's Twilight
013-006-004	Concrete Ocean
013-006-005	Unmanned Station
013-007		Law of the Wildlands
013-007-000	Panic Tower
013-007-001	Lady in the Clink
013-007-002	No Hope Ranch
013-007-003	Hunter's Hills
013-007-004	Morbid Mesa
013-007-005	Revolver Ridge
013-008		Pararila Peninsula
013-008-000	Escolar Coast
013-008-001	Project Walrus
013-008-002	Loach Breach
013-008-003	Seagull Reserve
013-008-004	Roe Row
013-008-005	Heron's Call
013-009		Coup de Chat
013-009-000	Cricket Ideology
013-009-001	Gutter Lord
013-009-002	Veggie Friends
013-009-003	Snitches Get Stitches
013-009-004	Shocking Exile
013-009-005	The Red Cat Gambit
013-010		Cherry Isles
013-010-000	Magma Bath
013-010-001	Pyroclastic Flow
013-010-002	Ashen Rain
013-010-003	Sage of the Peak
013-010-004	Raging Caldera
013-010-005	Supervolcano
013-011		Depths of My Heart
013-011-000	A Joyful Song
013-011-001	Cave Maidens
013-011-002	Good Spirits
013-011-003	Woods of Resentment
013-011-004	Hermit Chatterbox
013-011-005	Primitive Souls
013-012		Ghost Sea
013-012-000	Iwa Rock Reef
013-012-001	Nautilus Tomb
013-012-002	Lost Sailors
013-012-003	Caged Carp
013-012-004	Quay of Camels
013-012-005	Endless Dead Zone
013-013		Exile's Resort
013-013-000	Holiday Atonement
013-013-001	A Private Rainforest
013-013-002	Rude on the Beach
013-013-003	13th Ward Resident
013-013-004	Spa of Ascension
013-013-005	Wonders of Nature
013-014		Roads of Torment
013-014-000	Pulling Hair
013-014-001	Mermaid Sauce
013-014-002	Lord's Lecture
013-014-003	Cracked Column
013-014-004	Guardian of Innocence
013-014-005	Total Myopia
013-015		Heaven's Back Alley
013-015-000	Eager Entryway
013-015-001	Fainting Porch
013-015-002	Hangover Couch
013-015-003	Tidy Kitchen
013-015-004	Bathtub of Whimsy
013-015-005	Lamb's Boudoir
013-016		Battle in the Bath
013-016-000	Steamworks Ltd.
013-016-001	Sticky Shower
013-016-002	Standing Sauna
013-016-003	Chilly Pool
013-016-004	Umibozu's House
013-016-005	Hot Spring Reception
013-017		Ancient Mountains
013-017-000	Famine Village
013-017-001	The Night of Claws
013-017-002	Rocky Surface
013-017-003	Exaggeration Falls
013-017-004	Abandoned Desire
013-017-005	Slave to Instinct
013-018		Marine Ministry
013-018-000	Beachhead Invasion
013-018-001	Forever Fishing
013-018-002	Triton's Cave
013-018-003	Nighttime Lure
013-018-004	The Bloody Wharf
013-018-005	Multitetrapod
013-019		The Devils' Academy
013-019-000	A Classroom in Ruins
013-019-001	Lonely Goldfish
013-019-002	Demon COO
013-019-003	Principal's Rebellion
013-019-004	Bell Collector
013-019-005	Campus Law
013-020		The Gelatin Mines
013-020-000	Furry Cavern
013-020-001	Mandatory Fun
013-020-002	Gas-Powered Birds
013-020-003	Stars in the Sewers
013-020-004	Postapocalypse Panic
013-020-005	Lifesaving Shovel
013-021		Drunken Foundry
013-021-000	Proletarian Box
013-021-001	Collapse Checker
013-021-002	Unmoving Conveyer
013-021-003	VIP Warehouse
013-021-004	Rebel Scraps
013-021-005	Smokestack to Heaven
013-022		Unearthed Artifacts
013-022-000	Loser's Complaint
013-022-001	Brave Dog's Bone
013-022-002	Poison Bog Cure
013-022-003	Patience Prevails
013-022-004	A Boat Too Far
013-022-005	Cursing the Curser
013-023		Realm of Whyworry
013-023-000	Authority and Gravity
013-023-001	Slave to Energy
013-023-002	Raise Your Torches
013-023-003	Despotism at Home
013-023-004	Unauthorized Breathing
013-023-005	Bare Fangs at the Throne
013-024		Pumping Titanium
013-024-000	Treadmill Powered
013-024-001	Vengeful Sandbag
013-024-002	Protein Cartel
013-024-003	Anaerobic Cycling
013-024-004	Sauna Handstands
013-024-005	Lakeside Bootcamp
013-025-000	Curry Comet
013-025-001	Icarus' Instinct
013-025-002	Rainbow Bridge Toll
013-025-003	Planetarium Love
013-025-004	Meteor Disco
013-025-005	Cats in the Stars
013-026		In the Sleeping Forest
013-026-000	The Prince's Woods
013-026-001	Aria of the Princess
013-026-002	Wicked Beauty
013-026-003	Glass Slippers
013-026-004	Guild of Masks
013-026-005	Happily Ever After
013-027-000	Flask Hill
013-027-001	Anatomy Forest
013-027-002	Formalin Marina
013-027-003	Swamp of Ignorance
013-027-004	Microscope Bridge
013-027-005	Burning Blue
013-028		Forgotten Graves
013-028-000	Slumbering Cavern
013-028-001	Cozy Corpses
013-028-002	Second Unlife
013-028-003	Defaced Tombstone
013-028-004	Botanical Burial
013-028-005	Sodden Bones
014			Night Stages
014-000		Growing Yellow
014-000-000	Rays of Gold (Hard)
014-000-001	Rays of Gold (Veteran)
014-000-002	Rays of Gold (Insane)
014-001		Growing Blue
014-001-000	Blue Illusion (Hard)
014-001-001	Blue Illusion (Expert)
014-001-002	Blue Illusion (Insane)
014-002		Growing Red
014-002-000	Red Passions (Hard)
014-002-001	Red Passions (Expert)
014-002-002	Red Passions (Insane)
014-003		Growing Purple
014-003-000	Violet Flash (Hard)
014-003-001	Violet Flash (Expert)
014-003-002	Violet Flash (Insane)
014-004		Growing Green
014-004-000	Green Envy (Hard)
014-004-001	Green Envy (Expert)
014-004-002	Green Envy (Insane)
014-005		Facing Danger
014-005-000	Steel Visage (Deadly)
014-006		Seige of Hippoe!
014-006-000	Super Metal Hippoe (Expert)
014-007		Cat Ticket Chance!
014-007-000	Love, Metal Hippoe (Hard)
014-008		Merciless XP!
014-008-000	Taste of Success (Merciless)
014-009		XP Colosseum
014-009-000	Tempered in Flame (Deadly)
014-010		XP Megablitz!
014-010-000	Refined Palate (Insane)
014-011		XP Stage
014-011-000	Sweet XP (Easy)
014-011-001	Sweet XP (Medium)
014-011-002	Sweet XP (Hard)
014-011-003	Sweet XP (Veteran)
014-011-004	Sweet XP (Expert)
014-011-005	Sweet XP (Insane)
014-012		Clionel Ascendant
014-012-000	No Plan A (Deadly)	
014-013		River Styx
014-013-000	Realm of Carnage (Deadly)
014-014		Queen's Coronation
014-014-000	Honey Trap (Deadly)
014-015		Dead on Debut
014-015-000	Parade of the Dead (Deadly)
014-016		King Wahwah's Revenge
014-016-000	N-1 Grand Prix (Deadly)
014-017		Deeply Dreaming
014-017-000	Bombergirl (Deadly)
014-018		Crimson Catastrophe
014-018-000	Attack on R-Cyclone (Expert)
014-019		Heaven of Darkness
014-019-000	Attack on B-Cyclone (Expert)
014-020		Peerless
014-020-000	Attack on W-Cyclone (Expert)
014-021		Wrath of Heaven
014-021-000	Oncoming Maelstrom (Expert)
014-022		Sweet Irony
014-022-000	Attack on Titanium (Insane)
014-023		Dimension of Despair
014-023-000	Black Hole Rising (Insane)
014-024		The Crazed Cat
014-024-000	Dark Souls (Insane)
014-025		The Crazed Tank
014-025-000	Absolute Defence (Insane)
014-026		The Crazed Axe
014-026-000	Berserk (Insane)
014-027		The Crazed Gross
014-027-000	Festival Gross (Insane)
014-028		The Crazed Cow
014-028-000	Head Shaker (Insane)
014-029		The Crazed Bird
014-029-000	Flappy Cat (Insane)
014-030		The Crazed Fish
014-030-000	Fish Hell (Insane)
014-031		The Crazed Lizard
014-031-000	Mammals? (Insane)
014-032		The Crazed Titan
014-032-000	Crazy Cats (Insane)
024			Baron Boss Stages
024-000		Baron Seal Strikes!
024-000-000	Red Alert 1
024-000-001	Red Alert 2
024-000-002	Red Alert 3
024-000-003	Red Alert 4
024-000-004	Red Alert 5
024-000-005	Red Alert 6
024-000-006	Red Alert 7
024-000-007	Red Alert 8
024-000-008	Red Alert 9
024-000-009	Red Alert 10
024-000-010	Red Alert 11
024-000-011	Red Alert 12
024-000-012	Red Alert 13
024-000-013	Red Alert 14
024-000-014	Red Alert 15
024-000-015	Red Alert 16
024-000-016	Red Alert 17
024-000-017	Red Alert 18
024-000-018	Red Alert 19
024-000-019	Red Alert 20
024-001		Baron Seal Strikes!!
024-001-000	Red Alert 21
024-001-001	Red Alert 22
024-001-002	Red Alert 23
024-001-003	Red Alert 24
024-001-004	Red Alert 25
024-001-005	Red Alert 26
024-001-006	Red Alert 27
024-001-007	Red Alert 28
024-001-008	Red Alert 29
024-001-009	Red Alert 30
024-001-010	Red Alert 31
024-001-011	Red Alert 32
024-001-012	Red Alert 33
024-001-013	Red Alert 34
024-001-014	Red Alert 35
024-001-015	Red Alert 36
024-001-016	Red Alert 37
024-001-017	Red Alert 38
024-001-018	Red Alert 39
024-001-019	Red Alert 40
024-002		Baron Seal Strikes!!!
024-002-000	Red Alert 41
024-002-001	Red Alert 42
024-002-002	Red Alert 43
024-002-003	Red Alert 44
024-002-004	Red Alert 45
024-002-005	Red Alert 46
024-002-006	Red Alert 47
024-002-007	Red Alert 48
024-002-008	Red Alert 49
024-002-009	Red Alert 50
024-002-010	Red Alert 51
024-002-011	Red Alert 52
024-002-012	Red Alert 53
024-002-013	Red Alert 54
024-002-014	Red Alert 55
024-002-015	Red Alert 56
024-002-016	Red Alert 57
024-002-017	Red Alert 58
024-002-018	Red Alert 59
024-002-019	Red Alert 60
024-003		Le'Grim Strikes!
024-003-000	Rampage Lv1
024-003-001	Rampage Lv2
024-003-002	Rampage Lv3
024-003-003	Rampage Lv4
024-003-004	Rampage Lv5
024-003-005	Rampage Lv6
024-003-006	Rampage Lv7
024-003-007	Rampage Lv8
024-003-008	Rampage Lv9
024-003-009	Rampage Lv10
024-003-010	Rampage Lv11
024-003-011	Rampage Lv12
024-003-012	Rampage Lv13
024-003-013	Rampage Lv14
024-003-014	Rampage Lv15
024-003-015	Rampage Lv16
024-003-016	Rampage Lv17
024-003-017	Rampage Lv18
024-003-018	Rampage Lv19
024-003-019	Rampage Lv20
024-004		Le'Grim Strikes!!
024-004-000	Rampage Lv21
024-004-001	Rampage Lv22
024-004-002	Rampage Lv23
024-004-003	Rampage Lv24
024-004-004	Rampage Lv25
024-004-005	Rampage Lv26
024-004-006	Rampage Lv27
024-004-007	Rampage Lv28
024-004-008	Rampage Lv29
024-004-009	Rampage Lv30
024-004-010	Rampage Lv31
024-004-011	Rampage Lv32
024-004-012	Rampage Lv33
024-004-013	Rampage Lv34
024-004-014	Rampage Lv35
024-004-015	Rampage Lv36
024-004-016	Rampage Lv37
024-004-017	Rampage Lv38
024-004-018	Rampage Lv39
024-004-019	Rampage Lv40
024-005		Le'Grim Strikes!!!
024-005-000	Rampage Lv41
024-005-001	Rampage Lv42
024-005-002	Rampage Lv43
024-005-003	Rampage Lv44
024-005-004	Rampage Lv45
024-005-005	Rampage Lv46
024-005-006	Rampage Lv47
024-005-007	Rampage Lv48
024-005-008	Rampage Lv49
024-005-009	Rampage Lv50
024-005-010	Rampage Lv51
024-005-011	Rampage Lv52
024-005-012	Rampage Lv53
024-005-013	Rampage Lv54
024-005-014	Rampage Lv55
024-005-015	Rampage Lv56
024-005-016	Rampage Lv57
024-005-017	Rampage Lv58
024-005-018	Rampage Lv59
024-005-019	Rampage Lv60
024-006		Mega Menace!
024-006-000	On Mighty Wings Lv1
024-006-001	On Mighty Wings Lv2
024-006-002	On Mighty Wings Lv3
024-006-003	On Mighty Wings Lv4
024-006-004	On Mighty Wings Lv5
024-006-005	On Mighty Wings Lv6
024-006-006	On Mighty Wings Lv7
024-006-007	On Mighty Wings Lv8
024-006-008	On Mighty Wings Lv9
024-006-009	On Mighty Wings Lv10
024-006-010	On Mighty Wings Lv11
024-006-011	On Mighty Wings Lv12
024-006-012	On Mighty Wings Lv13
024-006-013	On Mighty Wings Lv14
024-006-014	On Mighty Wings Lv15
024-006-015	On Mighty Wings Lv16
024-006-016	On Mighty Wings Lv17
024-006-017	On Mighty Wings Lv18
024-006-018	On Mighty Wings Lv19
024-006-019	On Mighty Wings Lv20
024-007		Mega Menace!!
024-007-000	On Mighty Wings Lv21
024-007-001	On Mighty Wings Lv22
024-007-002	On Mighty Wings Lv23
024-007-003	On Mighty Wings Lv24
024-007-004	On Mighty Wings Lv25
024-007-005	On Mighty Wings Lv26
024-007-006	On Mighty Wings Lv27
024-007-007	On Mighty Wings Lv28
024-007-008	On Mighty Wings Lv29
024-007-009	On Mighty Wings Lv30
024-007-010	On Mighty Wings Lv31
024-007-011	On Mighty Wings Lv32
024-007-012	On Mighty Wings Lv33
024-007-013	On Mighty Wings Lv34
024-007-014	On Mighty Wings Lv35
024-007-015	On Mighty Wings Lv36
024-007-016	On Mighty Wings Lv37
024-007-017	On Mighty Wings Lv38
024-007-018	On Mighty Wings Lv39
024-007-019	On Mighty Wings Lv40
024-008		Mega Menace!!!
024-008-000	On Mighty Wings Lv41
024-008-001	On Mighty Wings Lv42
024-008-002	On Mighty Wings Lv43
024-008-003	On Mighty Wings Lv44
024-008-004	On Mighty Wings Lv45
024-008-005	On Mighty Wings Lv46
024-008-006	On Mighty Wings Lv47
024-008-007	On Mighty Wings Lv48
024-008-008	On Mighty Wings Lv49
024-008-009	On Mighty Wings Lv50
024-008-010	On Mighty Wings Lv51
024-008-011	On Mighty Wings Lv52
024-008-012	On Mighty Wings Lv53
024-008-013	On Mighty Wings Lv54
024-008-014	On Mighty Wings Lv55
024-008-015	On Mighty Wings Lv56
024-008-016	On Mighty Wings Lv57
024-008-017	On Mighty Wings Lv58
024-008-018	On Mighty Wings Lv59
024-008-019	On Mighty Wings Lv60
024-009		Horrorpotamus!
024-009-000	Cosmic Juggernaut Lv.1
024-009-001	Cosmic Juggernaut Lv.2
024-009-002	Cosmic Juggernaut Lv.3
024-009-003	Cosmic Juggernaut Lv.4
024-009-004	Cosmic Juggernaut Lv.5
024-009-005	Cosmic Juggernaut Lv.6
024-009-006	Cosmic Juggernaut Lv.7
024-009-007	Cosmic Juggernaut Lv.8
024-009-008	Cosmic Juggernaut Lv.9
024-009-009	Cosmic Juggernaut Lv.10
024-009-010	Cosmic Juggernaut Lv.11
024-009-011	Cosmic Juggernaut Lv.12
024-009-012	Cosmic Juggernaut Lv.13
024-009-013	Cosmic Juggernaut Lv.14
024-009-014	Cosmic Juggernaut Lv.15
024-009-015	Cosmic Juggernaut Lv.16
024-009-016	Cosmic Juggernaut Lv.17
024-009-017	Cosmic Juggernaut Lv.18
024-009-018	Cosmic Juggernaut Lv.19
024-009-019	Cosmic Juggernaut Lv.20
024-010		Horrorpotamus!!
024-010-000	Cosmic Juggernaut Lv.21
024-010-001	Cosmic Juggernaut Lv.22
024-010-002	Cosmic Juggernaut Lv.23
024-010-003	Cosmic Juggernaut Lv.24
024-010-004	Cosmic Juggernaut Lv.25
024-010-005	Cosmic Juggernaut Lv.26
024-010-006	Cosmic Juggernaut Lv.27
024-010-007	Cosmic Juggernaut Lv.28
024-010-008	Cosmic Juggernaut Lv.29
024-010-009	Cosmic Juggernaut Lv.30
024-010-010	Cosmic Juggernaut Lv.31
024-010-011	Cosmic Juggernaut Lv.32
024-010-012	Cosmic Juggernaut Lv.33
024-010-013	Cosmic Juggernaut Lv.34
024-010-014	Cosmic Juggernaut Lv.35
024-010-015	Cosmic Juggernaut Lv.36
024-010-016	Cosmic Juggernaut Lv.37
024-010-017	Cosmic Juggernaut Lv.38
024-010-018	Cosmic Juggernaut Lv.39
024-010-019	Cosmic Juggernaut Lv.40
024-011		Horrorpotamus!!!
024-011-000	Cosmic Juggernaut Lv.41
024-011-001	Cosmic Juggernaut Lv.42
024-011-002	Cosmic Juggernaut Lv.43
024-011-003	Cosmic Juggernaut Lv.44
024-011-004	Cosmic Juggernaut Lv.45
024-011-005	Cosmic Juggernaut Lv.46
024-011-006	Cosmic Juggernaut Lv.47
024-011-007	Cosmic Juggernaut Lv.48
024-011-008	Cosmic Juggernaut Lv.49
024-011-009	Cosmic Juggernaut Lv.50
024-011-010	Cosmic Juggernaut Lv.51
024-011-011	Cosmic Juggernaut Lv.52
024-011-012	Cosmic Juggernaut Lv.53
024-011-013	Cosmic Juggernaut Lv.54
024-011-014	Cosmic Juggernaut Lv.55
024-011-015	Cosmic Juggernaut Lv.56
024-011-016	Cosmic Juggernaut Lv.57
024-011-017	Cosmic Juggernaut Lv.58
024-011-018	Cosmic Juggernaut Lv.59
024-011-019	Cosmic Juggernaut Lv.60
025			Enigma Stages
025-000		Aitum Fields
025-000-000	Trench Warfare (Insane)
025-001		Vitamin Valley
025-001-000	The Precipice (Insane)
025-002		Ticket Hunter
025-002-000	Beastly Roost (Deadly)
025-003		Shack of Spirit
025-003-000	An Hour's Training (Insane)
025-004		Cave of Spirit
025-004-000	A Month's Training (Deadly)
025-005		Labyrinth of Spirit
025-005-000	A Year's Training (Deadly)
025-006		Cymophane Cave
025-006-000	10 Meters Deep (Deadly)
025-007		Vitamin Volcano
025-007-000	Lake of Lava (Insane)
025-008		Ticket Hunter G
025-008-000	Monster's Nest (Deadly)
025-009		Red Cradle
025-009-000	Cradle Shrine (Deadly)
025-010		Red Summit
025-010-000	Summit Shrine (Merciless)
025-011		Red Frontier
025-011-000	Frontier Shrine (Merciless)
025-012		Sky Cradle
025-012-000	Cradle Shrine (Deadly)
025-013		Sky Summit
025-013-000	Summit Shrine (Merciless)
025-014		Sky Frontier
025-014-000	Frontier Shrine (Merciless)
025-015		Black Cradle
025-015-000	Cradle Shrine (Deadly)
025-016		Black Summit
025-016-000	Summit Shrine (Merciless)
025-017		Black Frontier
025-017-000	Frontier Shrine (Merciless)
025-018		Holy Cradle
025-018-000	Cradle Shrine (Deadly)
025-019		Holy Summit
025-019-000	Summit Shrine (Merciless)
025-020		Holy Frontier
025-020-000	Frontier Shrine (Merciless)
025-021		Cosmic Cradle
025-021-000	Cradle Shrine (Deadly)
025-022		Cosmic Summit
025-022-000	Summit Shrine (Merciless)
025-023		Cosmic Frontier
025-023-000	Frontier Shrine (Merciless)
025-024		Necro Cradle
025-024-000	Cradle Shrine (Deadly)
025-025		Necro Summit
025-025-000	Summit Shrine (Merciless)
025-026		Necro Frontier
025-026-000	Frontier Shrine (Merciless)
025-027		Steel Cradle
025-027-000	Cradle Shrine (Deadly)
025-028		Steel Summit
025-028-000	Summit Shrine (Merciless)
025-029		Steel Frontier
025-029-000	Frontier Shrine (Merciless)
027			Collab Baron Stages
027-000		Messier's Assault
027-000-000	Land of Dreams Lv1
027-000-001	Land of Dreams Lv2
027-000-002	Land of Dreams Lv3
027-000-003	Land of Dreams Lv4
027-000-004	Land of Dreams Lv5
027-000-005	Land of Dreams Lv6
027-000-006	Land of Dreams Lv7
027-000-007	Land of Dreams Lv8
027-000-008	Land of Dreams Lv9
027-000-009	Land of Dreams Lv10
027-000-010	Land of Dreams Lv11
027-000-011	Land of Dreams Lv12
027-000-012	Land of Dreams Lv13
027-000-013	Land of Dreams Lv14
027-000-014	Land of Dreams Lv15
027-000-015	Land of Dreams Lv16
027-000-016	Land of Dreams Lv17
027-000-017	Land of Dreams Lv18
027-000-018	Land of Dreams Lv19
027-000-019	Land of Dreams Lv20
027-002		The Devils Strike!
027-002-000	Nether Reaches Lv.1
027-002-001	Nether Reaches Lv.2
027-002-002	Nether Reaches Lv.3
027-002-003	Nether Reaches Lv.4
027-002-004	Nether Reaches Lv.5
027-002-005	Nether Reaches Lv.6
027-002-006	Nether Reaches Lv.7
027-002-007	Nether Reaches Lv.8
027-002-008	Nether Reaches Lv.9
027-002-009	Nether Reaches Lv.10
027-002-010	Nether Reaches Lv.11
