000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
232			
233			
234			
235			
236			
237	A li'l smart aleck who aced his entrance exams<br>for Nyarvard U. Uses his wit to spy enemy weak<br>points and greatly weaken their offense.	Won the Nyabel Prize in economics last year.<br>His debate skills can confuse enemies so badly<br>they lose much of their offensive power.	Legend of unmatched brainpower and experience.<br>Builds up incredible amounts of XP in his sleep!<br>Weakens enemies with Surge attacks
238	Heir of the legendary Rich Cat. Born wealthy,<br>still pinches every penny. Goes through the<br>pockets of defeated enemies for extra cash.	Father of the legendary Rich Cat. Got rich by<br>never spending profits from his small business.<br>Lives off of defeated enemies' pocket money.	Grandfather of the legendary Rich Cat. Invested<br>six dollars in NekoSoft two hundred years ago.<br>Every fallen enemy adds more $ to their account.
239	Before the battlefield, boot camp. Only given<br>a potato gun, so don't expect TOO much<br>knockback from his super long-distance attack.	A grim assassin who never fails a contract.<br>Still uses potato guns for the extra challenge.<br>Long distance atk. with non-metal knockback.	Free agent sniper, 31 years old, who bought all<br>their equipment secondhand off of Daveslist.<br>Long distance atk. with non-metal knockback.
240	Not sure if this is a Cat…<br>There's just something about<br>those… spikes???	No. Way. This can't be right…<br>Survives one lethal strike, gets stronger the<br>more damage he takes. (Area Attack)	Ancient god who bridges the worlds of the living<br>and the dead. Survives once, grows stronger<br>as he takes more damage. (Area Attack)
241	A clumsy gal, dressed up just for Xmas!<br>Fires a powerful, short-range ice beam.<br>Resistant to Aliens/Angels. (Area Atk.)	Crushes on any skier who is nice to her.<br>Falling in love, or just slipping on ice?<br>Resistant to Aliens/Angels. (Area Atk.)	
242	A passionate gal dressed up for Xmas!<br>Big damage from her long range Tree attack!<br>Strong vs Aliens/Angels. (Area Atk)	Dressing up for Xmas brings out her sweet<br>side! Mistletoe still makes her nervous.<br>Strong vs Aliens/Angels. (Area Atk)	
243	A sacred guardian, dressed up for Xmas!<br>Her holy blessings obliterate evil!<br>Might freeze Aliens/Angels. (Area Atk.)	A girl who never smiles, but Xmas spirit<br>always brings a gentle smirk to her face.<br>Might freeze Aliens/Angels. (Area Atk.)	
244	A lovely holiday gift from Santa.<br>Can you guess what's inside?<br>Occasionally freezes Angelic enemies.	A lovely holiday gift from the Cat Army.<br>Something is bumping around inside…<br>Occasionally freezes Angelic enemies.	A lovely holiday gift from Santa.<br>Can you guess what's inside?<br>Occasionally freezes Angelic enemies.
245	A tiny guy with dreams of becoming that<br>Cat with exceptional attack power and range.<br>	A tiny guy with dreams of becoming that<br>Cat with overly beautiful legs.<br>	A tiny guy with dreams of becoming that<br>Cat who mastered the Art of Leg.<br>Might knockback Aliens and break Barriers.
246	A tiny guy with dreams of becoming that<br>Cat who thinks quick and uses his head!<br>	A tiny guy with dreams of becoming that<br>Cat who headbangs only to Rock'n'Roll!<br>	A tiny guy with dreams of becoming that<br>Cat who uses his mane to clean the house.<br>Immune to wave damage.
247	A tiny guy with dreams of becoming that<br>Cat with the health of a pea and<br>exceptional attack power (Area Atk.)	A tiny guy with dreams of becoming that<br>Cat who overcame gravity and is good<br>against multiple enemies (Area Atk.)	A tiny guy with dreams of becoming that<br>Cat who destroyed a city with light once.<br>Strong against Zombies (Area Atk.)
248	A cameo from GirlsMons! Hit by<br>a car, but still gets by! Might<br>slow down Zombie movement!	A cameo from GirlsMons! A ghostly<br>Cat obsessed with the mortal realm.<br>Might slow down Zombie movement.	
249			
250			
251			
252			
253			
254			
255			
256			
257	The highest authority among the old gods<br>of Olympus. Rains down destruction with his<br>Heavenly Lance. Strong vs. Angels. (Area Atk)	Empowered by divine fury, his might grows<br>ever more! His Heavenly Blade reduces existence<br>to ashes. Strong vs. Angels. (Area Atk)	
258	God of Death who escorts human souls to the<br>underworld. His Nether Staff purges mortals of<br>sin. Unharmed by wave attacks. (Area Attack)	His dominance of the underworld is complete.<br>A single touch from his Sacred Staff will extinguish<br>any life. Unharmed by wave attacks. (Area Attack)	
259	Deity of beauty, pride, love and… other stuff.<br>Her Golden Bow always strikes true from afar.<br>Deals massive damage to Aliens. (Long Distance)	Her Brilliant Bow can grant long life, or take it all<br>away… watch your mouth around this goddess!<br>Deals massive damage to Aliens. (Long Distance)	
260	A tech CEO who patrols the office in style,<br>looking for lazy interns to punish! Strong Vs.<br>Red, Black, and Angels (Area Attack)	A cutting edge Unmanned Aerial Feline (UAF).<br>Tends to crash regularly… tech still under<br>development! Strong vs. Red, Black, Angels (Area)	A future timeline's envoy to the present Cats.<br>Often time slips into the movie theater for free...<br>Strong vs. Red, Black & Angels. (Area attack)
261	Seals away evil with his clan's mystic blade.<br>The way of the Ninja knows no mercy.<br>Long Distance, Area Attacks, Critical Attacks.	The otherworldly power in his chest now threatens<br>to consume him. To destroy evil, will he lose his soul?<br>Long Area Attacks, Knockback & Slow vs Aliens.	Cybernetically enhanced his demon's power with an<br>experimental Inferno Engine replacing his heart.<br>Long Area Attacks, Knockback & Slow vs Zombies.
262			
263			
264			
265			
266			
267	Wanted to skip school so badly, he became a<br>typhoon to cause a national weather alert.<br>Super high-speed Area attacks with Critical.	A side effect of El Nino. Dangerously curious;<br>sucks up anything he tries to get a peek at.<br>Super high-speed Area attacks with Critical.	Swept up in a storm along with the rest of town.<br>Used to it by now, so he came prepared for weather.<br>Super high-speed Area attacks with Critical.
268	Teacher Bear said "Girls are most cute with a<br>Cat in hand!" So now she changed allegience.<br>Her Bazooka broke, though… (Long distance)	Mina actually is more popular since she joined<br>the Cats! Not quite to Valkyrie's level, though.<br>Bazooka still isn't fixed… (Long distance)	A sweet killer who defends the cute creatures of<br>the woods. Don't touch her babies or you're dead.<br>Might weaken Relics with Long Range Area Attacks.
269	Might be a crybaby, but he's still young!<br>He just doesn't realize the power within himself.<br>Strong against any enemy with a trait. (Area Atk)	Only appears to those who seek true power.<br>Strong against any enemy with a trait, immune<br>to Wave attacks. Might Critical (Area Atk)	
270	Possessed by a dark soul, she feverishly hunts<br>down the mystery behind the annihiliation.<br>Massive Area damage against Red and Black.	Desperate to solve the mystery, she has given<br>herself totally over to darkness and Catness.<br>Massive Area damage against Red and Black.	Darkness has given Yuki cute Cat ears, a tail,<br>and the power to call forth stronger corrupt souls.<br>Massive Area damage against Red and Black.
271	The might and beauty of the Sun personified.<br>Subdues enemies using her sacred mirror.<br>Massive area damage to any enemy with a trait.	No one can stand against the radiance of this<br>goddess. Dark souls kneel before her holy mirror!<br>Massive area damage to any enemy with a trait.	
272	Lord of scholarship and splendor, guardian of the<br>sacred treasures that ward against misfortune.<br>Gains power when damaged (Long Range Area Atk)	All who follow him will grow prosperous and wise,<br>as he smites his enemies with infinite might. Gains<br>power when damaged (Long Range Area Atk)	
273	Leaping about on the football field, her youthful<br>songs fill the Battle Cats with determination.<br>100% chance of a Critical Attack!	The real world called, but her enthusiasm<br>remains! Her speedy service fills the Cats<br>with determination! 100% Critical chance.	Finally saved enough to buy her own restaurant!<br>Her noodles are the best in the city, and her<br>service never lacks style. 100% Critical chance.
274	Spends lazy summer days cursing couples on<br>the beach from the deck of her vacation house.<br>Massive area damage to Red enemies.	Slipped into the netherworld when she was two, but<br>summer days almost make her feel human again.<br>Massive area damage to Red enemies.	
275	Wearing her undercover(?) Rabbit uniform, used for<br>tracking villains on sunny Mediterranean beaches.<br>100% Slow against Angels/Black (Area Attack)	After identifying the target, she slips into another<br>summer outfit made for stealth. Time to move in<br>for the kill! Strong against Angels/Black (Area Atk)	
276	This year, she'll definitely take the gold medal at<br>the swim tournament, even though she won't take<br>the gloves off. 100% Critical attack chance.	Everyone's favorite pure idol is ready to overcome<br>her anxiety of being seen in a swimsuit. You can do<br>it, Neneko! 100% Critical attack chance.	
277	Edible fungus aiming to rule the<br>table as the staple food. Cheap to<br>produce, so send 'em en masse!	Cutting-edge science allowed<br>him to grow a Cat? Cheap to<br>produce, so send 'em en masse!	
278	Thought about adding a harvester,<br>but decided a tank was cooler.<br>Great for long-distance combat.	A rowdy Cat took over the<br>controls while no one was looking.<br>Great for long-distance combat.	
279	Loves long baths in miso soup,<br>always barely escaping when served.<br>Master of powerful single strikes.	A new brand of Cat Food caused<br>some strange new growth patterns.<br>Master of powerful single strikes.	
280	A mobile fortress able to defend<br>against attacks from any direction.<br>Tough unit able to withstand siege.	The fortress has been redesigned<br>for extra appeal to the Internet.<br>Tough unit able to withstand siege.	
281			
282	Whether a dancing Cat or a watching Cat,<br>everyone's a Cat, so why not just dance?!<br>Super cheap to allow for big parades.	Heave, ho! Heave, ho! A dance for fish,<br>of course Cats can get behind this tradition!<br>Super cheap to allow for extra big catches.	
283	Poster girl for a famous dim sum restaurant.<br>Always carries her heirloom Scarlet Hammer.<br>Resists Red attacks, massive area damage.	Mystic seals were broken, unleashing the<br>sexy power of the Red Panda Hammer.<br>Resists Red attacks, massive area damage.	
284	1-car train with a max speed of 222kph<br>120% of seats were filled today.<br>Extra money when defeating enemies!	222-Cat seater with a max speed of<br>2222kph, a blessing for all Cat commuters.<br>Extra money when defeating enemies!	Can take a maximum of 2222 passengers on<br>a round-the-world journey at 20,000,000 km/h<br>Extra money when defeating enemies!
285			
286	Cheerful young mech, built for anti-air warfare<br>using future tech forbidden by international law.<br>Resistant to/Massive area damage vs Floating.	After an upgrade, escaped from govt. custody<br>to use her powerful arsenal to help the innocent.<br>Resistant to/Massive area damage vs Floating.	
287	Young, but full of raw potential. Recruited<br>straight from Tee-Ball to the local champs.<br>Resistant to Aliens, Long-Range/Area Atks.	This team legend is now too chubby to run,<br>but his batting average is out of this world.<br>Resists Aliens, might break barriers, Long-range.	Hole-in-One king of the local park. Interesting<br>fairway technique inspired by his past career.<br>Resists Aliens, might break barriers, Long-range.
288	From Madoka Magica The Movie -Rebellion-!<br>A sweet girl who cares deeply for her friends.<br>Strong vs Floating, with Long-Range Slow Area atks.	From Madoka Magica The Movie -Rebellion-!<br>Loyal Magical Girl bearing a tremendous power.<br>Strong vs Floating, with Long-Range Slow Area atks.	
289	From Madoka Magica The Movie -Rebellion-!<br>A cool-headed and mysterious Magical Girl.<br>Area attacks might Freeze Black enemies	From Madoka Magica The Movie -Rebellion-!<br>A Magical Girl who can command time itself.<br>Area attacks might Freeze Black enemies	
290	From Madoka Magica The Movie -Rebellion-!<br>Practical Magical Girl, deals with trouble directly.<br>Survives once, Area Atk power grows after damage!	From Madoka Magica The Movie -Rebellion-!<br>Made a healing wish as part of her contract.<br>Survives once, Area Atk power grows after damage!	
291	From Madoka Magica The Movie -Rebellion-!<br>Veteran Magical Girl who watches over rookies.<br>Massive Long-Range Area damage vs. Angels.	From Madoka Magica The Movie -Rebellion-!<br>Magical Girl who endures painful loneliness.<br>Massive Long-Range Area damage vs. Angels.	
292	From Madoka Magica The Movie -Rebellion-!<br>Selfish Magical Girl, doesn't mind collateral damage.<br>Area attacks might Weaken and Knockback Red.	From Madoka Magica The Movie -Rebellion-!<br>This Magical Girl won't forgive those who waste food.<br>Area attacks might Weaken and Knockback Red.	
293	From Madoka Magica The Movie -Rebellion-!<br>Make a contract with him and your wish will come true.<br>Tough vs. Aliens, might Survive a lethal attack	From Madoka Magica The Movie -Rebellion-!<br>He seeks pure-hearted girls dreaming of a miracle.<br>Tough vs. Aliens, might Survive a lethal attack	
294	A kind-hearted Cat who admires Magical Girls.<br>She will do anything to help her friends.<br>Might Slow Floating enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Uses her powers only to help others.<br>Might Slow Floating enemies.	
295	A Cat who admires cool and mysterious Magical<br>Girls. She's still too excitable to pull it off though...<br>Might Freeze Black enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Don't be intimidated by her toy gun.<br>Might Freeze Black enemies.	
296	A guileless Cat who admires Magical Girls.<br>Visits her sick friend every day without fail.<br>Grows stronger after taking damage!	This Magical Cat made a contract with a suspicious<br>white creature. Wields a magically summoned sword.<br>Grows stronger after taking damage!	
297	A wise guardian Cat who admires Magical Girls.<br>Gets excited whenever she sees a pretty ribbon.<br>Delivers massive damage to Angels.	This Magical Cat made a contract with a suspicious<br>white creature. Gets dizzy after using Tiro Finale.<br>Delivers massive damage to Angels.	
298	A Cat who admires Magical Girls with endless<br>appetite. Don't waste good food or you'll get it!<br>Might Weaken Red enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Made her spear in shop class.<br>Might Weaken Red enemies.	
299	From Madoka Magica The Movie -Rebellion-!<br>A girl with vast potential hiding in her tiny body.<br>	From Madoka Magica The Movie -Rebellion-!<br>Bears the true power of a Magical Girl within her.<br>Massive Long-range damage vs. Floating.	From Madoka Magica The Movie -Rebellion-!<br>Can alter the laws of time and space with her gift!<br>Massive Long-range damage vs. Floating.
300	From Madoka Magica The Movie -Rebellion-!<br>A young girl with an indomitable will.<br>	From Madoka Magica The Movie -Rebellion-!<br>She will continue fighting until Walpurgisnacht<br>is defeated, at any cost. (Area Attack)	From Madoka Magica The Movie -Rebellion-!<br>She will relentlessly consume all things holy.<br>Area attacks might Weaken Black enemies.
301	A ruthless Cat wearing a cute animal costume.<br>Seeking girls who have a wish they want granted.<br>Might Survive a lethal attack.	A ruthless Cat wearing a cute animal costume.<br>Evolved for improved stylishness and adorability.<br>Might Survive a lethal attack.	
302	Snow is in short supply before November, so Ice<br>Cat changed to a more mischevious & spooky look.<br>Might Freeze Angels with terror (Area Attack)	Ice Cat has been overtaken by her love for<br>Halloween pranks... Will winter revive her cold<br>but gentle heart? Might freeze Angels (Area Atk)	
303	Planning to corner the grilled calamari market.<br>Forgot to pay taxes, so now business takes<br>place on the run. Massive damage vs Angels.	Brings gifts from the Cat God for you! Of<br>course, its all cash-on-delivery. Best pay up or<br>risk divine wrath. Massive damage vs Angels.	
304	The spunky interns of Cat Corps of Engineers<br>built an awesome land weapon! Powerful<br>anti-Zombie long range attacks, might weaken!	Featuring thick armor, an arsenal of long-range<br>cannons, and loaded with shock troops, CAT-6<br>is tough vs Zombies and weakens enemies.	The culmination of centuries of feline technology,<br>this near-indestructable superweight tank has high<br>defense vs Zombies and weakens enemies.
305	The spunky interns of Cat Corps of Engineers<br>built a retro battleship for marine dominance!<br>Area atks deliver huge damage vs Red enemies.	Boasting a complement of elite marines and a<br>drill able to punch through any hull, the Lionheart<br>delivers huge area damage vs Reds and Zombies.	Cat Army Special Forces use this Nekonium drill-<br>equipped destroyer to stage marine assaults.<br>Huge area damage vs Reds and Zombies.
306	The spunky interns of Cat Corps of Engineers<br>built a super sweet tactical aircraft. Area atks<br>knock back Zombie enemies with ease.	The ultimate aerial threat, dropping endless<br>megatons of munition on ground threats. Area<br>attacks deliver powerful knockback vs Zombies.	A force of total aerial domination and a key weapon<br>in the Cat's quest to create an ideal world.<br>Area attacks have powerful knockback vs Zombies.
307	Soaring through the blue sky using only a<br>single pole, she is the height of athleticism.<br>Area atks might slow Zombies.	Certified by Guinness as the record-holder<br>for cats' polevaulting. Will marry her coach<br>next year. Area attacks might slow Zombies.	Retired with four still-unbeaten world records.<br>Her skills are surprisingly applicable to daily life!<br>Long-range Area attacks might slow Zombies.
308	Bought lovely bonsai shears by mail-order.<br>Now there are no more branches left in reach<br>by the Cat Base. Might freeze Zombies.	Kept this key weapon in an anti-Zombie kit,<br>instead of doing something useless like cutting<br>down trees. Might freeze Zombies.	Ordered a fierce-looking trimmer online.<br>He's never actually used this tool to cut plants.<br>Might freeze Zombies for a bit longer.
309			
310	Everyone's favorite Nurse is feeling the<br>Xmas spirit! Praying for health with a lucky<br>holiday candle. Slow/knockback Angels/Aliens.	The warrior-nurse of Xmas mercy!<br>Her sword shines brighter than any candle.<br>Might slow & knockback Angels and Aliens.	
311	A tiny guy with dreams of becoming that<br>Cat with exceptional melee capability.<br>Strong against Red enemies.	A tiny guy with dreams of becoming that Cat<br>that managed to become a carnivorous whale.<br>Strong against Red enemies.	A tiny guy with dreams of becoming that Cat<br>who can perfect his form while on vacation.<br>Strong against Red enemies, might critical.
312	A tiny guy with dreams of becoming that<br>Cat able to attack enemies from a distance.<br>Powerful single shot long range attack.	A tiny guy with dreams of becoming that<br>Cat that arrived here from a fantasy world.<br>Powerful single shot long range attack.	A tiny guy with dreams of becoming that<br>Cat that makes it in the Dragon Elite.<br>Powerful single shot long range attack.
313	A tiny guy with dreams of becoming that Cat<br>blessed with extreme attack power and<br>ridiculous amounts of health (Area Attack)	A tiny guy with dreams of becoming that<br>Lord of Destruction (?) (Area Attack)<br>Extreme attack power and health.	A tiny guy with dreams of becoming that<br>Lord of destruction with the stretched shirt.<br>Extreme area attack, might knockback.
314	Taking out the trash and aiming for a fresh<br>start! Thanks for everything, 2016 - NOT!<br>Area attacks might cause Critical strikes.	Resolving to improve her self-confidence,<br>she has a New Years greeting for everyone!<br>Area attacks might cause Critical strikes.	
315	All it takes is Pens, a Pineapple and an<br>Apple to make the world smile. The man of<br>legend, newly married to a feisty 78-year old.	A stylish Cat who always keeps an eye out<br>on new internet trends. Striving to be the most<br>popular through perfect imitation.	
316	Master of storms and seas, one of the 12<br>supreme Olympian gods. Sacred Trident's<br>area attack 100% freezes Zombies/Metal foes.	Undisputed lord of the waters. Can command<br>sea serpents to obliterate those who defy him.<br>Area attack 100% freezes Zombies/Metal foes.	
317	CPAC = "Cat-Pineapple-Apple-Cat"<br>Just a couple of Cat bros dropping<br>in from a YouTube video campaign!	PPAP = "Pen-Pineapple-Apple-Pen"<br>A couple of trendy YouTuber Cats<br>joining in on the party! Thanks!	
318	Chosen as a holy servant by the God of Cats,<br>infinite power lies hidden within her. Strong defense<br>vs. all enemies with traits. (Long Range/Area Atk)	Dressed in bridal gowns, she appears to the blessed<br>as a sign of Cat God's favor. Her groom's identity is<br>unknown... Strong vs all traits, 100% chance to Slow.	
319	Opened his heart to the savage beast within.<br>Costs a bit extra to recruit to fight for you.<br>	This savage beast is consumed by thirst for battle!<br>Costs a bit extra to recruit to fight for you.<br>	
320			
321			
322	Won best supporting actor as a li'l monkey for<br>"Selfish Persimmons". Everyone hates working<br>with him. Strong area atk vs Angels/Zombies.	The kids Sarukani did wrong formed the metal<br>act: Causin' Effect. Revenge is a dish best served<br>heavy. Strong area atk vs Angels/Zombies.	Saru convinced the rockers to reform the<br>band to try to capitalize on every pop trend<br>at once. Strong area atk vs Angels/Zombies.
323	Appearing in a cursed play, a handsome actor<br>became possessed by ghostly samurai Cat.<br>Unharmed by wave attacks. (Area Attack)	Powerful psychic energy overexposes any film<br>near him; his movie career is officially over.<br>Unharmed by wave attacks. (Area Attack)	Made his big break as a cop with a ghost partner<br>on the hit drama Karma Police (produced by Cat).<br>Unharmed by wave attacks, might Freeze Relics.
324	Hard, heavy and precise winter weapon.<br>Hits hard once, then won't move again.<br>Unharmed by wave attacks.	Manufacturer not responsible for equipment<br>failure ...is what the manual says.<br>Unharmed by wave attacks.	Cutting edge tech that relentlessly rushes<br>straight to the enemy. Powered by driverless<br>car AI! Unharmed by Wave attacks.
325	Successor to a legendary Japanese boxer.<br>Looks the part, but he's always KO'ed in the<br>2nd round. Might knockback Zombies.	Unorthodox technique, sure, but this afro'd<br>hero always gets up before the 10-count.<br>Might knockback Zombies.	Had a near death experience trying to lose weight<br>for the next bout, then revived after absorbing<br>ghostly energy. Might knockback Zombies.
326	Earnest lady scholar with a strong heart,<br>dropping in from Crash Fever (Area Atk)<br>Huge damage/100% knockback vs Red	Through dedicated effort she has perfected<br>her skills. A guest from Crash Fever. Huge<br>damage/100% knockback vs Red. (Area Atk)	
327	An AI who ruthlessly hunts down all threats to<br>the peace of ALICE, dropping in from Crash Fever.<br>Grows much stronger as he takes damage. (Area)	A fierce, fanatical guardian of ALICE's order.<br>A special guest from Crash Fever. Grows<br>much stronger as he takes damage. (Area Atk)	
328	A chipper and bright computer virus,<br>appearing as a guest from Crash Fever.<br>Attacks have Area effect.	Her dream is to infect the world's systems with<br>joy. Appearing as a guest from Crash Fever.<br>Attacks have Area effect.	
329	Dressed to the nines for Spring! Didn't think<br>about ease of movement when choosing a look.<br>Attacks slow Angel movement for a moment.	Determined to be reborn for Spring, he sheds his<br>shell to reveal a whole new self hiding inside.<br>Attacks slow Angel movement for a moment.	
330	Intoxicated by the warm weather and blooming<br>flowers, she cruises around from picnic to picnic.<br>Strong vs Angels, 100% knockback. (Area Atk)	Possessed by the spirit of nature, she grows<br>vibrant and lively as she relaxes in the sunshine.<br>Strong vs Angels, 100% knockback. (Area Atk)	
331	A young mage found an easter egg that hatched a<br>delightful duck-thing to be his new friend! (Area Atk)<br>Only attacks Red/Black, with massive damage.	The magic egg this young wizard found seems<br>to have been quite rotten after all...<br>Only attacks Red/Zombies, with massive damage.	
332	The adorable idol gets a new springtime look!<br>Always overthinks where to hide the eggs and<br>ends up panicking. Might critical attack.	Moneko was busy, so Nene stands in! Loves<br>cute cosplay, but the attention always<br>embarrasses her. Might critical attack.	
333	Alternate-dimension Gao from the darkest<br>timeline. Seeks power at any cost. (Area Atk)<br>Massive damage vs non-attribute enemies.	Appears only to those who have known true<br>despair. Massive damage vs non-attribute<br>enemies. Freezes enemies briefly (Area Atk)	
334	Elusive vixen from a mystic realm. Hiding her<br>true face, wanders mortal realms hunting for the<br>weak-willed. Area atks might slow Floating/Angels.	Her glorious true nature is revealed! Her mood has<br>improved with everyone's praise for her cute tails.<br>Area Attacks might slow Floating/Angels.	The lost harvest goddess has finally cast aside her<br>mask and blessed the earth with her true face.<br>Area Attacks might slow Floating/Angels.
335	A mermaid NEET from the mystic seas. Dreams<br>of cute boys who'd risk drowning to date her.<br>Tough vs Red, weakens enemies.	True love has granted her feet to walk beside her<br>dearest, but now all she wants is time to play<br>video games. Tough vs Red, weakens enemies.	Built a undersea palace hoping her crush will drop<br>by. Until he grows gills, it's just her top-class gamer<br>den. Tough vs Red, with 100% Weaken chance.
336	A royal mummy from a mystic past. Actually, she<br>mummified herself by over-applying foundation.<br>Massive damage vs Aliens/Zombies (Area Atk)	She may have died from it, but overdoing makeup<br>keeps her looking stunning even 5000 years later.<br>Massive damage vs Aliens/Zombies (Area Atk)	Charismatic royal corpse who will crumble to dust<br>if she ever leaves her prescription beauty throne.<br>Massive damage to Aliens/Zombies (Area Attack)
337			
338	His impeccable virtue allows him to wield<br>the cursed Cat Fan. Strong against Black,<br>100% chance to weaken (Long-range)	Possessed by an all-knowing fox spirit, he<br>strikes with golden arrows. Strong vs Black,<br>100% chance to weaken (Long-range)	Stained crimson with the blood of his rivals, the<br>Cat Fan burns with an unearthly fire for even greater<br>damage and weakening against Black enemies.
339			
340	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Aliens.	Girl who became a Cat after the city's destruction,<br>had a stylish outfit tailored to fit her new propotions.<br>Small chance to Freeze Aliens.	
341	Visitor from a world lost to annihilation.<br>Hates it when others are too familiar with her.<br>Massive Area damage to Angels and Aliens.	Yuki of the annihilated world, travelling with a<br>Cat who aids her in calling forth crimson souls.<br>Massive Area damage to Angels and Aliens.	Relying too much on the power of Cats, Yuki<br>has grown a tail and ears as consequence.<br>Massive Area damage to Angels and Aliens.
342	For this small-business Cat, the customer is king.<br>Always invests its profits back in the store.<br>Get more money when defeating enemies!	This Cat is thankful for you supporting it's business!<br>He'll thank you by fighting any enemy that troubles you.<br>Get more money when defeating enemies!	
343	One rainy day, a Slug befriended a Cat.<br>Her will is strong, but her body is weak (to salt).<br>Area attack Slows enemies for a moment.	They thought it wasn't fair for the Cat to always<br>ride, so now they take turns. No effect on race<br>times. Area attack Slows enemies for a moment.	
344	Joining the fight from Merc Storia!<br>A wingless boy from the Sky Country.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! A saints'<br>miracle granted him the wings he long desired.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! Son of the<br>Sky, who wanders with sketchbook in hand.<br>Area attacks might Knockback Floating.
345	Joining the fight from Merc Storia!<br>Called "Holy Wings" for obvious reasons.<br>Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Only by<br>casting aside wings can you realize true<br>sainthood. Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Saint<br>who avoids dependence on God's miracles.<br>Strong vs/100% Freeze vs Floating
346	Joining the fight from Merc Storia! Japanese<br>maiden searching this world for her brother.<br>Area attacks might Slow Aliens/Zombies	Joining the fight from Merc Storia! Treasures<br>the kimono gifted by her dear brother.<br>Area attacks might Slow Aliens/Zombies	
347			
348			
349			
350			
351	The two purehearted sisters, Cici and Koma.<br>Divine breath controls their mighty mecha claws.<br>Massive area damage to Aliens/Black.	The mechanical catpaws "AH" and "UN" sweetly<br>sweep away any threat to these cutie-pie demigods.<br>Massive area damage to Aliens/Black.	Undisputed masters of the coordinated assault.<br>They skipped detention today to join the battle!<br>Massive area damage to Aliens/Black.
352	A legendary sage who infiltrated the Cat Base.<br>Memory might be going, but true strength cannot be<br>forgotten. Rapid area attacks fire powerful waves.	Captured an enemy base with nothing but one sweet<br>rice cake. Imagine what happens when he gets angry.<br>Rapid area attacks fire powerful waves.	
353			
354	She's actually terrified of water, but Kalisa dragged<br>her to the beach for the first time in years.<br>Super tough vs Black/Zombies (Area Attack)	Slowly growing more comfortable with the bikini<br>look. Is today the day she finds her cute surfer boy?<br>Super tough vs Black/Zombies (Area Attack)	
355	Highly mobile artillery unit based on ancient<br>engineering. Only attacks enemies with traits,<br>but deals massive area damage with each strike.	Designed to control interstellar territory using<br>wormhole physics and thermonuclear stikes.<br>Massive area damage vs traited enemies only.	Only the most elite among the Cat Army troops can<br>be trusted with this weapon of overwhelming power.<br>Massive area damage vs traited enemies only.
356			
357	A lost cub from a mighty werewolf pack<br>who found her calling in show business.<br>Might knockback Angels & Aliens (Area Atk)	The one-wolf show has revealed her true colors<br>to universal acclaim. Are you not entertained??<br>Might knockback Angels & Aliens (Area Atk)	Started streaming her comedy act and earned<br>a million bucks! Follow her for a special reward~☆<br>Area attacks might knockback Angels/Aliens
358	A lost soul who came home from the other side.<br>Hunting for a groom to fill her heart... or her stomach.<br>Might deliver critical strikes (Area Attacks)	Her hunger sated, she now looks forward to<br>the wedding day of her undead dreams.<br>Might deliver critical strikes (Area Attacks)	Using her late love's estate to live the afterlife of<br>her dreams. Now both her heart and stomach are<br>full to bursting. Area attacks might Critical.
359	Cosmic fire, brought to life!<br>This drake spirit commands flames<br>that strike Aliens for extra damage!	With the power of a burning sun,<br>its flares annihilate Barriers.<br>Powerful defense & attack vs. Aliens	Carries a red giant's rage within its tiny body,<br>ready to unleash a supernova on enemy Barriers.<br>Powerful defense & attack vs. Aliens
360	Cosmic water, brought to life!<br>This nymph spirit controls waves<br>that knock Aliens far back!	With waves that can split the Earth, its<br>attacks wash away enemy Barriers. Tough<br>Anti-Alien defense and knockback attacks.	Master of water, sends cleansing waves to purify<br>mortal realms of evil, washing away Barriers.<br>Tough Anti-Alien defense and knockback attacks.
361	Cosmic storms, brought to life!<br>This sylph spirit summons winds<br>for long distance area attacks!	With winds that blast away the mountains,<br>no Barrier can stand against its assaults.<br>Tough, with long-range area attacks vs Aliens.	Calling forth raging solar winds, can annihilate<br>even a mighty nebula with the slightest of efforts.<br>Tough, with long-range area attacks vs Aliens.
362	Joining the fight from Fate/stay night [HF]! Her<br>sword is pledged to her Master, Shirou Emiya.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! Peerless<br>warrior in possession of a Noble Phantasm.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! A<br>menacing swordwoman who resembles Saber...<br>Massive long-range area damage vs. Floating!
