000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
331	Un joven mago encontró un huevo de Pascua del que nació<br>un patito que se convirtió en su mejor amigo.<br>Objetivo único: rojos/negros. Superfuerte. (Ataque de área).	Resulta que el huevo mágico que encontró<br>este joven mago estaba podrido...<br>Ataca solo a enemigos rojos y zombis con superfuerza.	Junto con el sol primaveral, llega este payaso malvado<br>que atrapa a los niños traviesos en huevos mágicos.<br>Es superfuerte y ataca solo a enemigos rojos y akus.
332	La adorable estrella del pop se viste para la primavera.<br>Siempre piensa demasiado los escondites para los huevos.<br>Puede infligir daño crítico.	Moneko tenía mucho lío, así que Nene viene a echar un<br>cable. Le gusta disfrazarse, pero odia llamar la atención.<br>Puede infligir daño crítico.	Lleva un colorido vestido para el carnaval primaveral,<br>y quizá pronto llegue el día en que supere su timidez.<br>Puede infligir varias penalizaciones a enemigos metálicos.
333	Gao de una dimensión alternativa de la línea<br>temporal más oscura. Busca poder a toda costa.<br>Superfuerte contra enemigos sin rasgos. (Ataque de área).	Solo se aparece a quienes conocen la verdadera desesperación.<br>Superfuerte contra enemigos sin rasgos.<br>Paraliza brevemente. (Ataque de área).	Se aparece a quienes conocen la verdadera desesperación.<br>Superfuerte contra enemigos sin rasgos.<br>Paraliza brevemente. (Ataque de área).
334	Viene de un reino místico escondiendo su rostro. Vaga por<br>por los reinos mortales en busca de los débiles de voluntad.<br>Puede ralentizar a ángeles y voladores. (Ataque de área).	¡Por fin se ha revelado su naturaleza! Su humor también<br>ha cambiado gracias a los elogios que recibe por sus colas.<br>Puede ralentizar a ángeles y voladores. (Ataque de área).	La diosa de la cosecha perdida se ha quitado la máscara<br>y bendice la Tierra con su verdadero rostro.<br>Puede ralentizar a ángeles y voladores. (Ataque de área).
335	Una sirena de los mares místicos. Sueña con jovencitos<br>guapos que estén dispuestos a ahogarse por ella.<br>Dura contra enemigos rojos y desgasta.	El amor verdadero le ha dado pies para caminar junto a<br>su amado, pero ahora solo quiere jugar a la consola.<br>Dura contra enemigos rojos y desgasta.	Construyó un palacio submarino y espera que su enamorado<br>se pase un día. Hasta entonces, seguirá con sus videojuegos.<br>Dura contra enemigos rojos y siempre desgasta.
336	Una momia real que viene del pasado. De hecho, se momificó<br>a sí misma poniéndose demasiada base de maquillaje.<br>Superfuerte contra álienes y zombis. (Ataque de área).	Puede que muriese de sobredosis de maquillaje, pero eso<br>es lo que la mantiene tan estupenda 5000 años después.<br>Superfuerte contra álienes y zombis. (Ataque de área).	Un cadáver real muy carismático que se convertirá en ceniza<br>si alguna vez se le ocurre levantarse de su trono de belleza.<br>Superfuerte contra álienes y zombis. (Ataque de área).
337			
338	Su virtud impecable le permite<br>blandir el abanico maldito. Eficaz<br>contra enemigos negros y siempre desgasta. (A distancia).	Está poseído por el espíritu de un zorro<br>sabio. Dispara flechas de oro. Eficaz<br>contra enemigos negros y siempre desgasta. (A distancia).	Manchado con la sangre de sus rivales, el abanico arde<br>con un fuego de otro mundo. Esto otorga más<br>eficacia y poder de desgaste contra enemigos negros.
339			
340	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Aliens.	Girl who became a Cat after the city's destruction,<br>had a stylish outfit tailored to fit her new propotions.<br>Small chance to Freeze Aliens.	
341	Visitor from a world lost to annihilation.<br>Hates it when others are too familiar with her.<br>Massive Area damage to Angels and Aliens.	Yuki of the annihilated world, travelling with a<br>Cat who aids her in calling forth crimson souls.<br>Massive Area damage to Angels and Aliens.	Relying too much on the power of Cats, Yuki<br>has grown a tail and ears as consequence.<br>Massive Area damage to Angels and Aliens.
342	En su pequeño comercio el cliente siempre lleva la razón.<br>Luego invierte los beneficios en el mismo negocio.<br>Aumenta el dinero que ganas al vencer enemigos.	Te agradece mucho que apoyes su negocio y te lo<br>demostrará luchando contra cualquiera que te moleste.<br>Aumenta el dinero que ganas al vencer enemigos.	
343	Un día de lluvia, una babosa se hizo colega de un gato. Su<br>voluntad es fuerte, pero su cuerpo es vulnerable (a la sal).<br>Ralentiza brevemente. (Ataque de área).	Pensaron que no era justo que el gato siempre fuera encima,<br>así que ahora se turnan. No parece afectar a su velocidad.<br>Ralentiza brevemente. (Ataque de área).	
344	Joining the fight from Merc Storia!<br>A wingless boy from the Sky Country.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! A saints'<br>miracle granted him the wings he long desired.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! Son of the<br>Sky, who wanders with sketchbook in hand.<br>Area attacks might Knockback Floating.
345	Joining the fight from Merc Storia!<br>Called "Holy Wings" for obvious reasons.<br>Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Only by<br>casting aside wings can you realize true<br>sainthood. Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Saint<br>who avoids dependence on God's miracles.<br>Strong vs/100% Freeze vs Floating
346	Joining the fight from Merc Storia! Japanese<br>maiden searching this world for her brother.<br>Area attacks might Slow Aliens/Zombies	Joining the fight from Merc Storia! Treasures<br>the kimono gifted by her dear brother.<br>Area attacks might Slow Aliens/Zombies	
347			
348			
349			
350			
351	Las dos hermanas de corazón más puro: Cici y Koma.<br>El aliento divino controla sus poderosas garras. Superfuertes<br>contra enemigos negros y álienes. (Ataque de área).	Las garras mecánicas «AH» y «UN» se llevan por delante<br>cualquier amenaza contra estas semidiosas. Superfuertes<br>contra enemigos negros y álienes. (Ataque de área).	Maestras indiscutibles del asalto coordinado. Hoy se han<br>saltado su castigo para unirse a la batalla. Superfuertes<br>contra enemigos negros y álienes. (Ataque de área).
352	Un sabio legendario que se infiltró en la base gatuna.<br>Puede que esté senil, pero la fuerza no se olvida.<br>Ataca rápido y con oleadas. (Ataque de área).	Se quedó atrapado en la base enemiga solo con una<br>bola de arroz. Imagínate qué pasa cuando se enfada...<br>Ataca rápido y con oleadas. (Ataque de área).	Un sabio hechizado por una antigua máscara caída del cielo<br>y que ahora conoce técnicas de combate prohibidas.<br>Eficaz contra reliquias y puede lanzar oleadas de maldición.
353			
354	Le da pánico el agua, pero Kalisa la obligó<br>a ir a la playa por primera vez en años.<br>Muy dura contra enemigos negros y zombis. (Ataque de área).	Poco a poco se va sintiendo más cómoda con el bikini.<br>¿Será hoy cuando encuentre al surfero de sus sueños?<br>Muy dura contra enemigos negros y zombis. (Ataque de área).	
355	Unidad de artillería móvil construida según los tratados de<br>la ingeniería clásica. Solo ataca a enemigos con rasgos, pero<br>hace mucho daño con cada ataque. (Ataque de área).	Diseñado para controlar el territorio interestelar con<br>física de agujeros de gusano y armas termonucleares.<br>Superfuerte contra enemigos con rasgos. (Ataque de área).	Solo la élite de las tropas del ejército felino es digna<br>de manejar esta arma de poder incalculable.<br>Superfuerte contra enemigos con rasgos. (Ataque de área).
356			
357	La cría perdida de una manada de hombres lobo<br>muy poderosa. Su vocación está sobre el escenario.<br>Puede repeler a ángeles y álienes. (Ataque de área).	El espectáculo del lobo solitario ha revelado su verdadera<br>naturaleza a la crítica internacional. ¿No te ha gustado?<br>Puede repeler a ángeles y álienes. (Ataque de área).	Subió a internet su actuación cómica y ganó<br>un millón de pavos. ¡Síguela para recibir un premio!<br>Puede repeler a ángeles y álienes. (Ataque de área).
358	Un alma perdida que volvió al hogar desde el otro lado.<br>Busca un novio que le llene el corazón... y el estómago.<br>Puede infligir daño crítico. (Ataque de área).	Su hambre está saciada y ahora solo desea<br>que llegue la boda de sus sueños de no muerta.<br>Puede infligir daño crítico. (Ataque de área).	Está disfrutando del más allá en la parcela de su difunto<br>amado. Su corazón y su estómago están a rebosar.<br>Sus ataques de área pueden causar daño crítico.
359	¡Fuego cósmico con vida! Este espíritu<br>de dragón controla las llamas que atacan<br>a los álienes infligiéndoles más daño.	Con el poder del sol abrasador,<br>su fulgor rompe barreras.<br>Muy resistente y eficaz contra álienes.	En ese pequeño cuerpo reside la rabia de una gigante roja<br>lista para lanzar una supernova sobre las barreras enemigas.<br>Muy resistente y eficaz contra álienes.
360	¡Agua cósmica con vida! Este espíritu<br>de ninfa controla las olas del mar<br>que repelen a los álienes.	Con unas olas capaces de partir la Tierra en dos,<br>sus ataques destrozan barreras enemigas.<br>Buena defensa contra álienes y repele.	Esta maestra del agua envía olas purificadoras para limpiar<br>los reinos mortales de todo mal y destrozar barreras.<br>Buena defensa contra álienes y repele.
361	¡Tormenta cósmica con vida! Este espíritu<br>de silfo controla vientos huracanados<br>para lanzar ataques a distancia. (Ataque de área).	Con vientos capaces de destrozar montañas enteras,<br>ninguna barrera puede aguantar sus ataques.<br>Duro contra álienes. (Ataque de área a distancia).	Invoca terribles vientos solares capaces de aniquilar<br>hasta la nebulosa más grande con el menor esfuerzo.<br>Duro contra álienes. (Ataque de área a distancia).
362	Joining the fight from Fate/stay night [HF]! Her<br>sword is pledged to her Master, Shirou Emiya.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! Peerless<br>warrior in possession of a Noble Phantasm.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! A<br>menacing swordwoman who resembles Saber...<br>Massive long-range area damage vs. Floating!
363	Joining the fight from Fate/stay night [HF]! Seeks<br>the Holy Grail with her summoned Archer. Chance<br>to knockback Aliens/Zombies, with Area Attack!	Joining the fight from Fate/stay night [HF]! Classmate<br>of Shirou, heir to the Tohsaka lineage. Chance<br>to knockback Aliens/Zombies, with Area Attack!	
364	Joining the fight from Fate/stay night [HF]! With<br>Berserker at her command, she is ready for battle.<br>Chance to Slow Red/Metal, with Area Attack!	Joining the fight from Fate/stay night [HF]! Guardian<br>of the Einzbern family's honorable name.<br>Chance to Slow Red/Metal, with Area Attack!	
365	Joining the fight from Fate/stay night [HF]! His bow<br>is pledged to his Master, Rin Tohsaka. Immune to<br>Wave Damage, with Long-range Area Attack!	Joining the fight from Fate/stay night [HF]! His<br>enmity for Shirou is still a mystery. Immune to<br>Wave Damage, with Long-range Area Attack!	
366	Joining the fight from Fate/stay night [HF]! His<br>spear is pledged to an unknown Master.<br>100% chance to break Barriers! (Area Attack)	Joining the fight from Fate/stay night [HF]! Agility<br>which rivals even Saber's is his point of pride.<br>100% chance to break Barriers! (Area Attack)	
367	Joining the fight from Fate/stay night [HF]! Her<br>dagger is pledged to her Master, Shinji Matou.<br>Freezes Angels with Area Attacks!	Joining the fight from Fate/stay night [HF]!<br>Excellent  mobility, expert in barrier magecraft.<br>Freezes Angels with Area Attacks!	
368	Joining the fight from Fate/stay night [HF]! Inscrutible<br>young man with an air of invincibility. Long-range<br>Area atttacks gets stronger after taking damage!	Joining the fight from Fate/stay night [HF]! 8th<br>incarnation of a Spirit that shouldn't exist. Long-<br>range atttacks gets stronger after taking damage!	
369	Golden-haired swordscat who appeared one<br>fated night. Building strength by training with<br>a bamboo blade. Strong vs. Floating.	Swordscat who dreams of being called by<br>a worthy Master. Maintains a calm<br>demeanor always. Strong vs. Floating.	Despairing of never being summoned, this<br>Heroic Spirit has wreathed herself in darkness.<br>Strong vs. Floating, immune to negative effects.
370	Healthy and capable Cat filled with dreams.<br>Fine Western-style cuisine is her talent.<br>Has a small chance of Critical Strike.	Refining her household skills day by day.<br>Every morning must start with a proper greeting.<br>Has a small chance of Critical Strike.	She expresses her boundless hope in her cooking.<br>Her overflowing optimism is unmistakable!<br>Chance of Critical Strike and Metal knockback.
371	An Cat possessing elegance unrivaled at her<br>school. Beauty extends to behavior befitting<br>an honor student. Might knockback Aliens.	Endlessly seeks to improve on herself.<br>Lashes out when she feels her weakness<br>might be exposed. Might knockback Aliens.	
372	An uncanny Cat with silver hair and red eyes.<br>Once tried to care for a small bird.<br>Might Slow Red enemies.	Inheritor of the blood of a venerable House.<br>Recently purchased new winter clothes.<br>Might Slow Red enemies.	
373	Joining the fight from Fate/stay night [HF]!<br>Dreams of defending justice like his adopted<br>father. Tough vs. Black enemies.	Joining the fight from Fate/stay night [HF]!<br>Joined the Holy Grail War after summoning<br>his Servant, Saber. Tough vs. Black enemies.	
374	Joining the fight from Fate/stay night [HF]!<br>Admires Shirou, takes care of the Emiya<br>household. Area Attacks might Critical.	Joining the fight from Fate/stay night [HF]! "If I<br>became a bad person, would you forgive me?"<br>Area Attacks might Critical.	
375	Es un valioso artículo de coleccionista.<br>¡Solo se fabricaron nueve mil millones de unidades!<br>	Un objeto de recuerdo que contiene la gratitud<br>felina. Con tres Gatomonedas, te llevas...<br>otro Gatomoneda.	
376	La primera sonda felina producida por la NASA.<br>Está pensado para aguantar ataques extraterrestres.<br>Bloquea la abducción y tiene mucha defensa contra álienes.	Una sonda felina de la NASA de última tecnología.<br>Su transmisión es tan potente que pilla hasta los canales X.<br>Bloquea la abducción y tiene mucha defensa contra álienes.	Un satélite experimental de la NASA fabricado para<br>observar áreas tan remotas como la tienda de la esquina.<br>Bloquea la abducción y tiene mucha defensa contra álienes.
377	Un espadachín invencible que no ha perdido ni un combate.<br>Empezó a luchar con la izquierda para esforzarse un poco.<br>Siempre rompe barreras.	Decidió probar una nueva forma de lucha con la espada,<br>pero no termina de desconectar de su especialidad original.<br>Siempre rompe barreras.	Se retiró de la competición para meterse en el sector del<br>turismo. Todo el mundo lo utiliza como lugar de encuentro.<br>Siempre rompe barreras.
378	Este mundo cruel ha traicionado a Mitama,<br>así que se ha entregado a la oscuridad. (A distancia).<br>Dura contra enemigos sin rasgos y siempre ralentiza.	Como una viuda que llora por su amor perdido, se halla<br>atrapada en sus recuerdos. Dura contra enemigos sin rasgos.<br>Siempre ralentiza y desgasta. (Ataque de área a distancia).	
379	Es la reina del centro comunitario y todos la temen.<br>Sus pinchos suelen dejar inconscientes a sus rivales.<br>Ataca a distancia y puede infligir daño crítico.	Prima donna conocida como «la Rosa del Repertorio».<br>Surca los cielos y aterriza como una jabalina.<br>Ataca a distancia y puede infligir daño crítico.	Un chef maestro conocido como «el Príncipe de las Especias».<br>Los enemigos metálicos no pueden con tantos sabores.<br>Ataca a distancia y puede infligir daño crítico.
380	Un valeroso soldado con mucho que demostrar.<br>Ni siquiera él es consciente de su propia fuerza.<br>Superfuerza contra enemigos con rasgos. (A distancia).	Con su afiladísima espada y su espíritu inquebrantable,<br>lo arriesga todo para proteger a sus camaradas.<br>Superfuerza contra enemigos con rasgos. (A distancia).	
381	Un gato humilde que cultiva cosas ricas para hacer<br>felices a los demás. Elegido para unirse al ejército felino.<br>Consigue dinero extra al vencer enemigos.	Se enteró de que el mercado del nabo estaba en auge y<br>está a tope con las cosechas. Veterano del ejército felino.<br>Consigue dinero extra al vencer enemigos.	
382	Está hecho de un material muy frágil, pero su corazón es<br>resistente. ¡Solo se vive una vez, aprovecha!<br>Solo ataca una vez y ralentiza a enemigos sin rasgos.	Está hecho de un material un poco más resistente,<br>pero sigue sin ser muy efectivo en el campo de batalla.<br>Solo ataca una vez y ralentiza a enemigos sin rasgos.	Su cuerpo está pulido a la perfección para que brille<br>eternamente. ¡Vivamos para siempre en la gloria!<br>Repele y ralentiza a enemigos sin rasgos. Ataque individual.
383	Se unió al ejército felino diciendo que la ley de su clan es<br>servir a los guerreros más poderosos. ¡Vaya piquito de oro!<br>(Ataque de área a distancia).	Ha recreado su máscara divina a imagen de sus nuevos<br>camaradas del ejército felino. Avergüenza mucho a su hija.<br>(Ataque de área a distancia).	Maduro y atractivo, ahora resulta irresistible para<br>damas que de joven no le habrían dado ni la hora.<br>Superfuerte contra reliquias. Ataques de área a distancia.
384	Dropping in from PowerPro Baseball!<br>This manager plays it cool, but actually has a heart of gold.<br>Chance to knockback Red enemies.	Dropping in from PowerPro Baseball!<br>An aikido blackbelt with catlike reflexes.<br>Chance to knockback Red enemies.	
385	Dropping in from PowerPro Baseball!<br>No one can outrun this speedy outfielder!<br>	Dropping in from PowerPro Baseball!<br>Ends every sentence with "Donchaknow?"<br>	Dropping in from PowerPro Baseball!<br>Might love robot anime even more than baseball.<br>Area attacks release waves of destruction.
386	Dropping in from PowerPro Baseball!<br>Blesses all players with her maternal care.<br>Chance to weaken Angel enemies.	Dropping in from PowerPro Baseball!<br>Always puts others' needs before her own.<br>Chance to weaken Angel enemies.	
387	Dropping in from PowerPro Baseball!<br>A bright and energetic manager.<br>Tough defense vs. Alien enemies.	Dropping in from PowerPro Baseball!<br>No one can motivate a player like her!<br>Tough defense vs. Alien enemies.	
388	Dropping in from PowerPro Baseball!<br>Eager manager who's always two steps behind the hero.<br>Chance to knockback Zombies.	Dropping in from PowerPro Baseball!<br>Her devotion is just a bit too much sometimes.<br>Chance to knockback Zombies.	
389	Dropping in from PowerPro Baseball!<br>Openminded and cheerful team manager.<br>Chance to freeze Floating enemies.	Dropping in from PowerPro Baseball!<br>Better than anyone at resolving personality conflicts.<br>Chance to freeze Floating enemies.	
390	Dropping in from PowerPro Baseball!<br>So bad at cooking she could burn water.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Her flaw is too much earnest naivete.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Secretly Aoi Hayakawa.<br>Massive anti-Alien long-range area damage.
391	Dropping in from PowerPro Baseball!<br>A tomboy pitcher determined to win!<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Has a real sweet tooth, and loves pudding.<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Proudly sports the Tachibana Group logo.<br>Massive anti-Angel area damage.
392	Dropping in from PowerPro Baseball!<br>A rookie catcher with unparalleled game sense.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>From a temple family, loves Buddhist cooking.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>Proudly wears a temple name on her chest.<br>Strong vs. Zombies, with Area Attacks.
393	Dropping in from PowerPro Baseball!<br>Popular player with many female fans.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Has a small complex about being unfeminine.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Eventually was won over by the rhythm!<br>Area attacks slow Floating/Black.
394	Dropping in from PowerPro Baseball!<br>Attractive, popular, and skilled.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>Dreams of making it all the way to the series final.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>New pitch has the cosmic power of a black hole!<br>Strong vs. Red/Angels (Long-range/Area Atk)
395	Dropping in from PowerPro Baseball!<br>Reliable and respected shortstop.<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>No worries about seeming boyish if it helps to win!<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>Just between us, it's Miyabi... Immune to Waves.<br>Attack power increases after taking damage.
396	Primer emperador y fundador de la dinastía de dragones.<br>Nadie conoce los límites de su incalculable poder.<br>Ataca a distancia y es eficaz contra álienes y zombis.	Ha cultivado su fuerza durante milenios<br>y se ha hecho más fuerte con los años.<br>Ataca a distancia y es eficaz contra álienes y zombis.	Una reliquia impía ha roto las cadenas que mantenían<br>a raya a su forma final. Si te resistes, será tu perdición.<br>Ataca a distancia y es eficaz contra álienes y zombis.
397	Una chica de instituto totalmente normal a la que le encanta<br>el té de burbujas y vencer demonios. Dura contra metálicos.<br>Además, sus golpes críticos los ralentizan y desgastan.	Es muy difícil llevar a la vez las actividades del club y<br>defender el legado sagrado de tu clan. Dura contra metálicos.<br>Además, sus golpes críticos los ralentizan y desgastan.	Si tienes que ser portadora del castigo divino,<br>al menos que sea con estilo. Puede infligir daño crítico.<br>Es superdura, ralentiza y desgasta a enemigos metálicos.
398			
399	Dropping in from MENTORI! Trust me,<br>talking to it is more trouble than it's worth..<br>Tough vs Floating Enemies	Dropping in from MENTORI! This weird<br>bird specializes in obnoxious interjections.<br>Tough vs Floating Enemies	
400	Dropping in from MENTORI! Mentori's sharp-<br>tongued kid sis is never not macho!<br>Chance of Critical attacks.	Dropping in from MENTORI! Just at that<br>age when it's all sarcasm all the time.<br>Chance of Critical attacks.	
401	¡Trueno cósmico con vida! Este espíritu<br>invoca los rayos de tormenta para<br>paralizar a álienes. (Ataque de área).	Destroza las barreras enemigas<br>con rayos que iluminan todo el cielo.<br>Duro contra álienes y paraliza. (Ataque de área).	Un espíritu muy poderoso que canaliza el poder de la tormenta<br>que acabará con toda la galaxia más pronto que tarde.<br>Duro contra álienes y siempre paraliza.
402	Recruited from Evangelion!<br>A boy suddenly forced to pilot Evangelion.<br>Resents his distant father. (Area Attack)	Recruited from Evangelion!<br>Hoping to be respected by his comrades<br>for his piloting skills. (Area Attack)	Recruited from Evangelion! Agreed to pilot<br>Eva once again for a chance at redemption.<br>Tough vs. Aliens/Zombies (Area Attack)
403	Leader and deputy commander of NERV.<br>Out to complete their goal by any means.<br>(Area Attack)	On the moon for the final stage of their<br>plan. They trust each other fully.<br>(Area Attack)	
404	A prototype Giraffe Cat-type weapon.<br>Escaped with only the helmet equipped.<br>Might survive a lethal strike.	Received a new production-model<br>helmet for mightier headbutts. Still on<br>the run. Might survive a lethal strike.	
405	Recruited from Evangelion!<br>A strange boy with a mysterious smirk.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Thought by others to be an Eva pilot.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Seems to have known Shinji for a long<br>while. Massive area damage to Black.
406	Cat who pilots Eva Unit-00. Gendo's<br>glasses are her cherished treasure.<br>Tough vs /  Massive Damage to Angels.	She lost all memory of the black plugsuit.<br>There is nothing for her but her duty.<br>Tough vs /  Massive Damage to Angels.	
407	Cat who pilots Eva Unit-02. Flies into<br>a rage easily when she feels slighted.<br>Tough vs /  Massive Damage to Red.	She is slowly warming up to her comrades.<br>Has a habit of burning her tongue easily.<br>Tough vs /  Massive Damage to Red.	
408	A strange Cat with stylish glasses.<br>Loves to end each sentence with a meow.<br>Tough vs /  Massive Damage to Floating.	A skilled paratrooper who infiltrated Tokyo-3.<br>Learning her way around Central Dogma.<br>Tough vs /  Massive Damage to Floating.	
409	Recruited from Evangelion!<br>An aloof girl who guards her emotions.<br>Area attacks might weaken Angels.	Recruited from Evangelion!<br>Feels a strong bond with her fellow pilots.<br>Area attacks might weaken Angels.	Recruited from Evangelion! Guarding that<br>which she treasures most for 14 years.<br>Strong against and might weaken Angels.
410	Recruited from Evangelion!<br>A prideful and hot-tempered prodigy.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion!<br>Warming up to the idea of teamwork.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion! Eva 02's pilot,<br>member of anti-NERV organization WILLE.<br>Strong vs Red enemies, Area Atks might Knockback.
411	Recruited from Evangelion!<br>An enigmatic girl who arrived via parachute.<br>Strong vs. Floating (Area Attack)	Recruited from Evangelion!<br>Her love for piloting Eva is plain to see.<br>Strong vs. Floating (Area Attack)	
412	Recruited from Evangelion!<br>A humanoid superweapon prototype.<br>Tough vs Angel/Floating, negates Waves.	Recruited from Evangelion!<br>Notorious for violent incidents in testing.<br>Tough vs Angel/Floating, negates Waves.	
413	Recruited from Evangelion!<br>A humanoid superweapon test-type.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion!<br>Goes berserk when pilot is in danger.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion! Marches toward the<br>final battle with the lance of hope Cassius in hand.<br>Strong vs. Aliens/Zombies (Area Attack)
414	Recruited from Evangelion!<br>The Evangelion production model.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion!<br>The true Evangelion, or so says the pilot.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion! Eva 02's beast form,<br>activated with a backdoor code. Massive Long-range<br>Area damage vs Red, grows stronger after damage.
415	A Cat who becomes paralyzed by fear.<br>When bullied, Eva comes to his defense!<br>Knocks back Metal/Black, with Wave Attack!	Cats who can't resist their curious nature.<br>When bullied, Eva comes to their defense!<br>Knocks back Metal/Black, with Wave Attack!	
416	Operators for the secret agency NERV,<br>providing support for the Eva pilots.<br>Area attacks slow Red/Zombies.	Elite command of the NERV agency.<br>An effective team since their school days.<br>Area attacks slow Red/Zombies.	
417	El balneario móvil más famoso del mundo.<br>Viaja sin dejar de lado ni la comodidad ni el estilo.<br>Omniataques superfuertes que ralentizan a zombis.	Una organización secreta que defiende al ejército felino<br>de los ataques que lanzan los Chuchos desde abajo.<br>Omniataques superfuertes que paralizan a zombis.	A la vanguardia de la campaña felina para buscar<br>y destruir bases caninas subterráneas.<br>Omniataques superfuertes que paralizan a zombis.
418	La estrella del pop favorita de todo el mundo ha acabado<br>haciendo «pop» bajo el estrés de la fama. Incluso<br>las estrellas malvadas tienen amor para sus fans.	Una superestrella mundial que utiliza su carisma<br>para despertar una terrible furia entre su público.<br>Su reverencia de agradecimiento inflige daño crítico.	
419	Joining the fight from LINE Pokopang!<br>Rabbity defender of justice who'll<br>do anything to help his friends!	Joining the fight from LINE Pokopang!<br>His mission in life is to bring joy<br>to his fellow woodland creatures.	
420	Joining the fight from LINE Pokopang!<br>A stoic sheep who loves to collect<br>unusual objects! Tough vs Red!	Joining the fight from LINE Pokopang!<br>Hides his scavenged treasures in his fluffy<br>wool for safekeeping. Tough vs Red!	
421	Joining the fight from LINE Pokopang!<br>A burly bear who lives for peace, flowers<br>and tasty fish! Might weaken Black!	Joining the fight from LINE Pokopang!<br>Despite tough looks, loves a nice cup of<br>herbal tea most. Might weaken Black!	
422			
423			
424			
425			
426	Una antigua superarma alquilada de un laboratorio misterioso.<br>El gato todavía lleva la «L», así que su verdadero poder<br>aún no está del todo claro. (Ataque de área).	El gato le ha hecho unos retoques sin pedir permiso.<br>Lo de meterle titanio al brazo no venía en el contrato.<br>(Ataque de área).	Incluso tras pagar la multa, el gato no pudo resistirse a<br>hacerle más arreglos. Ahora tiene tecnología experimental<br>siguiendo los planos de un viejo prototipo. (Ataque de área).
427	Una pandilla dispuesta a acabar con el rey del mal. Ataca<br>a distancia y puede infligir daño crítico. (Ataque de área).<br>Siempre desgasta a enemigos rojos, negros y voladores.	El elegido y 11 valientes aventureros más. Ataca<br>a distancia y puede infligir daño crítico. (Ataque de área).<br>Siempre desgasta a enemigos rojos, negros y voladores.	Los aventureros se pasan a los cielos. Ataca a distancia<br>y puede infligir daño crítico. (Ataque de área). Siempre<br>desgasta a enemigos rojos, negros, voladores y reliquias.
428	A boy lost to the destruction, reborn as a<br>Cat who makes ominous statements.<br>100% chance of Wave Attack.	Over time, the boy-turned-Cat evolved the<br>powerful legs from his time as a human.<br>100% chance of Wave Attack.	
429	Cat bearing the spirit of a legendary programmer<br>dedicated to teaching the world through his blog.<br>Long-distance attacks 100% Weaken non-Metal.	An expert techie who knows any machine inside<br>and out. Yesterday, his own blog was hacked...<br>Long-distance attacks 100% Weaken non-Metal.	
430			
431	Un prodigio de la Oficina de Investigaciones Infernales<br>del inframundo, con más de 665 casos resueltos.<br>Sus oleadas pueden paralizar a álienes y voladores.	Este veterano se acercó demasiado a la verdad y desmanteló<br>una conspiración más terrorífica que el propio infierno.<br>Sus oleadas pueden paralizar a álienes y zombis.	Se dio cuenta de su verdadero poder tras llevar a los<br>archidemonios corruptos ante la ley. ¡Hora del juicio final!<br>Sus oleadas siempre paralizan a zombis.
432	Joining the fight from Betakkuma!<br>Weirdly cute white bear with some slick moves.<br>Might knockback Aliens.	Joining the fight from Betakkuma!<br>Changed colors after training by an assassin's guild.<br>Might knockback Aliens.	
433	Inspired by a weirdly cute white<br>bear, has mastered those slick moves.<br>Might knockback Black enemies.	Embracing its savage instincts, it<br>rains rapid-fire blows on its enemy.<br>Might knockback Black enemies.	
434			
