000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
179	來自消滅都市的戰士！什麽都送的送貨員拓也和<br>神秘少女小雪。目標是3年前"消滅"的某個都市<br>對上飄浮敵人很耐打（範圍攻擊）	不小心把貓咪當成魂珠拿來之後不得已<br>一起載著走。目標是3年前"消滅"的某個都市<br>對上飄浮敵人很耐打（範圍攻擊）	爲了找尋忽然失蹤的小雪而帶著握有重要線索的<br>神秘生物一同行動。對上飄浮敵人很耐打<br>打倒敵人的時候可以得到很多金錢（範圍攻擊）
180	從消滅中奇跡生還的少女<br>雖然似乎因此獲得了不可思議的力量…<br>可以給予飄浮敵人超大傷害（範圍攻擊）	在貓咪的協助下變得能夠召喚<br>新種魂體的神秘少女小雪<br>可以給予飄浮敵人超大傷害（範圍攻擊）	為了跟貓咪對話而裝上貓耳的小雪<br>心靈更契合讓魂體力量大增！<br>可以給予飄浮敵人超大傷害（範圍攻擊）
181	受"從消滅中奇跡生還的少女"的影響<br>靠模仿學會了飛行與有了不可思議的力量<br>偶爾會讓飄浮敵人瞬間動作停止	為了與"從消滅中奇跡生還的少女"更像<br>靠著醫美整形讓自己美麗再進化的貓。<br>偶爾會讓飄浮敵人瞬間動作停止	
182			
183	3DS版「貓咪大戰爭3DS！」紀念角色<br>喜歡卡丁車、網球、派對等，興趣廣泛的貓咪<br>打倒敵人的時候可以得到很多金錢	3DS版「貓咪大戰爭3DS！」紀念角色<br>最討厭幽靈的貓咪，人稱「永遠的老二」<br>打倒敵人的時候可以得到很多金錢	
184	從「Mr. Ninja!!Fever」中來參戰！<br>在華麗的惑星間揮舞武士的忍者<br>可以給予異星戰士超大傷害（範圍攻擊）	從「Mr. Ninja!!Fever」中來參戰！<br>擁有華麗刀法活潑可愛的小女孩<br>可以給予異星戰士超大傷害（範圍攻擊）	
185	來自梅露可物語的戰士！<br>理性與直覺兼備的銀色野獸。有時候<br>發出會心一擊，對上鋼鐵敵人很耐打	來自梅露可物語的戰士！<br>非常專情的酷女，暱稱是哈修。有時候<br>發出會心一擊，對上鋼鐵敵人很耐打	來自梅露可物語的戰士！<br>將王國風新服裝穿著的非常合適的革命劍士<br>有時候發出會心一擊，對上鋼鐵敵人很耐打
186	來自梅露可物語的戰士！<br>憧憬飛龍，夢想著建造通天之橋的女性。<br>有時候會讓黑色與紅色敵人瞬間動作停止(範圍攻擊)	來自梅露可物語的戰士！<br>熱心收集通天之橋的材料・龍鱗<br>有時候會讓黑色與紅色敵人瞬間動作停止(範圍攻擊)	
187	來自梅露可物語的戰士！<br>天生怪力又性格乖僻的騎士。但其實是個<br>內心溫柔的好青年。對上天使敵人很耐打	來自梅露可物語的戰士！<br>梅露可表示那件事是個秘★密！<br>對上天使敵人很耐打	來自梅露可物語的戰士！<br>梅露可就是個秘★密！有時候會將秘密ＯXＯX唷！<br>對上天使敵人很耐打，有時候可使攻擊無效化
188	來自梅露可物語的戰士！<br>和「夜間生物」交換了契約的神奇少女<br>攻擊距離長，且善於攻擊黑色敵人(範圍攻擊)	來自梅露可物語的戰士！<br>據説如果摸了她帶著的棺材就會化爲灰燼<br>攻擊距離長，且善於攻擊黑色敵人(範圍攻擊)	
189	來自梅露可物語的戰士！<br>因爲某種原因而遭到詛咒的超強魔法師<br>有時候能打飛天使敵人(範圍攻擊)	來自梅露可物語的戰士！<br>托弟子的福，終於取回了他重要的東西<br>有時候能打飛天使敵人(範圍攻擊)	
190	來自梅露可物語的戰士！<br>和某個少年交換了契約的夜間生物紳士(範圍攻擊)<br>有時候能打飛紅色與黑色敵人並使其動作變慢	來自梅露可物語的戰士！<br>或許因爲來自夢境，而有點異於常人的紳士(範圍攻擊)<br>有時候能打飛紅色與黑色敵人並使其動作變慢	
191	來自梅露可物語的戰士！<br>負責日版梅露可宣傳的超人氣角色大閙貓咪世界！<br>有時候能讓敵人動作變慢	來自梅露可物語的戰士！<br>據説除了宣傳之外還要負責冰鎮蘋果<br>有時候能讓敵人動作變慢	來自梅露可物語的戰士！<br>現在在打工幫貓咪大戰爭宣傳喔<br>有時候能讓敵人動作變慢
192			
193			
194	前天夢到外星人來襲覺得該挺身而出<br>而將自己改造成很像人造人的超天才少年<br>有時候會讓異星戰士動作停止（範圍攻擊）	將國中時在家裡蹲3年的黑暗之力一口氣解放出來<br>在背水一戰時發揮迴光返照的反骨力來貫徹正義<br>體力減少的話攻擊力就會大幅上升（範圍攻擊）	深信｢未來和自己是能改變的｣<br>而向不變的社會全力抵抗的超天才少年<br>善於攻擊異星戰士而且波動傷害無效（範圍攻擊）
195	用一根扳手將用每本雜誌附錄零件組成的機器人<br>改造成殺戮機器的模改少女（範圍攻擊）<br>對上異星戰士和黑色敵人很耐打，死前能存活一次	趁著夜黑風高闖入機場偷了噴射機，用一根起子<br>花了一晚將它解體改造成決戰機器的少女（範圍攻擊）<br>有時候將異星戰士打飛並使之攻擊力下降	以遠端操作將國際宇宙組織NYASA的宇宙船<br>化為超變形機器的少女(範圍攻擊)<br>能對異星戰士造成超大傷害使動作變慢
196	穿著能夠完全遮蔽紫外線的華麗套裝<br>有著午間連續劇絕對看不到的黑暗容顏<br>給予異星戰士和飄浮敵人超大傷害（範圍攻擊）	在夜晚化身為怪人之姿守護貓咪城和平的英雄<br>對於師奶們熱情地要求簽名的攻勢很難拒絕<br>給予異星戰士和天使敵人超大傷害（範圍攻擊）	為了在電影選角獲選而大幅改造西裝的超級怪人<br>把動的歪腦筋都化為能量來消滅邪惡<br>給予異星戰士和古代種超大傷害（範圍攻擊）
197	情緒高漲時可以將周圍金屬弄彎的貓<br>目前正在尋找咖哩擺在眼前時保持冷靜的方法<br>有時候可以讓異星戰士動作變慢	會讓周遭所有物品產生異變的靈異體質貓<br>正在尋找一起玩投接球玩到不見的朋友<br>有時候可以讓異星戰士動作變慢	把所有接近自己的物體都吸進黑洞的貓<br>有預感最後自己是不是也會給吸走<br>有時候可以讓異星戰士動作變慢
198	自稱從過去來到現世，能使用妖術的貓咪<br>接到除靈委託時會立刻開跑車趕到現場<br>有時候會讓鋼鐵以外的敵人攻擊力下降	被外星人強迫簽訂變身契約的魔法少女<br>簽訂變身契約後獲得贈品光之魔杖<br>有時候會讓鋼鐵以外的敵人攻擊力下降	契約到期所以改行當魔王<br>百戰百勝裡扮演的大魔王薪水可不差<br>必定能讓鋼鐵以外的敵人攻擊力下降
199	胸懷大志等待著大浪的到來，<br>人生巔峰來得太晚的40歲衝浪者。<br>有時候讓異星戰士停止，死前有機會存活（範圍攻擊）	被瘋狗浪捲得老遠的貓咪。<br>他所看不見的陸地搞不好就近在眼前。<br>有時候讓異星戰士停止，死前有機會存活（範圍攻擊）	我與大海為友，時而溫柔體貼，時而帶點威嚇。<br>與這個朋友同行，就是我的人生。有時候讓異星戰士<br>動作停止，必定可以死前存活一次(範圍攻擊)
200	被怎麼攻擊都只會受到最小傷害的鋼鐵貓<br>雖是純度100%的稀有金屬但很怕會心一擊<br>無法靠解開等級上限來提升「+等級」（鋼鐵屬性）	被怎麼攻擊都只會受到最小傷害的鋼鐵貓<br>得到了雙手卻完全忘了上漆這回事<br>無法靠解開等級上限來提升「+等級」（鋼鐵屬性）	
201	以輕快節奏引領貓咪軍團的貓<br>儀隊成員募集中<br>有時候能降低鋼鐵敵人攻擊力	引領專門養成貓界菁英的「貓咪學園」<br>姿勢拔群的侵略科系2年級生。親子兩代都<br>身負要職。有時候能降低鋼鐵敵人攻擊力	不打算在外求職決定繼承家業搗麻糬的貓咪<br>尋找著跟他以相同節奏協力搗麻糬的搭檔中<br>有時候能降低鋼鐵敵人攻擊力
202	貓咪大戰爭繁體中文版紀念角色<br>窩在蒸籠中偷懶而變成小籠包的貓咪<br>藏在心中的壯志與湯汁，準備出擊！	貓咪大戰爭繁體中文版紀念角色<br>為了實現「希望能大口咬」願望的職人自信作<br>常被吐槽「啊不就肉包嗎？」（範圍攻擊）	
203	捕獲謎樣的古代生物並持續追蹤的SCAT部隊貓咪！<br>為了實施泥船計畫不擇手段<br>有時候讓天使和異星戰士的攻擊力下降(範圍攻擊)	泥船計劃的結果。與古代物種有超高同步率的共鳴<br>經數千年後古代兵器再次發動！<br>必定讓天使和異星戰士的攻擊力下降(範圍攻擊)	與古代物種的進化產生共鳴後完全覺醒的古代兵器<br>為了成就機密任務而將證據完全毀滅(範圍攻擊)<br>善於攻擊天使和異星戰士，必定使其攻擊力下降
204			
205			
206			
207			
208			
209	目標是可以成為像基本貓咪一樣的<br>低成本生產的基本角色<br>	目標是可以鍛鍊成<br>有魅力肌肉的基本角色<br>	飽經鍛鍊的肌肉跟衝天飛機頭<br>是其魅力所在的基本角色<br>甩掉贅肉後CP值更高了
210	目標是可以成為<br>體力很強的肉盾角色<br>但是攻擊力有跟沒有一樣	目標是可以成為<br>用來當人牆的肉盾角色<br>但攻擊力還是老樣子(範圍攻擊)	橡膠製的肉盾專用角色<br>成長後性格圓滑了一點<br>但攻擊力還是老樣子(範圍攻擊)
211	目標是可以成為<br>戰鬥型的角色<br>善於攻擊「紅色敵人」	目標是可以成為<br>他崇拜勇者的戰鬥型角色<br>善於攻擊「紅色敵人」	成長後轉為崇拜怪物獵人<br>的戰鬥型小貓<br>善於攻擊天使敵人
212	是秘密警察「拉比滋」的成員之一<br>以檢舉力100%的威嚇搜查出名的變裝女刑警。<br>必定能使異星戰士和紅色敵人動作變慢（範圍攻擊）	是暗殺黑貓團「卡滋」的成員之一<br>犯罪絕不留下痕跡的華麗殺手。<br>善於攻擊異星戰士和紅色敵人（範圍攻擊）	是諜報機關「法克斯」的指揮官<br>用三寸不爛之舌説服部下進行各種艱難任務（範圍攻擊）<br>必定打飛異星戰士和紅色敵人並使其攻擊力下降
213			
214	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>看起來是俘虜，但其實是特殊部隊中的能手<br>死前有機會存活（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>能用氣彈從後方進行掩護<br>死前有機會存活（範圍攻擊）	
215	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>正規軍少校。經過千錘百鍊且擅寫程式的軍人<br>偶爾會讓異星戰士瞬間動作停止	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>手握重型機槍的知性派能手特務<br>偶爾會讓異星戰士瞬間動作停止	
216	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>正規軍上尉。墨鏡是其註冊商標<br>有時候會打飛異星戰士（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>手握散彈槍的馬可至交<br>有時候會打飛異星戰士（範圍攻擊）	
217	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>正規軍情報特殊部隊的下士<br>能對異星戰士造成超大傷害（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>精通求生及諜報技能的孟菲斯炸彈女<br>能對異星戰士造成超大傷害（範圍攻擊）	
218	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>正規軍情報特殊部隊的軍士長。軍人世家的獨生女<br>偶爾會讓異星戰士的動作變慢	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>性格穩重，但有點天然呆。能用手槍進行支援<br>偶爾會讓異星戰士的動作變慢	
219	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>單人用的高性能小型戰車<br>又稱「METAL SLUG」（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>機動力強得沒話説的正規軍主力戰車<br>用加農炮進行掩護（範圍攻擊）	
220	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>不分敵我，人人皆懼的莫丁軍「鬼軍曹」<br>死前可以存活一次	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>就算在雪山也一樣光著上身的無敵軍曹<br>死前可以存活一次	
221	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>就是所謂的火星人<br>有時候會讓異星戰士攻擊力下降	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>本來可以做出時空跳躍等特殊行動。但是這次不能<br>有時候會讓異星戰士攻擊力下降	
222	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>以戰車殘骸為殼的巨大寄居蟹<br>善於攻擊異星戰士（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>會用其巨爪撥開沙堆突進而來，威力不可小覷<br>善於攻擊異星戰士（範圍攻擊）	
223	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>守護秘密工廠的超大型護衛機器人（範圍攻擊）<br>有時候能打飛異星戰士並使之移動變慢	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>會射出能把一切事物汽化的強力雷射（範圍攻擊）<br>有時候能打飛異星戰士並使之移動變慢	
224	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>前正規軍統帥。具有超凡的領袖魅力（範圍攻擊）<br>對上異星戰士很耐打，有時候能打飛他們	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>為了定罪腐敗的軍部和政治而戰，單手扛著火箭炮的硬漢。<br>對上異星戰士很耐打，有時候能打飛他們（範圍攻擊）	
225	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>莫丁軍的大型直升轟炸機。<br>善於攻擊飄浮敵人，有時候能打飛他們（範圍攻擊）	來自越南大戰METAL SLUG DEFENSE的狠角色！<br>雖然是戰鬥機，但也會被用來護送重要人物。<br>善於攻擊飄浮敵人，有時候能打飛他們（範圍攻擊）	
226	將罪大惡極的惡魔靈魂封印到人偶裡的超強咒術師<br>只能攻擊異星戰士和飄浮敵人<br>但破壞力超強，攻城比吃飯還輕鬆（範圍攻擊）	操控魔物去收集罪人靈魂販賣的地獄商人<br>只能攻擊異星戰士和天使，但破壞力超強<br>打倒敵人的時候可以得到很多金錢（範圍攻擊）	為了滿足好奇心而埋頭研究的瘋狂科學家<br>不斷重複著將靈魂注入拼裝肉體中的實驗<br>只能攻擊異星戰士但破壞力超強(範圍攻擊)
227	頭戴南瓜燈籠的萬聖節貓咪<br>生來就爲了去捉弄那些<br>想來點亮燈籠的人	因爲捉弄太多人而不得超生的喵怪<br>但還是沒有反省，老讓人恨得牙癢癢的<br>偶爾會讓黑色敵人瞬間動作停止	
228	萬聖節限定造型的鄰家小貓<br>雖然想捉弄人卻沒有勇氣…<br>崇拜的對象是萌貓（有時候會心一擊）	不會魔法卻當了魔女的萌萌貓<br>她還不知道只要有個叫「一點點勇氣」的魔法<br>就可以改變全世界（有時候會心一擊）	
229	萬聖節限定造型！能夠操縱風的力量的超能少女<br>從遠距離發射的甜心砲<br>可以給予異星戰士超大傷害（範圍攻擊）	滿街用風捉弄人的超能萬聖少女<br>從遠距離發射的甜心砲<br>可以給予異星戰士超大傷害（範圍攻擊）	
230	萬聖節限定造型！能夠操縱雷的力量的電腦少女<br>從遠距離發射的強烈的雷電<br>可以給予黑色敵人超大傷害（範圍攻擊）	專門挑逗純情男子的電腦少女<br>從遠距離發射強烈的雷電<br>可以給予黑色敵人超大傷害（範圍攻擊）	
231			
232			
233			
234			
235			
236			
237	先機大學第一名畢業的精英貓咪<br>在追求利益與怕羞上無貓能出其右<br>能讓敵人的攻擊力大幅下降	25度榮獲喵貝爾經濟學獎的天才博士<br>第一個發現獲得更多經驗值的方法的貓<br>能讓敵人的攻擊力大幅下降	
238	貓界的傳奇工作狂「土豪貓」的表弟<br>身爲土豪，卻拿到大錢就會直冒冷汗<br>打倒敵人的時候可以得到很多金錢	貓界的傳奇工作狂「土豪貓」的老爸<br>說什麼都不工作，成了「土豪貓」的負面教材<br>打倒敵人的時候可以得到很多金錢	
239	爲了成爲厲害的狙擊手，每天努力學狙擊的<br>學徒貓。可惜子彈都是豆子，所以別太期待<br>能從遠處打飛鋼鐵敵人以外的對象	絕對達成雇主目的的職業狙擊手<br>能夠輕鬆操作任何槍械，不過子彈還是豆子<br>能從遠處打飛鋼鐵敵人以外的對象	
240	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色（範圍攻擊）<br>死前能夠存活一次，體力減少攻擊力就大幅上升	是貓還是執掌死亡的古神沒人知道<br>完全是個謎樣般的角色（範圍攻擊）<br>死前能夠存活一次，體力減少攻擊力就大幅上升
241	聖誕節限定造型的天然女孩<br>能讓雪人發射壓倒性的超近距離光束砲（範圍攻擊）<br>對上異星戰士及天使敵人很耐打	會喜歡上對自己溫柔的任何人的聖誕女孩<br>這就是所謂的滑雪場之戀！？（範圍攻擊）<br>對上異星戰士及天使敵人很耐打	
242	聖誕節限定造型的熱血女孩<br>遠距離的聖誕樹攻擊破壞力超強<br>善於攻擊異星戰士和天使敵人（範圍攻擊）	超討厭聖誕節的甜蜜氣氛的熱血女孩<br>可是一到了槲寄生下面就會小鹿亂撞<br>善於攻擊異星戰士和天使敵人（範圍攻擊）	
243	聖誕節限定造型的魔法女孩<br>能施放聖光打擊惡勢力（範圍攻擊）<br>有時候讓異星戰士和天使敵人暫時動作停止	不怎麼笑的她只會在聖誕節<br>展露充滿慈愛的微笑（範圍攻擊）<br>有時候讓異星戰士和天使敵人暫時動作停止	
244	聖誕老人送的禮物<br>裡面放的是什麼先不告訴你♪<br>偶爾會讓天使敵人瞬間動作停止	貓咪軍團送的禮物<br>裡面放的是什麼先不告訴你♪<br>偶爾會讓天使敵人瞬間動作停止	
245	目標是可以成為<br>攻擊遠處敵人的遠距離攻擊角色<br>	目標是可以成為<br>對自己超美的腿感到驕傲的遠距離攻擊型角色<br>	成長為對自己美腿感到驕傲的遠距離攻擊型小貓<br>臉上的OK蹦是一種讓人看起來很強的魔咒<br>有時候能破壞護盾及打飛異星戰士
246	目標是可以成爲<br>動作敏捷移動能力優越的角色<br>	目標是可以成爲<br>動作敏捷移動能力優越的角色<br>	成長為動作敏捷移動能力優越的小貓<br>頭上的鬃毛是集點換來的<br>波動傷害無效
247	目標是可以成爲<br>體力雖然低但可以<br>一次攻擊所有敵人的角色（範圍攻擊）	目標是可以成爲<br>可以將敵人一網打盡<br>超越重力的改造貓咪（範圍攻擊）	成長為都市型空中庭園的小貓<br>夢想是用花將世界填滿<br>善於攻擊不死生物（範圍攻擊）
248	來自Girlsmons的貓咪！<br>不幸地被車輾過的貓怪<br>偶爾會讓不死生物動作瞬間變慢	來自Girlsmons的…貓咪?<br>死不瞑目的貓怪幽靈<br>偶爾會讓不死生物動作瞬間變慢	
249	從城與龍來參戰！<br>可以低價召喚的基本角色<br>體力下降時攻擊力上升	從城與龍來參戰！<br>突然被召喚而來，使用掃把攻擊的劍士<br>體力下降時攻擊力上升	從城與龍來參戰！<br>得到有退魔之力的神劍成為明王的劍士<br>體力下降時攻擊力大幅上升
250	從城與龍來參戰！<br>穿梭於戰場斬退敵人！<br>	從城與龍來參戰！<br>移居森林，與駿馬共生的騎馬兵<br>	從城與龍來參戰！<br>以疾風黑馬為坐騎，人稱勇猛黑騎兵<br>
251	從城與龍來參戰！<br>揮舞手中的四根棍棒使出強烈的攻擊<br>偶爾會打飛鋼鐵以外的敵人	從城與龍來參戰！<br>將棍棒換成了刀。為了追求四刀流的極限而戰的阿修羅<br>偶爾會打飛鋼鐵以外的敵人	從城與龍來參戰！<br>手握修羅王之刀，臉戴羅睺面具的阿修羅<br>偶爾會打飛鋼鐵以外的敵人
252	從城與龍來參戰！<br>最擅長空中攻擊，<br>但不知道為什麼高度老是上不去(範圍攻擊)	從城與龍來參戰！<br>從飛行海盜船上發射龍火炮<br>但不知道為什麼還是飛得很低(範圍攻擊)	從城與龍來參戰！<br>從UFO上發射光線炮<br>可是飛行高度還是一樣低(範圍攻擊)
253	從城與龍來參戰！<br>以傳統方式作戰的人類與巨龍搭檔<br>	從城與龍來參戰！<br>變身為骷髏的龍騎士<br>	從城與龍來參戰！<br>變身為火龍獲得火焰之力的龍騎士<br>
254	從城與龍來參戰！<br>看起來像隻可愛的貓，但被打到可是很痛的！<br>偶爾會讓鋼鐵以外的敵人瞬間動作停止	從城與龍來參戰！<br>想變得更可愛而一身蘿莉塔打扮的萌貓女<br>偶爾會讓鋼鐵以外的敵人瞬間動作停止	從城與龍來參戰！<br>用近未來的服裝表現可愛之處的萌貓女<br>偶爾會讓鋼鐵以外的敵人瞬間動作停止
255	從城與龍來參戰！<br>有傳言說他在家鄉<br>打遍天下無敵手的怪獸代表	從城與龍來參戰！<br>穿上一身鋼鐵裝備大肆破壞的藍胖<br>	從城與龍來參戰！<br>獲得可以看見時間的眼球成為時空守護者的藍胖<br>
256	從城與龍來參戰！<br>用巨大的拳頭使出強力一擊。說話最後都會加一句「下巴」<br>有時候會讓飄浮以外的敵人動作變慢(範圍攻擊)	從城與龍來參戰！<br>變成一隻大兔子的巨魔像<br>有時候會讓飄浮以外的敵人動作變慢(範圍攻擊)	從城與龍來參戰！<br>成為火山化身的巨魔像<br>有時候會讓飄浮以外的敵人動作變慢(範圍攻擊)
257	奧林帕斯十二神之一，全能至高無上神<br>用王者神器「天界雷劍」讓全世界瀕臨破滅<br>很怕老婆但對上天使敵人很耐打（範圍攻擊）	進化到巨神模式，憤怒的全能至高無上神<br>用霸王神器「天界神雷劍」讓全世界化爲虛無<br>很怕老婆但對上天使敵人很耐打（範圍攻擊）	
258	帶領人類靈魂進入冥界的死者之神<br>用死之神器「冥界之杖」消滅罪人的靈魂<br>波動傷害無效（範圍攻擊）	獲得了支配冥界的完美之力的死者之神<br>用絕命神器「冥界神杖」滅絕所有的生命<br>波動傷害無效（範圍攻擊）	
259	掌管愛、美與性的驕傲女神<br>美之神器「黃金弓」無法攻擊近處的敵人，但擁有<br>超長射程並能對異星戰士造成超大傷害（遠距範圍攻擊）	掌管愛、美與性的驕傲女神<br>究極美之神器「黃金神弓」帶來崩壞與重生<br>能對異星戰士造成超大傷害（遠距範圍攻擊）	
260	搭乘未來交通工具的IT企業老總<br>配備有懲罰按鈕讓他隨時教訓偷懶的員工<br>善於攻擊紅色，黑色和天使敵人(範圍攻擊)	夢想著成爲未來的無人偵察機<br>但卻到處墜機的麻煩製造者<br>善於攻擊紅色，黑色和天使敵人(範圍攻擊)	來自未來的"貓型"角色<br>有時候會不小心穿越到女澡堂...<br>善於攻擊紅色，黑色和天使敵人(範圍攻擊)
261	用代代相傳的退魔刀除惡斬奸的忍者<br>可以用胸部的能量核高速移動來攻擊敵人<br>有時候會使出會心一擊（遠距範圍攻擊）	能量核失控而失去自我的忍者<br>燃燒自己的魂魄來消滅黑暗<br>有時候打飛異星戰士並使其動作變慢(遠距範圍攻擊)	解放了能量核力極限的忍者<br>身著黑曜盔甲在黑暗中疾速奔跑<br>有時候打飛不死生物並使其動作變慢(遠距範圍攻擊)
262			
263			
264			
265			
266			
267	一心想要學校停課而變成颱風的貓咪<br>身負全國學生的期待持續北上中<br>超高速攻擊，有時候會使出會心一擊(範圍攻擊)	受到聖嬰現象影響而巨大化的颱風貓<br>把來察看田地的貓咪也捲進來而持續成長<br>超高速攻擊，有時候會使出會心一擊(範圍攻擊)	召集所有的風並引起暴風的貓咪<br>雨中的公車站也被吹走了，華麗的冒險即將開始了<br>超高速攻擊，有時候會使出會心一擊(範圍攻擊)
268	對熊熊老師說了｢喜歡貓的女孩比較受歡迎！｣<br>就叛逃加入貓咪軍團的森林女孩系刺客<br>火箭砲雖然故障了但還是幹勁十足(遠距範圍攻擊)	認爲自己人氣急速上升的矯情小刺客<br>自稱現在的競爭對手是瓦爾基麗貓<br>火箭砲雖然故障了但還是幹勁十足(遠距範圍攻擊)	被教導要愛惜動物生命的小刺客<br>會打飛所有對森林中夥伴下手的人<br>有時候會讓古代種攻擊力下降！(遠距範圍攻擊)
269	膽小愛哭的幼年野獸<br>還不知道神秘的力量沉睡在自己體內<br>善於攻擊有屬性的敵人(範圍攻擊)	只會在追求真正力量的強者面前出現的夢幻貓咪<br>善於攻擊有屬性的敵人，波動傷害無效<br>有時候會使出會心一擊(範圍攻擊)	
270	給暗黑魂體附身而狂亂化的少女<br>著魔了似的想解開"消失"之謎<br>可以給予紅色及黑色敵人超大傷害（範圍攻擊）	將自己獻給狂亂貓咪而完全狂亂化的小雪<br>失去自我的少女能夠召喚出邪惡的暗黑魂體<br>可以給予紅色及黑色敵人超大傷害（範圍攻擊）	吸入狂亂貓的力量，長出了貓耳跟貓尾的小雪<br>邪惡的魂體也力量大增了。<br>可以給予紅色及黑色敵人超大傷害（範圍攻擊）
271	掌管太陽與大地的慈悲女神<br>使用光之神器「八尺鏡」平息紛擾亂世的人們<br>可以給予有屬性的敵人超大傷害(範圍攻擊)	掌管太陽與大地的慈悲女神<br>使用黎明之神器「八尺神鏡」將惡魂們送入黃泉<br>可以給予有屬性的敵人超大傷害(範圍攻擊)	
272	掌管知識帶來繁榮財富的神<br>其智慧神器「巨眼心拳」可以擺脫災厄<br>體力下降時攻擊力上升(遠距範圍攻擊)	掌管知識帶來繁榮財富的神<br>其真知神器「巨眼神拳」可以解除一切災厄<br>體力下降時攻擊力上升(遠距範圍攻擊)	
273	把青春都奉獻給啦啦隊了的角色<br>用短短的手腳揮舞出「L・O・V・E」的文字<br>必定能會心一擊	把青春都投入在咖啡廳打工了的角色<br>用矯健的身手全心全意款待客人<br>必定能會心一擊	把青春都投入在期待在打工店家戀愛的角色<br>華麗的送麵方式隱藏有「我喜歡你」的意思<br>必定能會心一擊
274	將恩愛歡樂的戀人一個個送到冥界<br>差點把海之家夷爲平地的傳說少女<br>可以給予紅色敵人超大傷害（範圍攻擊）	在2歲的春天把心動的感覺封印至冥界的傳說少女<br>試著以夏日的開放感喚醒真正的自我<br>可以給予紅色敵人超大傷害（範圍攻擊）	
275	夏日限定造型！秘密警察「拉比滋」的成員<br>領悟到最強裝扮即是泳裝的變裝女刑警<br>必定能使天使敵人和黑色敵人動作變慢（範圍攻擊）	美人計強化中！暗殺黑貓團「卡滋」的成員<br>犯罪絕不留下痕跡的魅惑殺手。<br>善於攻擊天使敵人和黑色敵人（範圍攻擊）	
276	夏日限定造型的鄰家小貓<br>因為害怕而不敢從跳水板跳下<br>崇拜的對象是萌貓（必定能會心一擊）	第一次被帶到海水浴場的萌萌貓<br>閃耀的夏日艷陽，似乎可以帶來跨出<br>第一步的勇氣（必定能會心一擊）	
277	來自NEO菇菇栽培研究室的新人物！<br>企圖稱霸餐桌的食用菇菇<br>生產成本低可以大量生產	來自NEO菇菇栽培研究室的新人物！<br>用繁殖特技使頭上長出了貓咪<br>生產成本低可以大量生產	
278	來自NEO菇菇栽培研究室的新人物！<br>據說為了下半身是否裝上履帶就煩惱了半年<br>可以攻擊遠處敵人的遠距離攻擊型角色	來自NEO菇菇栽培研究室的新人物！<br>掌控權被貓咪奪走而現在暴走中<br>可以攻擊遠處敵人的遠距離攻擊型角色	
279	來自NEO菇菇栽培研究室的新人物！<br>差點被加到味噌湯裡而現在在尋找新飼主<br>只是單發的話攻擊力很高	來自NEO菇菇栽培研究室的新人物！<br>在新飼主身邊展現了驚人的成長力<br>只是單發的話攻擊力很高	
280	來自NEO菇菇栽培研究室的新人物！<br>乍看似乎沒弱點的移動型要塞,但是遇到斷糧<br>戰法就完了！具有很強體力的肉盾角色	來自NEO菇菇栽培研究室的新人物！<br>高舉的旗上繡著代表菇菇與貓咪羈絆的「N」<br>具有很強體力的肉盾角色	
281			
282	跳舞的貓跟看跳舞的貓～！<br>一樣都是貓不跳就虧大了～！<br>生產成本低可以大量生產	喵～啦啦～喵～啦啦～喵～啦啦<br>喵喵～啦啦～喵喵啦啦！<br>生產成本低可以大量生產	
