000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
367	Joining the fight from Fate/stay night [HF]! Her<br>dagger is pledged to her Master, Shinji Matou.<br>Freezes Angels with Area Attacks!	Joining the fight from Fate/stay night [HF]!<br>Excellent  mobility, expert in barrier magecraft.<br>Freezes Angels with Area Attacks!	
368	Joining the fight from Fate/stay night [HF]! Inscrutible<br>young man with an air of invincibility. Long-range<br>Area atttacks gets stronger after taking damage!	Joining the fight from Fate/stay night [HF]! 8th<br>incarnation of a Spirit that shouldn't exist. Long-<br>range atttacks gets stronger after taking damage!	
369	Golden-haired swordscat who appeared one<br>fated night. Building strength by training with<br>a bamboo blade. Strong vs. Floating.	Swordscat who dreams of being called by<br>a worthy Master. Maintains a calm<br>demeanor always. Strong vs. Floating.	Despairing of never being summoned, this<br>Heroic Spirit has wreathed herself in darkness.<br>Strong vs. Floating, immune to negative effects.
370	Healthy and capable Cat filled with dreams.<br>Fine Western-style cuisine is her talent.<br>Has a small chance of Critical Strike.	Refining her household skills day by day.<br>Every morning must start with a proper greeting.<br>Has a small chance of Critical Strike.	She expresses her boundless hope in her cooking.<br>Her overflowing optimism is unmistakable!<br>Chance of Critical Strike and Metal knockback.
371	An Cat possessing elegance unrivaled at her<br>school. Beauty extends to behavior befitting<br>an honor student. Might knockback Aliens.	Endlessly seeks to improve on herself.<br>Lashes out when she feels her weakness<br>might be exposed. Might knockback Aliens.	
372	An uncanny Cat with silver hair and red eyes.<br>Once tried to care for a small bird.<br>Might Slow Red enemies.	Inheritor of the blood of a venerable House.<br>Recently purchased new winter clothes.<br>Might Slow Red enemies.	
373	Joining the fight from Fate/stay night [HF]!<br>Dreams of defending justice like his adopted<br>father. Tough vs. Black enemies.	Joining the fight from Fate/stay night [HF]!<br>Joined the Holy Grail War after summoning<br>his Servant, Saber. Tough vs. Black enemies.	
374	Joining the fight from Fate/stay night [HF]!<br>Admires Shirou, takes care of the Emiya<br>household. Area Attacks might Critical.	Joining the fight from Fate/stay night [HF]! "If I<br>became a bad person, would you forgive me?"<br>Area Attacks might Critical.	
375	Un prezioso oggetto da collezione!<br>Solo 9 miliardi di esemplari!<br>	Un oggetto commemorativo impregnato<br>di gratitudine felina. Ogni tre Gatto moneta<br>ottieni... un altro Gatto moneta.	
376	La prima sonda felina prodotta dalla NYASA.<br>Costruita per resistere ad attacchi alieni, blocca<br>il teletrasporto e ha una forte difesa contro alieni.	Sonda felina NYASA all'avanguardia. La potenza<br>di trasmissione è così avanzata che prende anche<br>i canali osé. Forte contro alieni, blocca teletrasporto.	Satellite sperimentale NYASA costruito per osservare<br>a distanza aree fino al minimarket sotto casa.<br>Forte contro alieni, blocca teletrasporto.
377	Invincibile spadaccino imbattuto in 400 gare.<br>Deve usare la mano sinistra per sentirsi messo<br>alla prova. Probabilità del 100% di sfondare le barriere.	Ha deciso di provare un nuovo tipo di spada, ma<br>non riesce ad abbandonare la sua specialità<br>originale. Probabilità del 100% di sfondare le barriere.	Si è ritirato dalle gare per darsi al settore del<br>turismo. Lo usano tutti come punto d'incontro.<br>Probabilità del 100% di sfondare barriere.
378	Mitama è stata tradita da questo mondo crudele<br>ed è passata al lato oscuro. (Attacco a distanza)<br>Forte contro nemici senza tratti, rallentamento al 100%.	Come una vedova che piange l'amore perduto, è<br>intrappolata nei ricordi. (Attacco a distanza)<br>Forte contro senza tratti, rallenta/indebolisce al 100%.	
379	Temuta regina del centro ricreativo.<br>Le sue schiacciate mettono KO i rivali.<br>Attacchi a distanza possono scatenare danni critici!	Primadonna chiamata la Rosa del Repertorio.<br>Si libra in cielo e atterra come un giavellotto.<br>Attacchi a distanza possono scatenare danni critici!	Abile chef chiamato Principe delle spezie.<br>I nemici metallici non resistono ai sapori piccanti.<br>Attacchi a distanza possono scatenare danni critici!
380	Un giovane e coraggioso soldato con molto da dimostrare.<br>Ma nemmeno lui conosce la sua stessa forza.<br>Danni extra a ogni nemico con tratti. (A distanza)	Con la spada affilata e uno spirito imbattibile,<br>rischierà tutto per proteggere i suoi compagni.<br>Danni extra a ogni nemico con tratti. (A distanza)	
381	Un umile gatto che coltiva bontà per rendere felici<br>gli altri. Selezionato per l'armata felina tra molti.<br>Raccoglie soldi extra quando sconfigge i nemici.	Il mercato delle rape è in espansione. È ora di trarre<br>profitto dal raccolto! Un veterano dell'armata felina.<br>Raccoglie soldi extra quando sconfigge i nemici.	
382	Fatto di materiale fragile, dal cuore resistente!<br>Hai solo una possibilità nella vita, approfittane!<br>Attacca solo una volta, rallenta i senza tratti.	Fatto con un vetro un po' più resistente, ma<br>comunque non ha molto effetto in battaglia.<br>Attacca solo una volta, rallenta i senza tratti.	Il suo corpo è stato tirato a lucido per brillare<br>in eterno. Viviamo per sempre in una gloria radiosa!<br>Respinge/rallenta i senza tratti. (Attacco singolo)
383	Si è arruolato nell'armata felina dicendo: "La legge<br>del mio clan è di servire i guerrieri più forti!" Bella<br>storia, amico. Potenti attacchi ad area a distanza!	Ha rifatto la sua sacra maschera a immagine<br>dei compagni dell'armata felina. Fa imbarazzare<br>sua figlia di 12 anni. Attacchi ad area a distanza.	Una volpe argentata, irresistibile per le donne<br>ma da giovane non l'avrebbero degnato di uno sguardo.<br>Danni enormi ad antichi. Attacchi ad area a distanza.
384	Dropping in from PowerPro Baseball!<br>This manager plays it cool, but actually has a heart of gold.<br>Chance to knockback Red enemies.	Dropping in from PowerPro Baseball!<br>An aikido blackbelt with catlike reflexes.<br>Chance to knockback Red enemies.	
385	Dropping in from PowerPro Baseball!<br>No one can outrun this speedy outfielder!<br>	Dropping in from PowerPro Baseball!<br>Ends every sentence with "Donchaknow?"<br>	Dropping in from PowerPro Baseball!<br>Might love robot anime even more than baseball.<br>Area attacks release waves of destruction.
386	Dropping in from PowerPro Baseball!<br>Blesses all players with her maternal care.<br>Chance to weaken Angel enemies.	Dropping in from PowerPro Baseball!<br>Always puts others' needs before her own.<br>Chance to weaken Angel enemies.	
387	Dropping in from PowerPro Baseball!<br>A bright and energetic manager.<br>Tough defense vs. Alien enemies.	Dropping in from PowerPro Baseball!<br>No one can motivate a player like her!<br>Tough defense vs. Alien enemies.	
388	Dropping in from PowerPro Baseball!<br>Eager manager who's always two steps behind the hero.<br>Chance to knockback Zombies.	Dropping in from PowerPro Baseball!<br>Her devotion is just a bit too much sometimes.<br>Chance to knockback Zombies.	
389	Dropping in from PowerPro Baseball!<br>Openminded and cheerful team manager.<br>Chance to freeze Floating enemies.	Dropping in from PowerPro Baseball!<br>Better than anyone at resolving personality conflicts.<br>Chance to freeze Floating enemies.	
390	Dropping in from PowerPro Baseball!<br>So bad at cooking she could burn water.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Her flaw is too much earnest naivete.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Secretly Aoi Hayakawa.<br>Massive anti-Alien long-range area damage.
391	Dropping in from PowerPro Baseball!<br>A tomboy pitcher determined to win!<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Has a real sweet tooth, and loves pudding.<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Proudly sports the Tachibana Group logo.<br>Massive anti-Angel area damage.
392	Dropping in from PowerPro Baseball!<br>A rookie catcher with unparalleled game sense.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>From a temple family, loves Buddhist cooking.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>Proudly wears a temple name on her chest.<br>Strong vs. Zombies, with Area Attacks.
393	Dropping in from PowerPro Baseball!<br>Popular player with many female fans.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Has a small complex about being unfeminine.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Eventually was won over by the rhythm!<br>Area attacks slow Floating/Black.
394	Dropping in from PowerPro Baseball!<br>Attractive, popular, and skilled.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>Dreams of making it all the way to the series final.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>New pitch has the cosmic power of a black hole!<br>Strong vs. Red/Angels (Long-range/Area Atk)
395	Dropping in from PowerPro Baseball!<br>Reliable and respected shortstop.<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>No worries about seeming boyish if it helps to win!<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>Just between us, it's Miyabi... Immune to Waves.<br>Attack power increases after taking damage.
396	Primo imperatore e fondatore della dinastia dei draghi.<br>Chissà quali incredibili poteri possiede!<br>Attacchi a distanza, efficace contro alieni e zombi.	Ha coltivato la sua forza per millenni, diventando<br>ancora più potente durante la vecchiaia.<br>Attacchi a distanza, efficace contro alieni e zombi.	Un empio Antico ha sciolto i sigilli che tenevano a freno<br>la sua vera potenza. Resisti e affronta il tuo destino.<br>Attacchi a distanza, efficace contro alieni e zombi.
397	Una normalissima studentessa che ama il bubble tea<br>ed eliminare i demoni. Forte contro i metallici,<br>danni critici rallentano e indeboliscono i metallici.	È difficile coniugare il doposcuola e la difesa del<br>sacro lascito del tuo clan. Forte contro i metallici,<br>danni critici rallentano e indeboliscono i metallici.	Se devi infliggere una punizione divina, tanto vale<br>essere carini nel mentre. Possibili danni critici, rallenta,<br>indebolisce ed è incredibilmente forte vs metallici.
398			
399	Dropping in from MENTORI! Trust me,<br>talking to it is more trouble than it's worth..<br>Tough vs Floating Enemies	Dropping in from MENTORI! This weird<br>bird specializes in obnoxious interjections.<br>Tough vs Floating Enemies	
400	Dropping in from MENTORI! Mentori's sharp-<br>tongued kid sis is never not macho!<br>Chance of Critical attacks.	Dropping in from MENTORI! Just at that<br>age when it's all sarcasm all the time.<br>Chance of Critical attacks.	
401	Tuono cosmico che prende vita!<br>Evoca dei fulmini per una possibilità<br>di immobilizzare i nemici con attacchi ad area.	Con fulmini che lacerano i cieli,<br>elimina le barriere nemiche. Forte contro<br>alieni, immobilizza con attacchi ad area.	Un potente spirito che incanala la potenza della<br>tempesta che prima o poi consumerà l'universo.<br>Forte contro alieni, probabilità del 100% di immobilità.
402	Recruited from Evangelion!<br>A boy suddenly forced to pilot Evangelion.<br>Resents his distant father. (Area Attack)	Recruited from Evangelion!<br>Hoping to be respected by his comrades<br>for his piloting skills. (Area Attack)	Recruited from Evangelion! Agreed to pilot<br>Eva once again for a chance at redemption.<br>Tough vs. Aliens/Zombies (Area Attack)
403	Leader and deputy commander of NERV.<br>Out to complete their goal by any means.<br>(Area Attack)	On the moon for the final stage of their<br>plan. They trust each other fully.<br>(Area Attack)	
404	A prototype Giraffe Cat-type weapon.<br>Escaped with only the helmet equipped.<br>Might survive a lethal strike.	Received a new production-model<br>helmet for mightier headbutts. Still on<br>the run. Might survive a lethal strike.	
405	Recruited from Evangelion!<br>A strange boy with a mysterious smirk.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Thought by others to be an Eva pilot.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Seems to have known Shinji for a long<br>while. Massive area damage to Black.
406	Cat who pilots Eva Unit-00. Gendo's<br>glasses are her cherished treasure.<br>Tough vs /  Massive Damage to Angels.	She lost all memory of the black plugsuit.<br>There is nothing for her but her duty.<br>Tough vs /  Massive Damage to Angels.	
407	Cat who pilots Eva Unit-02. Flies into<br>a rage easily when she feels slighted.<br>Tough vs /  Massive Damage to Red.	She is slowly warming up to her comrades.<br>Has a habit of burning her tongue easily.<br>Tough vs /  Massive Damage to Red.	
408	A strange Cat with stylish glasses.<br>Loves to end each sentence with a meow.<br>Tough vs /  Massive Damage to Floating.	A skilled paratrooper who infiltrated Tokyo-3.<br>Learning her way around Central Dogma.<br>Tough vs /  Massive Damage to Floating.	
409	Recruited from Evangelion!<br>An aloof girl who guards her emotions.<br>Area attacks might weaken Angels.	Recruited from Evangelion!<br>Feels a strong bond with her fellow pilots.<br>Area attacks might weaken Angels.	Recruited from Evangelion! Guarding that<br>which she treasures most for 14 years.<br>Strong against and might weaken Angels.
410	Recruited from Evangelion!<br>A prideful and hot-tempered prodigy.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion!<br>Warming up to the idea of teamwork.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion! Eva 02's pilot,<br>member of anti-NERV organization WILLE.<br>Strong vs Red enemies, Area Atks might Knockback.
411	Recruited from Evangelion!<br>An enigmatic girl who arrived via parachute.<br>Strong vs. Floating (Area Attack)	Recruited from Evangelion!<br>Her love for piloting Eva is plain to see.<br>Strong vs. Floating (Area Attack)	
412	Recruited from Evangelion!<br>A humanoid superweapon prototype.<br>Tough vs Angel/Floating, negates Waves.	Recruited from Evangelion!<br>Notorious for violent incidents in testing.<br>Tough vs Angel/Floating, negates Waves.	
413	Recruited from Evangelion!<br>A humanoid superweapon test-type.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion!<br>Goes berserk when pilot is in danger.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion! Marches toward the<br>final battle with the lance of hope Cassius in hand.<br>Strong vs. Aliens/Zombies (Area Attack)
414	Recruited from Evangelion!<br>The Evangelion production model.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion!<br>The true Evangelion, or so says the pilot.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion! Eva 02's beast form,<br>activated with a backdoor code. Massive Long-range<br>Area damage vs Red, grows stronger after damage.
415	A Cat who becomes paralyzed by fear.<br>When bullied, Eva comes to his defense!<br>Knocks back Metal/Black, with Wave Attack!	Cats who can't resist their curious nature.<br>When bullied, Eva comes to their defense!<br>Knocks back Metal/Black, with Wave Attack!	
416	Operators for the secret agency NERV,<br>providing support for the Eva pilots.<br>Area attacks slow Red/Zombies.	Elite command of the NERV agency.<br>An effective team since their school days.<br>Area attacks slow Red/Zombies.	
417	Terme mobili famose in tutto il mondo.<br>Per viaggiare comodi e con stile. Bilaterali<br>rallentano e causano danni enormi contro zombi.	Un'organizzazione segreta che difende l'armata<br>felina dagli attacchi furtivi da sotto del Cane.<br>Bilaterali immobilizzano e danni enormi contro zombi.	Sulla prima linea della campagna felina per cercare e<br>distruggere le basi sotterranee del Cane. Bilaterali<br>immobilizzano e infliggono danni enormi a zombi.
418	La popstar della porta accanto amata da tutti alla fine<br>è impazzita per lo stress da fama. Perfino un<br>idolo cattivo non ha altro che amore per i propri fan.	Superstar mondiale che usa il suo carisma per<br>mandare il suo pubblico in un folle delirio.<br>L'inchino di ringraziamento infligge danni critici!	
419	Joining the fight from LINE Pokopang!<br>Rabbity defender of justice who'll<br>do anything to help his friends!	Joining the fight from LINE Pokopang!<br>His mission in life is to bring joy<br>to his fellow woodland creatures.	
420	Joining the fight from LINE Pokopang!<br>A stoic sheep who loves to collect<br>unusual objects! Tough vs Red!	Joining the fight from LINE Pokopang!<br>Hides his scavenged treasures in his fluffy<br>wool for safekeeping. Tough vs Red!	
421	Joining the fight from LINE Pokopang!<br>A burly bear who lives for peace, flowers<br>and tasty fish! Might weaken Black!	Joining the fight from LINE Pokopang!<br>Despite tough looks, loves a nice cup of<br>herbal tea most. Might weaken Black!	
422			
423			
424			
425			
426	Una super arma antica noleggiata in un<br>laboratorio misterioso. Il Gatto ha solo il foglio rosa,<br>e il suo vero potere non si è ancora espresso. (Att. ad area)	Ha apportato delle migliorie senza autorizzazione...<br>Ha sostituito l'armatura vecchia con il titano<br>violando senza dubbio il contratto d'affitto. (Att. ad area)	Anche dopo la multa, il Gatto non ha resistito ad altri<br>ritocchini. Ora dispone di una tecnologia sperimentale<br>basata su schemi di prototipi antichi. (Danni ad area)
427	Una banda di prodi felini per sconfiggere il Re del male.<br>Colpi ad area a distanza con probabilità di danni critici.<br>Probabilità del 100% di indebolire nemici rossi, neri e fluttuanti.	Il prescelto e 11 coraggiosi avventurieri.<br>Colpi ad area a distanza con probabilità di danni critici.<br>Probabilità del 100% di indebolire nemici rossi, neri e fluttuanti.	I nostri avventurieri portano l'impresa nei cieli!<br>Colpi ad area a distanza con probabilità di danni critici.<br>Indebolimento al 100% contro rossi, fluttuanti, Antichi.
428	A boy lost to the destruction, reborn as a<br>Cat who makes ominous statements.<br>100% chance of Wave Attack.	Over time, the boy-turned-Cat evolved the<br>powerful legs from his time as a human.<br>100% chance of Wave Attack.	
429	Cat bearing the spirit of a legendary programmer<br>dedicated to teaching the world through his blog.<br>Long-distance attacks 100% Weaken non-Metal.	An expert techie who knows any machine inside<br>and out. Yesterday, his own blog was hacked...<br>Long-distance attacks 100% Weaken non-Metal.	
430			
431	Prodigio dell'Ufficio delle indagini infernali<br>dell'aldilà, con poco più di 665 casi risolti.<br>Attacchi a ondata possono immobilizzare alieni/fluttuanti.	Questo veterano si è avvicinato troppo alla verità<br>e ha svelato un mistero più spaventoso dell'inferno stesso.<br>Attacchi a ondata possono immobilizzare alieni/zombi.	Ha scoperto il suo vero potere dopo aver assicurato gli<br>arcidemoni corrotti alla giustizia. Giudizio finale!<br>Attacchi a ondata immobilizzano al 100% zombi.
432	Joining the fight from Betakkuma!<br>Weirdly cute white bear with some slick moves.<br>Might knockback Aliens.	Joining the fight from Betakkuma!<br>Changed colors after training by an assassin's guild.<br>Might knockback Aliens.	
433	Inspired by a weirdly cute white<br>bear, has mastered those slick moves.<br>Might knockback Black enemies.	Embracing its savage instincts, it<br>rains rapid-fire blows on its enemy.<br>Might knockback Black enemies.	
434			
435	La sorellina di Valchiria. Miglior agente del Valhalla,<br>a capo di missioni pericolose per difendere i regni<br>mortali. Attacchi ad area possono sfondare le barriere.	La più giovane sorella di Valchiria. La natura<br>le ha donato il controllo su tutte le forze della<br>Terra. Attacchi ad area possono sfondare le barriere.	
436	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quei bei baffi...	Non ne posso più...<br>Sembra che sia immune dagli attacchi<br>a ondata. (Danni ad area a distanza)	Mostro? Mago? O solo un gatto?<br>Nessuno capisce come funzioni il suo potere.<br>Immune dagli attacchi a ondata. (Area a distanza)
437	Alla fine, Gatto divino si è unito alla battaglia!<br>Il suo starnuto sacro respinge tutti tranne i<br>metallici, e i suoi bilaterali non sono niente male.	Brilla di gloriosa fermezza e divino carisma.<br>Il suo starnuto sacro respinge tutti tranne i<br>metallici, e i suoi bilaterali non sono niente male.	Una divinità così splendente da essere quasi insopportabile.<br>Il suo starnuto sacro respinge tutti tranne i<br>metallici, e i suoi bilaterali non sono niente male.
438	Una tipa impetuosa che gestisce un bar sul mare.<br>I ragazzi in spiaggia non sembrano badare troppo alla sua<br>violenza? Efficace contro zombi/fluttuanti. (Att. ad area)	Una tosta tipa da spiaggia che tiene sotto controllo i<br>bulli pattugliando la riva sul suo speedboard.<br>Efficace contro zombi/fluttuanti. (Danni ad area)	
439	Un'onnipotente titana che ha salvato l'universo dal caos,<br>mantenendo l'ordine con il suo Orologio del destino.<br>Immobilizza i nemici con tratti con att. ad area a distanza.	Ha plasmato la realtà dalla materia primordiale usando la sua<br>padronanza dell'Orologio divino. Non si scherza con lei.<br>Immobilizza i nemici con tratti con att. ad area a distanza.	Con il potere del frutto della creazione, trattiene<br>il caos che minaccia di consumare l'universo.<br>Attacchi ad area a distanza immobilizzano nemici con tratti.
440	From Madoka Magica The Movie -Rebellion-!<br>Mami's adorable, cheese-loving partner.<br>Area attacks Weaken Aliens and Zombies.	From Madoka Magica The Movie -Rebellion-!<br>New Magical Girl who appears before Madoka.<br>Area attacks Weaken Aliens and Zombies.	
441	Guerriero errante alla ricerca della giustizia, ricorda<br>un certo Miaoschettiere. Ottiene potenza d'attacco<br>quando subisce danni, efficace contro nemici senza tratti!	La giustizia per lui è la cosa più importante e sacrifica<br>volentieri tutto per la sua causa! Ottiene potenza d'attacco<br>quando subisce danni, efficace contro nemici senza tratti!	
442	Assassino provetto che vaga nel parco con il suo<br>piccolo monello cercando vendetta contro chi inquina.<br>Forte + respinta + immobilità contro i senza tratti.	Gatto single è malato, così il micio monello<br>aiuta la mamma mentre vende bibite sul<br>treno. Forte + respinta + immobilità contro i senza tratti.	Papà e micetto sono in una meritata vacanza tropicale.<br>Per risparmiare sul volo, il micio viaggia in valigia.<br>Forte + Respinta + immobilità contro i senza tratti.
443	Il cuore del team di Minatori Grandon,<br>sogna di trivellare fino al nucleo terrestre.<br>Attacchi a distanza indeboliscono i senza tratti.	Specialista degli scavi tra i prodi Gatti Grandon.<br>La sua antenna sta trovando un tesoro sepolto da tempo!<br>Attacchi a distanza indeboliscono i senza tratti.	Specialista degli scavi tra i prodi Gatti Grandon.<br>Nuova antenna per trovare più tesori?! Forte<br>vs senza tratti, attacchi a distanza con indebolimento.
444	Spinge i pali in profondità nella terra! Non ha bisogno<br>del tuo permesso, martellerà dove vuole!<br>Forte e respinta contro zombi! (Bilaterale)	Il resto dei Grandon hanno un po' paura di lei.<br>Non ti piace? Ti pianterà un palo su per il naso!<br>Forte e respinta contro zombi! (Bilaterale)	Specialista di inserzioni del Grandon Corps.<br>Inserisce le sue punte come il filo in un ago.<br>Forte e respinta contro zombi! (Bilaterale)
445	Fa un doppio lavoro, tagliando e cucinando per<br>i Gatti Grandon. Grandi danni ad area contro i rossi.<br>Sopravvivenza, diventa forte dopo aver subito danni.	Ha ricevuto un piano cottura all'avanguardia per preparare<br>i pasti. Grandi danni ad area contro i rossi.<br>Sopravvivenza, diventa forte dopo aver subito danni.	Specialista di affettamenti (e cucina) del Grandon Corps.<br>Lavoro manuale supremo. Enormi danni ad area vs nemici<br>rossi, 100% Sopravvivenza, più forte dopo aver subito danni.
446	Nessuno scava come lui. Non ci provare, perderai.<br>Attacca solo metallici, con possibilità di danni critici!<br>Ottiene soldi extra quando sconfigge i nemici!	Il modo in cui raccoglie la terra è... incredibile.<br>Attacca solo metallici, con possibilità di danni critici!<br>Ottiene soldi extra quando sconfigge i nemici!	Sostiene che scavare buche perfette sia un atto divino.<br>Attacca solo metallici. Danni critici e attacchi a valanga!<br>Ottiene soldi extra quando sconfigge i nemici!
447	Lo specialista di motoseghe di Grandon.<br>Odia quando le cose non sono tagliate a metà.<br>Danni enormi e forte contro alieni!	Che noia quando non c'è niente da tagliare...<br>Nel carrellino c'è la spesa per la mamma.<br>Danni enormi e forte contro alieni!	Guru della turbosega, diventato tutt'uno<br>con il suo utensile. Il suo potenziale è illimitato.<br>Danni enormi e forte contro alieni!
448	Uno spadaccino errante che ha raggiunto il regno<br>della carneficina per padroneggiare la spada Nichirin.<br>Forte contro / Danni incredibili contro i nemici neri.	Il sangue sulle sue mani ha trasformato Nichirin<br>in una spada Getsurin maledetta. Non hai possibilità.<br>Forte contro / Danni incredibili contro i nemici neri.	
449	Direttrice della Cyberaccademia, rispettata da<br>tutti. Evoca lance eteree per punire i cattivi studenti.<br>Danni incredibili a rossi/fluttuanti. (A distanza/area)	La sua idea di educazione è diventata più...<br>spietata ultimamente. Ma chi se ne lamenterà?<br>Danni incredibili a rossi/fluttuanti. (A distanza/area)	
450	Il drago originale divenuto un tutt'uno con il castello<br>celeste che controlla i regni mortali.<br>Incredibilmente forte contro nemici rossi/fluttuanti.	La sua natura di drago è andata corrompendo<br>il castello celeste per molti millenni...<br>Incredibilmente forte contro nemici rossi/fluttuanti.	Leggendario drago con energie ammazzagiganti.<br>Incredibilmente forte contro nemici rossi/fluttuanti.<br>(Attacco ad area)
451	Un eroe celeste che ha giurato di vendicare il padre.<br>Il suo flauto magico può trovare i malvagi H.E.I.K.E.<br>Forte contro angelici con danni ad area incredibili.	Ushi ha scoperto un invincibile alleato mech durante<br>i suoi viaggi. Ora la vittoria su H.E.I.K.E. è certa.<br>Forte contro angelici con danni ad area incredibili.	
452	Un felino primitivo da un'epoca antica, con<br>una bella coda pinnata e utili branchie.<br>Forte contro nemici metallici e antichi.	Questo strano Gatto è stato trovato a dormire<br>sul davanzale! Che strane proporzioni che ha!<br>Forte contro nemici metallici e antichi.	Proveniente da un'epoca remota di Gatti colti e bipedi.<br>Gli piace il Friskat al curry gourmet.<br>Incredibilmente forte vs metallici e antichi
453			
454			
455	Poliziotta spaziale a caccia di criminali<br>interdimensionali con raggi al plasma di giustizia.<br>Immobilità su nemici rossi/neri/angelici con attacchi a ondata.	La detective più elegante della galassia, fa piazza<br>pulita del crimine cosmico con il suo Raggio Carino.<br>Immobilità su nemici rossi/neri/angelici con attacchi a ondata.	
456	Joining the fight from Fate/stay night [HF]!<br>Takes charge of daily care for the Emiya house.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Joining the fight from Fate/stay night [HF]! Fears<br>that Shirou will fall victim to the Holy Grail War.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Dark Sakura joins the fight from Fate/stay night [HF]!<br>After accepting darkness into herself, Sakura assumed this form.<br>Tough vs Black/Aliens/Zombies (Area Attack)
457	A Cat who strives to be a defender of justice.<br>Spent months in his room trying to summon<br>a Heroic Spirit. Strong vs. Black enemies.	Still hasn't succeeded at Heroic Spirit<br>summoning. Now leaves his room sometimes<br>to do night patrols. Strong vs. Black enemies.	
458	A Heroic Cat Spirit proficient with both bow<br>and blade. Who knows why he dislikes<br>Shirou the Cat so? Immune to Wave Attacks.	Mastered the bow in order to claim the title<br>of Archer. His hate for Shirou the Cat keeps<br>him up at night. Long-range, Immune to Waves.	
459	A Cat who wields dagger and chain with<br>grace. At a slight visual disadvantage thanks<br>to her mask. Chance to Freeze Angels.	Gained command of a legendary lifeform.<br>Can't see much due to the mask and<br>Pegasus' head. Chance to Freeze Angels.	
460	A Cat-priest with a taste for extra-spicy mapo tofu,<br>and a Cat Spirit with flawless tactical sense.<br>Might weaken Black, stronger after damage.	One Cat has begun to tire of the game of battle,<br>but the other still can't get enough mapo tofu.<br>Might weaken Zombies, stronger after damage.	
461	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano in quel<br>cristallo pandimensionale...	Ammira la sua potenza e trema!<br>Non ci sono dubbi sul fatto che<br>sia immune da danni da ondate. (Bilaterale)	
462	Una forma di vita antica una volta distrutta dal<br>potere del Cane, ma ora ripristinata con la colla vinilica.<br>Bilaterale con 100% di immobilità contro i senza tratti.	Gatto del mistero dato per disperso nell'universo.<br>Ha cambiato la verniciatura con un colore più snellente.<br>Bilaterale con 100% di immobilità contro i senza tratti.	Invadi il nostro mondo da un'altra dimensione.<br>Scarsa potenza per la ricezione instabile. (Bilaterale)<br>100% di immobilità contro antichi e senza tratti.
463	Una gemma pulsante concentra poteri mistici in<br>un'esplosione instabile ma follemente potente. Bilaterale,<br>scudo ondate e difesa alta/attacco contro zombi.	Gli esperti di tecnologia dei Gatti non garantiscono che<br>le energie extradimensionali non distruggeranno il mondo.<br>Bilaterale, scudo ondate e difesa alta/attacco contro zombi.	
464	L'armata canina ha messo questo artefatto su cBay per<br>finanziare la propria campagna, ma ha racimolato solo 0,22$.<br>Difesa alta contro i senza tratti. (Danni ad area)	Le analisi rivelano che fu creato dai Gatti antichi<br>e poi venduto ai Cani come decorazione in giardino.<br>Difesa alta contro i senza tratti. (Danni ad area)	È al suo massimo potenziale grazie alle armi adatte<br>trovate al mercatino locale. Ammazzagiganti/Ammazza<br>Behemoth, forte vs antichi e senza tratti. (Attacco ad area)
465			
466	The younger twin of Super Zeus,<br>second child of the goddess Nadia.<br>Insane Long-range Area damage to Traitless.	Soars in the sky while wielding magic power from<br>the 6 sacred eggs. Is he a devil, or an angel?<br>Insane Long-range Area damage to Traitless.	
