000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
332	Das putzige Idol bekommt einen neuen Frühlingslook! Weil sie<br>sich zu viele Gedanken macht, wo sie die Eier verstecken<br>soll, wird sie ganz panisch. Haudrauf möglich.	Moneko hatte zu tun, also übernimmt Nene! Sie liebt niedliche<br>Kostüme, aber die Aufmerksamkeit ist ihr peinlich.<br>Haudrauf möglich.	Trägt ein buntes Kleid für ein Frühlingsfest. Der Tag, an<br>dem sie ihre Schüchternheit überwindet, kann nicht fern sein.<br>Chance, eisernen Feinden diverse Statuseffekte zuzufügen.
333	Dieser Gao stammt aus der düstersten alternativen Zukunft.<br>Er will Macht um jeden Preis. (Flächenangriff)<br>Heftiger Schaden gegen wertelose Feinde.	Erscheint nur jenen, die wahre Verzweiflung erlebt haben.<br>Heftiger Schaden gegen wertelose Feinde. Friert<br>Feinde kurz ein (Flächenangriff).	
334	Füchsin aus einem mystischen Land. Verbirgt ihr wahres<br>Gesicht, jagt in den Landen der Sterblichen nach Willens-<br>schwachen. Flächenangr. können flieg./Engel-Feinde verlangs.	Ihre glorreiche wahre Natur zeigt sich! Ihre Stimmung hebt<br>sich mit jedem Kompliment für ihre niedlichen Schweife.<br>Flächenangr. können fliegende/Engel-Feinde verlangsamen.	Die verlorene Erntegöttin hat endlich ihre Maske abgelegt<br>und die Erde mit ihrem wahren Gesicht gesegnet.<br>Flächenangr. können fliegende/Engel-Feinde verlangsamen.
335	Eine arbeitslose Meerjungfrau der mystischen See. Träumt<br>von süßen Jungen, die sich in die Fluten stürzen, um sie zu<br>daten. Resistent gegen rote Feinde, schwächt Feinde.	Wahre Liebe hat ihr Beine geschenkt, um neben ihrem<br>Liebsten zu gehen, aber jetzt wünscht sie sich nur Zeit für<br>Videospiele. Resistent gegen rote Feinde, schwächt Feinde.	Hat einen Unterwasserpalast gebaut und wartet auf ihren<br>Schwarm. Bis ihm Kiemen wachsen bleibt es ihre<br>Zockerhöhle. Resistent gegen rote Feinde, schwächt garantiert.
336	Eine königliche Mumie aus einer mystischen Vergangenheit.<br>Sie hat sich selbst durch zu viel Foundation mumifiziert.<br>Heftiger Schaden gegen Aliens/Zombies (Flächenangriff).	Es hat sie vielleicht umgebracht, aber durch zu viel Make-up<br>sieht sie auch noch 5000 Jahre später einfach umwerfend aus.<br>Heftiger Schaden gegen Aliens/Zombies (Flächenangriff).	Charismatische königliche Leiche, die zu Staub zerfällt, wenn<br>sie je ihren therapeutischen Schönheitsthron verlässt.<br>Heftiger Schaden gegen Aliens/Zombies (Flächenangriff).
337			
338	Seine unfehlbare Tugend erlaubt es ihm, den verfluchten<br>Katzenfächer zu führen. Stark gegen schwarze Feinde.<br>Schwächt garantiert. Distanz-Flächenangriff.	Er ist von einem allwissenden Fuchsgeist besessen und<br>verschießt goldene Pfeile. Stark gegen schwarze Feinde.<br>Schwächt garantiert. Distanz-Flächenangriff.	Das Blut seiner Rivalen klebt auf dem Katzenfächer, doch<br>er brennt mit einem übernatürlichen Feuer, das schwarzen<br>Feinden noch mehr Schaden zufügt und sie mehr schwächt.
339			
340	Girl lost during the city's destruction, reborn as<br>a Cat but retaining all her mysterious powers.<br>Small chance to Freeze Aliens.	Girl who became a Cat after the city's destruction,<br>had a stylish outfit tailored to fit her new propotions.<br>Small chance to Freeze Aliens.	
341	Visitor from a world lost to annihilation.<br>Hates it when others are too familiar with her.<br>Massive Area damage to Angels and Aliens.	Yuki of the annihilated world, travelling with a<br>Cat who aids her in calling forth crimson souls.<br>Massive Area damage to Angels and Aliens.	Relying too much on the power of Cats, Yuki<br>has grown a tail and ears as consequence.<br>Massive Area damage to Angels and Aliens.
342	Für diese Kleinunternehmerkatze ist der Kunde König.<br>Investiert den Profit stets ins eigene Geschäft.<br>Bonuszahlung für besiegte Feinde!	Diese Katze dankt dir, dass du ihr Geschäft unterstützt!<br>Sie dankt dir, indem sie jeden Feind bekämpft, der dir Ärger<br>macht. Bonuszahlung für besiegte Feinde!	
343	An einem Regentag freundete sich eine Schnecke mit einer<br>Katze an. Ihr Wille ist stark, aber ihr Körper ist schwach.<br>Lähmt Feinde für einen Moment. Flächenangriff.	Sie dachten, es wäre unfair, wenn die Katze immer im Sattel<br>säße, also wechseln sie sich nun ab. Ändert die Rennzeiten<br>nicht. Lähmt Feinde für einen Moment. Flächenangriff.	
344	Joining the fight from Merc Storia!<br>A wingless boy from the Sky Country.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! A saints'<br>miracle granted him the wings he long desired.<br>Area attacks might Knockback Floating.	Joining the fight from Merc Storia! Son of the<br>Sky, who wanders with sketchbook in hand.<br>Area attacks might Knockback Floating.
345	Joining the fight from Merc Storia!<br>Called "Holy Wings" for obvious reasons.<br>Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Only by<br>casting aside wings can you realize true<br>sainthood. Strong vs/Might Freeze Floating	Joining the fight from Merc Storia! Saint<br>who avoids dependence on God's miracles.<br>Strong vs/100% Freeze vs Floating
346	Joining the fight from Merc Storia! Japanese<br>maiden searching this world for her brother.<br>Area attacks might Slow Aliens/Zombies	Joining the fight from Merc Storia! Treasures<br>the kimono gifted by her dear brother.<br>Area attacks might Slow Aliens/Zombies	
347			
348			
349			
350			
351	Die beiden Schwestern Cici und Koma mit reinem Herzen.<br>Himmlischer Odem kontrolliert ihre mächtigen Mechaklauen.<br>Heftiger Schaden gg. schwarze/Alien-Feinde. Flächenangr.	Die mechanischen Katzenpfoten „AH“ und „UN“ fegen alle<br>Bedrohungen für diese liebenswürdigen Halbgöttinen hinweg.<br>Heftiger Schaden gg. schwarze/Alien-Feinde. Flächenangr.	Unangefochtene Meister des koordinierten Angriffs.<br>Sie haben das Nachsitzen heute geschwänzt, um zu kämpfen!<br>Heftiger Schaden gg. schwarze/Alien-Feinde. Flächenangr.
352	Ein legendärer Weiser, der sich in die Katzenbasis<br>eingeschlichen hat. Ist vergesslich, aber wahre Stärke<br>vergisst man nicht. Schnelle, starke Wellen-Flächenangriffe.	Hat eine feindliche Basis mit lediglich einem süßen<br>Reiskuchen erobert. Stell dir vor, was passiert, wenn er böse<br>wird. Schnelle, starke Wellen-Flächenangriffe.	Ein Weiser, verhext von einer uralten Maske, die vom Himmel<br>gefallen ist und mit verbotenen Kampftechniken erfüllt ist.<br>Stark gegen Relikte, mit Chance auf Fluchwelle!
353			
354	Sie hat schreckliche Angst vorm Wasser, aber Kalisa hat sie<br>das erste Mal seit Jahren zum Strand geschleift.<br>Resistent gegen schwarze/Zombie-Feinde. Flächenangriff.	Gewöhnt sich langsam an den Bikini-Look.<br>Wird sie heute endlich einen süßen Surferjungen treffen?<br>Resistent gegen schwarze/Zombie-Feinde. Flächenangriff.	
355	Äußerst mobile Artillerieeinheit, die nach alten Plänen<br>gebaut wurde. Greift nur Feinde mit Werten an, aber fügt<br>ihnen heftigen Schaden zu (Flächenangriff).	Soll interstellare Gebiete mithilfe von Wurmlochphysik und<br>thermonuklearen Sprengkörpern kontrollieren.<br>Heftiger Flächenschaden nur gegen Feinde mit Werten.	Diese unermesslich starke Waffe darf nur den erlesensten<br>Einheiten der Katzenarmee anvertraut werden.<br>Heftiger Flächenschaden nur gegen Feinde mit Werten.
356			
357	Ein verlorenes Werwolfskind, das seine Berufung im<br>Showgeschäft gefunden hat.<br>Kann Engel und Aliens zurückstoßen (Flächenangriff).	Die Ein-Wolf-Show hat ihr wahres Ich gezeigt und alle sind<br>begeistert. Fühlst du dich etwa nicht gut unterhalten?<br>Kann Engel und Aliens zurückstoßen (Flächenangriff).	Streamt jetzt ihre Comedy-Show und hat eine Million<br>verdient! Folge ihr, um ein besonderes Goodie zu sehen~☆<br>Flächenangriffe können Engel und Aliens zurückstoßen.
358	Eine verlorene Seele, die aus dem Jenseits heimkehrte.<br>Will einen Bräutigam, um ihr Herz zu füllen. Oder den Magen.<br>Haudrauf-Schläge möglich (Flächenangriffe).	Ihr Hunger ist gestillt, jetzt freut sie sich auf die<br>Hochzeit ihrer untoten Träume.<br>Haudrauf-Schläge möglich (Flächenangriffe).	Verbringt auf dem Anwesen ihres verstorbenen Geliebten das<br>Unleben ihrer Träume. Jetzt sind ihr Herz und ihr Magen zum<br>Bersten gefüllt. Mögliche Haudrauf-Flächenangriffe.
359	Kosmisches Feuer, das zum Leben erweckt wurde!<br>Dieser Drachengeist gebietet über Flammen,<br>die Aliens heftigen Schaden zufügen!	Sein Leuchtfeuer ist stark wie die brennende Sonne und<br>vernichtet Barrieren.<br>Starke Verteidigung und starker Angriff gegen Aliens.	Trägt den Zorn eines roten Riesen in seinem kleinen Körper<br>und vernichtet feindliche Barrieren mit einer Supernova.<br>Starke Verteidigung und starker Angriff gegen Aliens.
360	Kosmisches Wasser, das zum Leben erweckt wurde!<br>Dieser Nymphengeist gebietet über Wellen,<br>die Aliens weit zurückstoßen!	Greift mit erderschütternden Wellen an, die feindliche<br>Barrieren davonschwemmen können. Resistent<br>gegen Aliens und Angriffe stoßen zurück.	Meister des Wassers, der mit läuternden Wellen die Reiche<br>der Sterblichen vom Bösen tilgt und Barrieren wegschwemmt.<br>Resistent gegen Aliens und Angriffe stoßen zurück.
361	Kosmische Stürme, die zum Leben erweckt wurden!<br>Dieser Sylphengeist ruft aus weiter<br>Entfernung Winde herbei (Flächenangriff)!	Mit der Kraft der Winde, die selbst Berge wegpusten können,<br>widersteht keine Barriere seinen Angriffen.<br>Resistent gegen Aliens (Distanz-Flächenangriff).	Ruft tosende Sonnenwinde herbei und kann mühelos<br>selbst einen mächtigen Nebel vernichten.<br>Resistent gegen Aliens (Distanz-Flächenangriff).
362	Joining the fight from Fate/stay night [HF]! Her<br>sword is pledged to her Master, Shirou Emiya.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! Peerless<br>warrior in possession of a Noble Phantasm.<br>Massive long-range area damage vs. Floating!	Joining the fight from Fate/stay night [HF]! A<br>menacing swordwoman who resembles Saber...<br>Massive long-range area damage vs. Floating!
363	Joining the fight from Fate/stay night [HF]! Seeks<br>the Holy Grail with her summoned Archer. Chance<br>to knockback Aliens/Zombies, with Area Attack!	Joining the fight from Fate/stay night [HF]! Classmate<br>of Shirou, heir to the Tohsaka lineage. Chance<br>to knockback Aliens/Zombies, with Area Attack!	
364	Joining the fight from Fate/stay night [HF]! With<br>Berserker at her command, she is ready for battle.<br>Chance to Slow Red/Metal, with Area Attack!	Joining the fight from Fate/stay night [HF]! Guardian<br>of the Einzbern family's honorable name.<br>Chance to Slow Red/Metal, with Area Attack!	
365	Joining the fight from Fate/stay night [HF]! His bow<br>is pledged to his Master, Rin Tohsaka. Immune to<br>Wave Damage, with Long-range Area Attack!	Joining the fight from Fate/stay night [HF]! His<br>enmity for Shirou is still a mystery. Immune to<br>Wave Damage, with Long-range Area Attack!	
366	Joining the fight from Fate/stay night [HF]! His<br>spear is pledged to an unknown Master.<br>100% chance to break Barriers! (Area Attack)	Joining the fight from Fate/stay night [HF]! Agility<br>which rivals even Saber's is his point of pride.<br>100% chance to break Barriers! (Area Attack)	
367	Joining the fight from Fate/stay night [HF]! Her<br>dagger is pledged to her Master, Shinji Matou.<br>Freezes Angels with Area Attacks!	Joining the fight from Fate/stay night [HF]!<br>Excellent  mobility, expert in barrier magecraft.<br>Freezes Angels with Area Attacks!	
368	Joining the fight from Fate/stay night [HF]! Inscrutible<br>young man with an air of invincibility. Long-range<br>Area atttacks gets stronger after taking damage!	Joining the fight from Fate/stay night [HF]! 8th<br>incarnation of a Spirit that shouldn't exist. Long-<br>range atttacks gets stronger after taking damage!	
369	Golden-haired swordscat who appeared one<br>fated night. Building strength by training with<br>a bamboo blade. Strong vs. Floating.	Swordscat who dreams of being called by<br>a worthy Master. Maintains a calm<br>demeanor always. Strong vs. Floating.	Despairing of never being summoned, this<br>Heroic Spirit has wreathed herself in darkness.<br>Strong vs. Floating, immune to negative effects.
370	Healthy and capable Cat filled with dreams.<br>Fine Western-style cuisine is her talent.<br>Has a small chance of Critical Strike.	Refining her household skills day by day.<br>Every morning must start with a proper greeting.<br>Has a small chance of Critical Strike.	She expresses her boundless hope in her cooking.<br>Her overflowing optimism is unmistakable!<br>Chance of Critical Strike and Metal knockback.
371	An Cat possessing elegance unrivaled at her<br>school. Beauty extends to behavior befitting<br>an honor student. Might knockback Aliens.	Endlessly seeks to improve on herself.<br>Lashes out when she feels her weakness<br>might be exposed. Might knockback Aliens.	
372	An uncanny Cat with silver hair and red eyes.<br>Once tried to care for a small bird.<br>Might Slow Red enemies.	Inheritor of the blood of a venerable House.<br>Recently purchased new winter clothes.<br>Might Slow Red enemies.	
373	Joining the fight from Fate/stay night [HF]!<br>Dreams of defending justice like his adopted<br>father. Tough vs. Black enemies.	Joining the fight from Fate/stay night [HF]!<br>Joined the Holy Grail War after summoning<br>his Servant, Saber. Tough vs. Black enemies.	
374	Joining the fight from Fate/stay night [HF]!<br>Admires Shirou, takes care of the Emiya<br>household. Area Attacks might Critical.	Joining the fight from Fate/stay night [HF]! "If I<br>became a bad person, would you forgive me?"<br>Area Attacks might Critical.	
375	Ein unsagbar wertvoller Sammelgegenstand!<br>Es wurden nur 9 Milliarden hergestellt!<br>	Ein Souvenir, in dem die Dankbarkeit einer Katze schlummert.<br>Jede dritte Münzkatze bringt dir ...<br>eine weitere Münzkatze ein.	
376	Die erste Katzensonde, die die NYASA je hergestellt hat.<br>Kann außerirdischen Angriffen widerstehen.<br>Immun gegen Teleport. Stark gegen Aliens.	Topmoderne NYASA-Katzensonde. Ihre Übertragung ist so<br>fortschrittlich, dass sie sogar Schmuddelsender empfängt.<br>Immun gegen Teleport. Stark gegen Aliens.	Ein experimenteller NYASA-Satellit, der zur Fernüberwachung<br>entlegener Bereiche wie „um die Ecke“ gebaut wurde.<br>Immun gegen Teleport. Stark gegen Aliens.
377	Diese unbesiegbare Schwertkatze ist ungeschlagen in 400<br>Kämpfen. Muss mit links kämpfen, um sich etwas zu fordern.<br>Abwehrbrecher garantiert.	Wollte eine neue Schwertkampftechnik ausprobieren, aber<br>kann alte Gewohnheiten nicht ganz ablegen.<br>Abwehrbrecher garantiert.	Hat ihre Wettkampftage hinter sich und arbeitet jetzt im<br>Tourismusbereich. Jetzt nutzen sie alle als Treffpunkt.<br>Abwehrbrecher garantiert.
378	Mitama wurde von dieser grausamen Welt verraten und hat<br>die Dunkelheit akzeptiert. Robust gegen wertelose<br>Feinde. Verlangsamt garantiert. Distanz-Flächenangriff.	Wie eine Witwe, die um ihre verlorene Liebe trauert, ist sie<br>in ihren Erinnerungen gefangen. Robust gegen wertelose<br>Feinde. Verlangsamt/Schwächt garantiert. Distanzangriff.	
379	Wird als Königin des Gemeindezentrums gefürchtet.<br>Ihre Aufschläge schlagen Kontrahenten oft bewusstlos.<br>Haudrauf möglich. Distanzangriff.	Primadonna, die „Rose der Programmauftritte“ genannt wird.<br>Fliegt durch den Himmel und landet wie ein Wurfspeer.<br>Haudrauf möglich. Distanzangriff.	Talentierter Koch, der „Prinz der Gewürze“ genannt wird.<br>eiserne Feinde halten die starken Aromen nicht aus.<br>Haudrauf möglich. Distanzangriff.
380	Ein mutiger junger Soldat, der sich viel zu beweisen hat.<br>Dabei kennt er seine eigene Stärke nicht.<br>Zusatzschaden gegen Feinde mit Werten (Distanzangriff).	Mit seiner messerscharfen Klinge und seinem unbezwingbarem<br>Willen riskiert er alles, um seine Kameraden zu schützen.<br>Zusatzschaden gegen Feinde mit Werten (Distanzangriff).	
381	Eine bescheidene Katze, die Leckeres anbaut, um andere<br>glücklich zu machen. Wurde extra für die Katzenarmee<br>ausgewählt. Erhält eine Bonuszahlung für besiegte Feinde!	Hat gehört, dass die Rübenpreise in die Höhe schießen. Zeit,<br>von der Ernte zu profitieren! Ein angesehener Veteran der<br>Katzenarmee. Erhält eine Bonuszahlung für besiegte Feinde!	Hat gehört, dass die Rübenpreise in die Höhe schießen. Zeit,<br>von der Ernte zu profitieren! Ein angesehener Veteran der<br>ausgewählt. Erhält eine Bonuszahlung für besiegte Feinde!
382	Aus zerbrechlichem Material, aber mit starkem Herzen!<br>Man lebt nur einmal, also halte dich nicht zurück!<br>Greift nur ein Mal an. Verlangsamt wertelose Feinde.	Wurde aus etwas stabilerem Glas hergestellt, aber hat<br>immer noch keinen großen Einfluss auf dem Schlachtfeld.<br>Greift nur ein Mal an. Verlangsamt wertelose Feinde.	Ihr Körper wurde perfekt poliert, damit sie ewig<br>glänzt. Mögen wir für immer strahlend ruhmreich sein!<br>Rückstoß/Verlangsamen gegen wertelose Feinde.
383	Schloss sich der Katzenarmee mit den Worten an:<br>„Mein Clan verlangt es, dem stärksten Krieger zu dienen!“<br>Tolle Geschichte, Kumpel. Mächtiger Distanz-Flächenangriff.	Vorbild für seine Maske sind seine neuen Katzenarmee-<br>kameraden. Seine 12-jährige Tochter findet das<br>furchtbar peinlich. Distanz-Flächenangriff.	Silberfuchs, jetzt für Damen unwiderstehlich, die ihn in<br>jungen Jahren nie beachtet hätten.<br>Heftiger Schaden gegen Relikte. Distanz-Flächenangriffe.
384	Dropping in from PowerPro Baseball!<br>This manager plays it cool, but actually has a heart of gold.<br>Chance to knockback Red enemies.	Dropping in from PowerPro Baseball!<br>An aikido blackbelt with catlike reflexes.<br>Chance to knockback Red enemies.	
385	Dropping in from PowerPro Baseball!<br>No one can outrun this speedy outfielder!<br>	Dropping in from PowerPro Baseball!<br>Ends every sentence with "Donchaknow?"<br>	Dropping in from PowerPro Baseball!<br>Might love robot anime even more than baseball.<br>Area attacks release waves of destruction.
386	Dropping in from PowerPro Baseball!<br>Blesses all players with her maternal care.<br>Chance to weaken Angel enemies.	Dropping in from PowerPro Baseball!<br>Always puts others' needs before her own.<br>Chance to weaken Angel enemies.	
387	Dropping in from PowerPro Baseball!<br>A bright and energetic manager.<br>Tough defense vs. Alien enemies.	Dropping in from PowerPro Baseball!<br>No one can motivate a player like her!<br>Tough defense vs. Alien enemies.	
388	Dropping in from PowerPro Baseball!<br>Eager manager who's always two steps behind the hero.<br>Chance to knockback Zombies.	Dropping in from PowerPro Baseball!<br>Her devotion is just a bit too much sometimes.<br>Chance to knockback Zombies.	
389	Dropping in from PowerPro Baseball!<br>Openminded and cheerful team manager.<br>Chance to freeze Floating enemies.	Dropping in from PowerPro Baseball!<br>Better than anyone at resolving personality conflicts.<br>Chance to freeze Floating enemies.	
390	Dropping in from PowerPro Baseball!<br>So bad at cooking she could burn water.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Her flaw is too much earnest naivete.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Secretly Aoi Hayakawa.<br>Massive anti-Alien long-range area damage.
391	Dropping in from PowerPro Baseball!<br>A tomboy pitcher determined to win!<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Has a real sweet tooth, and loves pudding.<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Proudly sports the Tachibana Group logo.<br>Massive anti-Angel area damage.
392	Dropping in from PowerPro Baseball!<br>A rookie catcher with unparalleled game sense.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>From a temple family, loves Buddhist cooking.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>Proudly wears a temple name on her chest.<br>Strong vs. Zombies, with Area Attacks.
393	Dropping in from PowerPro Baseball!<br>Popular player with many female fans.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Has a small complex about being unfeminine.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Eventually was won over by the rhythm!<br>Area attacks slow Floating/Black.
394	Dropping in from PowerPro Baseball!<br>Attractive, popular, and skilled.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>Dreams of making it all the way to the series final.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>New pitch has the cosmic power of a black hole!<br>Strong vs. Red/Angels (Long-range/Area Atk)
395	Dropping in from PowerPro Baseball!<br>Reliable and respected shortstop.<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>No worries about seeming boyish if it helps to win!<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>Just between us, it's Miyabi... Immune to Waves.<br>Attack power increases after taking damage.
396	Erster Kaiser und Gründer der Drachendynastie.<br>Wer weiß, welch unermessliche Macht ihm innewohnt?<br>Stark gegen Aliens und Zombies. Distanzangriff.	Hat seine Stärke für Jahrtausende trainiert und wird nur<br>noch stärker, je älter er wird.<br>Stark gegen Aliens und Zombies. Distanzangriff.	Ein unheiliges Relikt hat die Siegel gelöst, die seine wahre<br>Stärke in Schranken hielt. Widerstand ist zwecklos.<br>Stark gegen Aliens und Zombies. Distanzangriff.
397	Ein durchschnittliches Schuldmädchen, das Bubble Tea mag und<br>gerne Dämonen bezwingt. Robust gegen eiserne Feinde,<br>Haudrauf-Angriffe lähmen und schwächen eiserne Feinde.	Es ist schwierig, Zeit für Vereinsarbeit und die Verteidigung<br>des heiligen Clan-Erbes zu finden. Robust gegen Eisern,<br>Haudrauf-Angriffe lähmen und schwächen eiserne Feinde.	Wenn man schon die Strafen des Himmels ausführen muss,<br>kann man dabei auch knuffig aussehen. Chance auf Haudrauf-<br>Treffer. Verlangsamt, schwächt und ist irre robust gegen Eiserne.
398			
399	Dropping in from MENTORI! Trust me,<br>talking to it is more trouble than it's worth..<br>Tough vs Floating Enemies	Dropping in from MENTORI! This weird<br>bird specializes in obnoxious interjections.<br>Tough vs Floating Enemies	
400	Dropping in from MENTORI! Mentori's sharp-<br>tongued kid sis is never not macho!<br>Chance of Critical attacks.	Dropping in from MENTORI! Just at that<br>age when it's all sarcasm all the time.<br>Chance of Critical attacks.	
401	Kosmischer Donner, der zum Leben erweckt wurde!<br>Beschwört Blitze herbei, um möglicherweise Aliens<br>einzufrieren (Flächenangriff).	Zerstört mit Blitzen, die die Himmel zerreißen,<br>feindliche Barrieren. Resistent gegen Aliens,<br>friert ein (Flächenangriff).	Ein mächtiger Geist, der die Macht des Sturms bündelt<br>und schlussendlich den Kosmos verzehren wird.<br>Resistent gegen Aliens, friert garantiert ein.
402	Recruited from Evangelion!<br>A boy suddenly forced to pilot Evangelion.<br>Resents his distant father. (Area Attack)	Recruited from Evangelion!<br>Hoping to be respected by his comrades<br>for his piloting skills. (Area Attack)	Recruited from Evangelion! Agreed to pilot<br>Eva once again for a chance at redemption.<br>Tough vs. Aliens/Zombies (Area Attack)
403	Leader and deputy commander of NERV.<br>Out to complete their goal by any means.<br>(Area Attack)	On the moon for the final stage of their<br>plan. They trust each other fully.<br>(Area Attack)	
404	A prototype Giraffe Cat-type weapon.<br>Escaped with only the helmet equipped.<br>Might survive a lethal strike.	Received a new production-model<br>helmet for mightier headbutts. Still on<br>the run. Might survive a lethal strike.	
405	Recruited from Evangelion!<br>A strange boy with a mysterious smirk.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Thought by others to be an Eva pilot.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Seems to have known Shinji for a long<br>while. Massive area damage to Black.
406	Cat who pilots Eva Unit-00. Gendo's<br>glasses are her cherished treasure.<br>Tough vs /  Massive Damage to Angels.	She lost all memory of the black plugsuit.<br>There is nothing for her but her duty.<br>Tough vs /  Massive Damage to Angels.	
407	Cat who pilots Eva Unit-02. Flies into<br>a rage easily when she feels slighted.<br>Tough vs /  Massive Damage to Red.	She is slowly warming up to her comrades.<br>Has a habit of burning her tongue easily.<br>Tough vs /  Massive Damage to Red.	
408	A strange Cat with stylish glasses.<br>Loves to end each sentence with a meow.<br>Tough vs /  Massive Damage to Floating.	A skilled paratrooper who infiltrated Tokyo-3.<br>Learning her way around Central Dogma.<br>Tough vs /  Massive Damage to Floating.	
409	Recruited from Evangelion!<br>An aloof girl who guards her emotions.<br>Area attacks might weaken Angels.	Recruited from Evangelion!<br>Feels a strong bond with her fellow pilots.<br>Area attacks might weaken Angels.	Recruited from Evangelion! Guarding that<br>which she treasures most for 14 years.<br>Strong against and might weaken Angels.
410	Recruited from Evangelion!<br>A prideful and hot-tempered prodigy.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion!<br>Warming up to the idea of teamwork.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion! Eva 02's pilot,<br>member of anti-NERV organization WILLE.<br>Strong vs Red enemies, Area Atks might Knockback.
411	Recruited from Evangelion!<br>An enigmatic girl who arrived via parachute.<br>Strong vs. Floating (Area Attack)	Recruited from Evangelion!<br>Her love for piloting Eva is plain to see.<br>Strong vs. Floating (Area Attack)	
412	Recruited from Evangelion!<br>A humanoid superweapon prototype.<br>Tough vs Angel/Floating, negates Waves.	Recruited from Evangelion!<br>Notorious for violent incidents in testing.<br>Tough vs Angel/Floating, negates Waves.	
413	Recruited from Evangelion!<br>A humanoid superweapon test-type.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion!<br>Goes berserk when pilot is in danger.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion! Marches toward the<br>final battle with the lance of hope Cassius in hand.<br>Strong vs. Aliens/Zombies (Area Attack)
414	Recruited from Evangelion!<br>The Evangelion production model.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion!<br>The true Evangelion, or so says the pilot.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion! Eva 02's beast form,<br>activated with a backdoor code. Massive Long-range<br>Area damage vs Red, grows stronger after damage.
415	A Cat who becomes paralyzed by fear.<br>When bullied, Eva comes to his defense!<br>Knocks back Metal/Black, with Wave Attack!	Cats who can't resist their curious nature.<br>When bullied, Eva comes to their defense!<br>Knocks back Metal/Black, with Wave Attack!	
416	Operators for the secret agency NERV,<br>providing support for the Eva pilots.<br>Area attacks slow Red/Zombies.	Elite command of the NERV agency.<br>An effective team since their school days.<br>Area attacks slow Red/Zombies.	
417	Weltberühmte fahrbare heiße Quellen. So reist man<br>bequem und stilvoll. Rundumschläge lähmen<br>Zombies und fügen ihnen heftigen Schaden zu.	Eine Geheimorganisation, die die Katzenarmee vor<br>Überraschungsangriffen der Hunde schützt. Rundumschläge<br>frieren Zombies ein und fügen ihnen heftigen Schaden zu.	An vorderster Front im Auftrag der Katzenarmee, Untergrund-<br>Hundebasen zu finden und zu zerstören. Rundumschläge<br>frieren Zombies ein und fügen ihnen heftigen Schaden zu.
418	Der allseits beliebte Mädchen-Popstar ist unter all dem<br>Rummel, ein Star zu sein, zusammengebrochen. Selbst ein<br>böses Idol liebt seine Fans über alles.	Weltweiter Superstar, der seinen Charme spielen lässt, um<br>das begeisterte Publikum aufzustacheln.<br>Ihre Dankesverbeugung verursacht starken Haudrauf!	
419	Joining the fight from LINE Pokopang!<br>Rabbity defender of justice who'll<br>do anything to help his friends!	Joining the fight from LINE Pokopang!<br>His mission in life is to bring joy<br>to his fellow woodland creatures.	
420	Joining the fight from LINE Pokopang!<br>A stoic sheep who loves to collect<br>unusual objects! Tough vs Red!	Joining the fight from LINE Pokopang!<br>Hides his scavenged treasures in his fluffy<br>wool for safekeeping. Tough vs Red!	
421	Joining the fight from LINE Pokopang!<br>A burly bear who lives for peace, flowers<br>and tasty fish! Might weaken Black!	Joining the fight from LINE Pokopang!<br>Despite tough looks, loves a nice cup of<br>herbal tea most. Might weaken Black!	
422			
423			
424			
425			
