000			ด่านตำนาน
003-016-007	ดาวยูเรนัส
003-016-008	ดาวเนปจูน
003-016-009	ไตรตัน
003-016-010	ดาวพลูโต
003-016-011	สี่เหลี่ยมแดง
003-016-012	เนบิวลาเอสกิโม
003-016-013	เนบิวลาตาแมว
003-016-014	เนบิวลาไข่
003-016-015	เนบิวลาคาลาแบช
003-016-016	อัลแตร์
003-016-017	ซีรีอุส
003-016-018	คาโนปุส
003-016-019	เวก้า
003-016-020	อัลเดบาราน
003-016-021	เบเทลเกิซ
003-016-022	เดเนบ
003-016-023	เลานจ์จักรวาล
003-016-024	ดาวไซเทอร์
003-016-025	ไคอู
003-016-026	มาเจลลานิก
003-016-027	บูทาร่า
003-016-028	มอสคานแด็ก
003-016-029	โคโรน่า
003-016-030	โซบะ IV
003-016-031	พลัมพิท
003-016-032	ดาราราราห์
003-016-033	แต๊งส์บาย
003-016-034	เมอร์ทอซ
003-016-035	อูรุระ
003-016-036	อากูแฮม
003-016-037	โซโมลอน
003-016-038	อบับวา
003-016-039	ไททัน
003-016-040	สเกลลิง
003-016-041	โกริโกริ
003-016-042	โบรตัน
003-016-043	ดาวแดงเลือด
003-016-044	เนบิวลา N77
003-016-045	อันโดรเมด้า
003-016-046	หลุมดำ
003-016-047	บิ๊กแบง
003-017		CotC Ch.3 Zombies
003-017-000	โลก
003-017-001	ดาวอังคาร
003-017-002	ดาวพฤหัส
003-017-003	ดาวเสาร์
003-017-004	ดาวศุกร์
003-017-005	ดาวพุธ
003-017-006	ดวงอาทิตย์
003-017-007	ดาวยูเรนัส
003-017-008	ดาวเนปจูน
003-017-009	ไตรตัน
003-017-010	ดาวพลูโต
003-017-011	สี่เหลี่ยมแดง
003-017-012	เนบิวลาเอสกิโม
003-017-013	เนบิวลาตาแมว
003-017-014	เนบิวลาไข่
003-017-015	เนบิวลาคาลาแบช
003-017-016	อัลแตร์
003-017-017	ซีรีอุส
003-017-018	คาโนปุส
003-017-019	เวก้า
003-017-020	อัลเดบาราน
003-017-021	เบเทลเกิซ
003-017-022	เดเนบ
003-017-023	เลานจ์จักรวาล
003-017-024	ดาวไซเทอร์
003-017-025	ไคอู
003-017-026	มาเจลลานิก
003-017-027	บูทาร่า
003-017-028	มอสคานแด็ก
003-017-029	โคโรน่า
003-017-030	โซบะ IV
003-017-031	พลัมพิท
003-017-032	ดาราราราห์
003-017-033	แต๊งส์บาย
003-017-034	เมอร์ทอซ
003-017-035	อูรุระ
003-017-036	อากูแฮม
003-017-037	โซโมลอน
003-017-038	อบับวา
003-017-039	ไททัน
003-017-040	สเกลลิง
003-017-041	โกริโกริ
003-017-042	โบรตัน
003-017-043	ดาวแดงเลือด
003-017-044	เนบิวลา N77
003-017-045	อันโดรเมด้า
003-017-046	หลุมดำ
003-017-047	บิ๊กแบง

004			ด่านเพิ่มเติม
004-000		สีเขียวเปล่งแสง
004-000-000	จูบิลี่ผลไม้เหมียว
004-000-001	จูบิลี่ผลไม้เหมียว
004-000-002	จูบิลี่ผลไม้เหมียว
004-001		สีม่วงเปล่งแสง
004-001-000	จูบิลี่ผลไม้เหมียว
004-001-001	จูบิลี่ผลไม้เหมียว
004-001-002	จูบิลี่ผลไม้เหมียว
004-002		สีแดงเปล่งแสง
004-002-000	จูบิลี่ผลไม้เหมียว
004-002-001	จูบิลี่ผลไม้เหมียว
004-002-002	จูบิลี่ผลไม้เหมียว
004-003		สีฟ้าเปล่งแสง
004-003-000	จูบิลี่ผลไม้เหมียว
004-003-001	จูบิลี่ผลไม้เหมียว
004-003-002	จูบิลี่ผลไม้เหมียว
004-004		สีเหลืองเปล่งแสง
004-004-000	จูบิลี่ผลไม้เหมียว
004-004-001	จูบิลี่ผลไม้เหมียว
004-004-002	จูบิลี่ผลไม้เหมียว
004-005		เลวสู่เลวยิ่งกว่า
004-005-000	สวรรค์ต้องคำสาป (บ้าคลั่ง)
004-006		วันตัดสิน
004-006-000	ด้วยบัญชาแห่งพระเจ้าแมว (บ้าคลั่ง)
004-007		เทคนูโรซิส
004-007-000	อวกาศคือที่แห่งนั้น (บ้าคลั่ง)
004-008		บุฟเฟ่ต์ผลไม้เหมียว
004-008-000	แสงแฟลชสีม่วง (ยาก)
004-009		บุฟเฟ่ต์ผลไม้เหมียว
004-009-000	ความหลงใหลสีแดง (ยาก)
004-010		บุฟเฟ่ต์ผลไม้เหมียว
004-010-000	ภาพลวงตาสีฟ้า (ยาก)
004-011		บุฟเฟ่ต์ผลไม้เหมียว
004-011-000	รังสีแห่งทอง (ยาก)
004-012		บุฟเฟ่ต์ผลไม้เหมียว
004-012-000	แสงแฟลชสีม่วง (เชี่ยวชาญ)
004-013		บุฟเฟ่ต์ผลไม้เหมียว
004-013-000	ความหลงใหลสีแดง (เชี่ยวชาญ)
004-014		บุฟเฟ่ต์ผลไม้เหมียว
004-014-000	ภาพลวงตาสีฟ้า (เชี่ยวชาญ)
004-015		บุฟเฟ่ต์ผลไม้เหมียว
004-015-000	รังสีแห่งทอง (เชี่ยวชาญ)
004-016		บุฟเฟ่ต์ผลไม้เหมียว
004-016-000	แสงแฟลชสีม่วง (บ้าคลั่ง)
004-017		บุฟเฟ่ต์ผลไม้เหมียว
004-017-000	ความหลงใหลสีแดง (บ้าคลั่ง)
004-018		บุฟเฟ่ต์ผลไม้เหมียว
004-018-000	ภาพลวงตาสีฟ้า (บ้าคลั่ง)
004-019		บุฟเฟ่ต์ผลไม้เหมียว
004-019-000	รังสีแห่งทอง (บ้าคลั่ง)
004-020		บุฟเฟ่ต์ผลไม้เหมียว
004-020-000	จูบิลี่ผลไม้เหมียว
004-020-001	จูบิลี่ผลไม้เหมียว
004-020-002	จูบิลี่ผลไม้เหมียว
004-021		โมเนโกะคลั่ง
004-021-000	ในดวงจันทร์
004-022		แปลกขึ้นเรื่อยๆ
004-022-000	สีเลือด (ไร้ปรานี)
004-022-001	กลัวการบิน (ไร้ปรานี)
004-022-002	หัวใจของความมืดมิด (ไร้ปรานี)
004-022-003	พิโรธศักดิ์สิทธิ์ (ไร้ปรานี)
004-022-004	คำขู่ดาราจักร (ไร้ปรานี)
004-022-005	ปะทะเหล็กกล้า (ไร้ปรานี)
004-022-006	ทะเลแห่งความตาย (ไร้ปรานี)
004-025		เริ่มยิ่งใหญ่ขึ้น
004-025-000	ไอริสปาฏิหาริย์ (ถึงตาย)
004-026		ห้องทดลองซากวัตถุ
004-026-000	พลังเอลดริตช์
004-027		สนามพิสูจน์ฝีมือ
004-027-000	รอบที่ 2: รุ่งอรุณ (ปกติ)
004-027-001	รองที่ 2: สนธยา (ปกติ)
004-028		สนามพิสูจน์ฝีมือ
004-028-000	รอบที่ 3: รุ่งอรุณ (ยาก)
004-028-001	รอบที่ 3: สนธยา (ยาก)
004-029		สนามพิสูจน์ฝีมือ
004-029-000	รอบที่ 4: รุ่งอรุณ (เจนศึก)
004-029-001	รอบที่ 4: สนธยา (เจนศึก)
004-030		สนามพิสูจน์ฝีมือ
004-030-000	รอบสุดท้าย: รุ่งอรุณ (เจนศึก)
004-030-001	รอบสุดท้าย: สนธยา (เจนศึก)
004-031		สนามพิสูจน์ฝีมือ
004-031-000	รอบที่ 2: รุ่งอรุณ (เชี่ยวชาญ)
004-031-001	รองที่ 2: สนธยา (เชี่ยวชาญ)
004-032		สนามพิสูจน์ฝีมือ
004-032-000	รอบที่ 3: รุ่งอรุณ (บ้าคลั่ง)
004-032-001	รอบที่ 3: สนธยา (บ้าคลั่ง)
004-033		สนามพิสูจน์ฝีมือ
004-033-000	รอบที่ 4: รุ่งอรุณ (ถึงตาย)
004-033-001	รอบที่ 4: สนธยา (ถึงตาย)
004-034		สนามพิสูจน์ฝีมือ
004-034-000	รอบสุดท้าย: รุ่งอรุณ (ถึงตาย)
004-034-001	รอบสุดท้าย: สนธยา (ถึงตาย)
004-035		สนามพิสูจน์ฝีมือ
004-035-000	รอบที่ 2: รุ่งอรุณ (ถึงตาย)
004-035-001	รองที่ 2: สนธยา (ถึงตาย)
004-036		สนามพิสูจน์ฝีมือ
004-036-000	รอบที่ 3: รุ่งอรุณ (ถึงตาย)
004-036-001	รอบที่ 3: สนธยา (ถึงตาย)
004-037		สนามพิสูจน์ฝีมือ
004-037-000	รอบที่ 4: รุ่งอรุณ (ไร้ปรานี)
004-037-001	รอบที่ 4: สนธยา (ไร้ปรานี)
004-038		สนามพิสูจน์ฝีมือ
004-038-000	รอบสุดท้าย: รุ่งอรุณ (ไร้ปรานี)
004-038-001	รอบสุดท้าย: สนธยา (ไร้ปรานี)
004-039		เทพและปีศาจ
004-039-000	ดินแดนการฆ่าล้าง (ถึงตาย)
004-040		ราชินีและภูตผี
004-040-000	พาเหรดแห่งความตาย (ถึงตาย)
004-041		ราชาและหญิงสาว
004-041-000	เด็กหญิงมือระเบิด (ถึงตาย)
004-042		The Aku Realms
004-042-000	เขาอากุ
004-043		แมวน้ำบารอนจู่โจม
004-043-000	ใจกลางพงไพร (ถึงตาย)
004-043-001	ยอดพงไพร (ไร้ปรานี)
004-043-002	ชายเขตพงไพร (ไร้ปรานี)
004-044		เลอ'กริมจู่โจม
004-044-000	ใจกลางพงไพร (ถึงตาย)
004-044-001	ยอดพงไพร (ไร้ปรานี)
004-044-002	ชายเขตพงไพร (ไร้ปรานี)
004-045		ภัยระดับเมกะ
004-045-000	ใจกลางพงไพร (ถึงตาย)
004-045-001	ยอดพงไพร (ไร้ปรานี)
004-045-002	ชายเขตพงไพร (ไร้ปรานี)
004-046		ฮิปโปสยองบุก
004-046-000	ใจกลางพงไพร (ถึงตาย)
004-046-001	ยอดพงไพร (ไร้ปรานี)
004-046-002	ชายเขตพงไพร (ไร้ปรานี)
004-047		ข้อ 5. ควิซแล้วแต่ดวง
004-047-000	ประตูเปิดแล้ว...
004-047-001	ประตูเปิดแล้ว...
004-047-002	ประตูเปิดแล้ว...
004-047-003	ประตูเปิดแล้ว...
004-047-004	ประตูเปิดแล้ว...
004-048		ข้อ 5. ควิซแล้วแต่ดวง
004-048-000	ประตูเปิดแล้ว...
004-049		ทูตสวรรค์ศักดิ์สิทธิ์จู่โจม
004-049-000	ใจกลางพงไพร (ถึงตาย)
004-049-001	ยอดพงไพร (ไร้ปรานี)
004-049-002	ชายเขตพงไพร (ไร้ปรานี)
004-050		บิ๊กเปงซีจู่โจม
004-050-000	ใจกลางพงไพร (ถึงตาย)
004-050-001	ยอดพงไพร (ไร้ปรานี)
004-050-002	ชายเขตพงไพร (ไร้ปรานี)
004-051		ฤดูกาล 3: ทัศนศึกษา
004-051-000	เสียงร้องเรียกด่วนจากคนรัก
004-051-001	เสียงร้องเรียกด่วนจากคนรัก
004-051-002	เสียงร้องเรียกด่วนจากคนรัก
004-051-003	เสียงร้องเรียกด่วนจากคนรัก
004-051-004	เสียงร้องเรียกด่วนจากคนรัก
004-052		ภูติผีและบวมฉุ
004-052-000	ดาวเคราะห์พองตัว (ไร้ปรานี)
004-053		ราชินีและหญิงสาว
004-053-000	เด็กหญิงมือระเบิด (ถึงตาย)
004-054		ราชาและเทพ
004-054-000	ไม่มีแผน A (ถึงตาย)
004-055		โมเนโกะคลั่ง
004-055-000	ในดวงจันทร์
004-056		#03 ??? ที่ 13
004-056-000	ในโบสถ์หมอกปกคลุม
004-057		วิบวับปีใหม่
004-057-000	โชคดีจัง! ของขวัญปีใหม่!
004-059		การโจมตีของลางร้าย
004-059-000	ใจกลางพงไพร (ถึงตาย)
004-059-001	ยอดพงไพร (ไร้ปรานี)
004-059-002	ชายเขตพงไพร (ไร้ปรานี)
004-060		แผนที่นักล่า IV
004-060-000	ป่าคริสตัลสีม่วง
004-060-001	ทะเลทรายคริสตัลสีเขียว
004-060-002	ป่าคริสตัลสีแดง
004-060-003	ทะเลทรายคริสตัลสีฟ้า
004-060-004	ภูเขาไฟคริสตัลสีเหลือง
004-061		วิ่งผลัดริเวอร์ซิตี้
004-061-000	วิ่งผลัด 400 ม.: เร็วที่สอง
004-061-001	วิ่งผลัด 800 ม.: เร็วที่สอง
004-061-002	วิ่งผลัด 1600 ม.: เร็วที่สอง
004-062		วิ่งผลัดริเวอร์ซิตี้
004-062-000	วิ่งผลัด 400 ม.: รั้งท้าย
004-062-001	วิ่งผลัด 800 ม.: รั้งท้าย
004-062-002	วิ่งผลัด 1600 ม.: รั้งท้าย
004-063		ตอนที่ 2: ศึกปะทะในถ้ำโถ
004-063-000	ชนะ!
004-063-001	ชนะ!
004-063-002	ชนะ!
004-063-003	ชนะ!
004-063-004	ชนะ!
004-064		กิกะฮานิวานจู่โจม!
004-064-000	ใจกลางพงไพร (ถึงตาย)
004-064-001	ยอดพงไพร (ไร้ปรานี)
004-064-002	ชายเขตพงไพร (ไร้ปรานี)
004-065		เต่ากับเด็ก
004-065-000	จอมปลอมเด็กๆ (ไร้ปรานี)
004-066		เจ้าชายกับผู้หวนคืน
004-066-000	สุดท้ายของความตาย (ไร้ปรานี)
004-067		ราชินีกับนักบวช
004-067-000	ซิสเตอร์นักบุญ (ไร้ปรานี)
004-068		
004-068-000	โฉมหน้าพระเจ้า
004-069		
004-069-000	การฟื้นชีพของจุดกำเนิด
004-070		เส้นทางสู่การรวมพลัง ตอนที่ 1
004-070-000	การกบฏของโฮ่ง
004-070-001	การกบฏของโฮ่ง
004-070-002	การกบฏของโฮ่ง
004-070-003	การกบฏของโฮ่ง
004-070-004	การกบฏของโฮ่ง
004-070-005	การกบฏของโฮ่ง
004-070-006	การกบฏของโฮ่ง
004-070-007	การกบฏของโฮ่ง
004-070-008	การกบฏของโฮ่ง
004-070-009	การกบฏของโฮ่ง
004-071		เส้นทางสู่การรวมพลัง ตอนที่ 2
004-071-000	การกบฏของโฮ่ง
004-071-001	การกบฏของโฮ่ง
004-071-002	การกบฏของโฮ่ง
004-071-003	การกบฏของโฮ่ง
004-071-004	การกบฏของโฮ่ง
004-071-005	การกบฏของโฮ่ง
004-071-006	การกบฏของโฮ่ง
004-071-007	การกบฏของโฮ่ง
004-071-008	การกบฏของโฮ่ง
004-071-009	การกบฏของโฮ่ง
004-072		ความทรงจำแห่งปี 2024
004-072-000	ความทรงจำฤดูใบไม้ผลิหน้าที่ 2
004-072-001	ความทรงจำฤดูร้อนหน้าที่ 2
004-072-002	ความทรงจำฤดูใบไม้ร่วงหน้าที่ 2
004-072-003	ความทรงจำฤดูหนาวหน้าที่ 2
004-073		ความทรงจำแห่งปี 2024
004-073-000	ความทรงจำฤดูใบไม้ผลิหน้าที่ 3
004-073-001	ความทรงจำฤดูร้อนหน้าที่ 3
004-073-002	ความทรงจำฤดูใบไม้ร่วงหน้าที่ 3
004-073-003	ความทรงจำฤดูหนาวหน้าที่ 3
004-074		Green Hill Zone
004-074-000	Bonus Stage
004-074-001	Bonus Stage
004-074-002	Bonus Stage
004-075		คำพยากรณ์เหนือคาด
004-075-000	คำเตือนพายุฝนฟ้าคะนอง
004-076		คำพยากรณ์เหนือคาด
004-076-000	คำเตือนไต้ฝุ่น

006			โรงฝึกเล็บแมว
006-000		Hall of Initiates
006-000-000	Wanderer's Trial (Stage 1)

007			หอคอยสวรรค์
007-000		หอคอยสวรรค์
007-000-000	ชั้นที่ 1
007-000-001	ชั้นที่ 2
007-000-002	ชั้นที่ 3
007-000-003	ชั้นที่ 4
007-000-004	ชั้นที่ 5
007-000-005	ชั้นที่ 6
007-000-006	ชั้นที่ 7
007-000-007	ชั้นที่ 8
007-000-008	ชั้นที่ 9
007-000-009	ชั้นที่ 10
007-000-010	ชั้นที่ 11
007-000-011	ชั้นที่ 12
007-000-012	ชั้นที่ 13
007-000-013	ชั้นที่ 14
007-000-014	ชั้นที่ 15
007-000-015	ชั้นที่ 16
007-000-016	ชั้นที่ 17
007-000-017	ชั้นที่ 18
007-000-018	ชั้นที่ 19
007-000-019	ชั้นที่ 20
007-000-020	ชั้นที่ 21
007-000-021	ชั้นที่ 22
007-000-022	ชั้นที่ 23
007-000-023	ชั้นที่ 24
007-000-024	ชั้นที่ 25
007-000-025	ชั้นที่ 26
007-000-026	ชั้นที่ 27
007-000-027	ชั้นที่ 28
007-000-028	ชั้นที่ 29
007-000-029	ชั้นที่ 30
007-000-030	ชั้นที่ 31
007-000-031	ชั้นที่ 32
007-000-032	ชั้นที่ 33
007-000-033	ชั้นที่ 34
007-000-034	ชั้นที่ 35
007-000-035	ชั้นที่ 36
007-000-036	ชั้นที่ 37
007-000-037	ชั้นที่ 38
007-000-038	ชั้นที่ 39
007-000-039	ชั้นที่ 40
007-000-040	ชั้นที่ 41
007-000-041	ชั้นที่ 42
007-000-042	ชั้นที่ 43
007-000-043	ชั้นที่ 44
007-000-044	ชั้นที่ 45
007-000-045	ชั้นที่ 46
007-000-046	ชั้นที่ 47
007-000-047	ชั้นที่ 48
007-000-048	ชั้นที่ 49
007-000-049	ชั้นที่ 50
007-001		ป้อมปราการสีแดง
007-001-000	ชั้นที่ 1
007-001-001	ชั้นที่ 2
007-001-002	ชั้นที่ 3
007-001-003	ชั้นที่ 4
007-001-004	ชั้นที่ 5
007-001-005	ชั้นที่ 6
007-001-006	ชั้นที่ 7
007-001-007	ชั้นที่ 8
007-001-008	ชั้นที่ 9
007-001-009	ชั้นบนสุด
007-002		ป้อมปราการสีดำ
007-002-000	ชั้นที่ 1
007-002-001	ชั้นที่ 2
007-002-002	ชั้นที่ 3
007-002-003	ชั้นที่ 4
007-002-004	ชั้นที่ 5
007-002-005	ชั้นที่ 6
007-002-006	ชั้นที่ 7
007-002-007	ชั้นที่ 8
007-002-008	ชั้นที่ 9
007-002-009	ชั้นบนสุด
007-003		ป้อมปราการเทพ
007-003-000	ชั้นที่ 1
007-003-001	ชั้นที่ 2
007-003-002	ชั้นที่ 3
007-003-003	ชั้นที่ 4
007-003-004	ชั้นที่ 5
007-003-005	ชั้นที่ 6
007-003-006	ชั้นที่ 7
007-003-007	ชั้นที่ 8
007-003-008	ชั้นที่ 9
007-003-009	ชั้นบนสุด
007-004		ป้อมปราการเอเลี่ยน
007-004-000	ชั้นที่ 1
007-004-001	ชั้นที่ 2
007-004-002	ชั้นที่ 3
007-004-003	ชั้นที่ 4
007-004-004	ชั้นที่ 5
007-004-005	ชั้นที่ 6
007-004-006	ชั้นที่ 7
007-004-007	ชั้นที่ 8
007-004-008	ชั้นที่ 9
007-004-009	ชั้นบนสุด
007-005		ป้อมปราการซอมบี้
007-005-000	ชั้นที่ 1
007-005-001	ชั้นที่ 2
007-005-002	ชั้นที่ 3
007-005-003	ชั้นที่ 4
007-005-004	ชั้นที่ 5
007-005-005	ชั้นที่ 6
007-005-006	ชั้นที่ 7
007-005-007	ชั้นที่ 8
007-005-008	ชั้นที่ 9
007-005-009	ชั้นบนสุด
007-006		หอคอยนรก
007-006-000	ชั้นที่ 1
007-006-001	ชั้นที่ 2
007-006-002	ชั้นที่ 3
007-006-003	ชั้นที่ 4
007-006-004	ชั้นที่ 5
007-006-005	ชั้นที่ 6
007-006-006	ชั้นที่ 7
007-006-007	ชั้นที่ 8
007-006-008	ชั้นที่ 9
007-006-009	ชั้นที่ 10
007-006-010	ชั้นที่ 11
007-006-011	ชั้นที่ 12
007-006-012	ชั้นที่ 13
007-006-013	ชั้นที่ 14
007-006-014	ชั้นที่ 15
007-006-015	ชั้นที่ 16
007-006-016	ชั้นที่ 17
007-006-017	ชั้นที่ 18
007-006-018	ชั้นที่ 19
007-006-019	ชั้นที่ 20
007-006-020	ชั้นที่ 21
007-006-021	ชั้นที่ 22
007-006-022	ชั้นที่ 23
007-006-023	ชั้นที่ 24
007-006-024	ชั้นที่ 25
007-006-025	ชั้นที่ 26
007-006-026	ชั้นที่ 27
007-006-027	ชั้นที่ 28
007-006-028	ชั้นที่ 29
007-006-029	ชั้นที่ 30
007-006-030	ชั้นที่ 31
007-006-031	ชั้นที่ 32
007-006-032	ชั้นที่ 33
007-006-033	ชั้นที่ 34
007-006-034	ชั้นที่ 35
007-006-035	ชั้นที่ 36
007-006-036	ชั้นที่ 37
007-006-037	ชั้นที่ 38
007-006-038	ชั้นที่ 39
007-006-039	ชั้นที่ 40
007-006-040	ชั้นที่ 41
007-006-041	ชั้นที่ 42
007-006-042	ชั้นที่ 43
007-006-043	ชั้นที่ 44
007-006-044	ชั้นที่ 45
007-006-045	ชั้นที่ 46
007-006-046	ชั้นที่ 47
007-006-047	ชั้นที่ 48
007-006-048	ชั้นที่ 49
007-006-049	ชั้นที่ 50
007-007		ป้อมปราการไร้คุณสมบัติ
007-007-000	ชั้นที่ 1
007-007-001	ชั้นที่ 2
007-007-002	ชั้นที่ 3
007-007-003	ชั้นที่ 4
007-007-004	ชั้นที่ 5
007-007-005	ชั้นที่ 6
007-007-006	ชั้นที่ 7
007-007-007	ชั้นที่ 8
007-007-008	ชั้นที่ 9
007-007-009	ชั้นบนสุด
007-008		ป้อมปราการอากุ
007-008-000	ชั้นที่ 1
007-008-001	ชั้นที่ 2
007-008-002	ชั้นที่ 3
007-008-003	ชั้นที่ 4
007-008-004	ชั้นที่ 5
007-008-005	ชั้นที่ 6
007-008-006	ชั้นที่ 7
007-008-007	ชั้นที่ 8
007-008-008	ชั้นที่ 9
007-008-009	ชั้นบนสุด
007-009		ป้อมปราการซากวัตถุ
007-009-000	ชั้นที่ 1
007-009-001	ชั้นที่ 2
007-009-002	ชั้นที่ 3
007-009-003	ชั้นที่ 4
007-009-004	ชั้นที่ 5
007-009-005	ชั้นที่ 6
007-009-006	ชั้นที่ 7
007-009-007	ชั้นที่ 8
007-009-008	ชั้นที่ 9
007-009-009	ชั้นบนสุด
007-010		หอคอยทอง
007-010-000	ชั้นที่ 1
007-010-001	ชั้นที่ 2
007-010-002	ชั้นที่ 3
007-010-003	ชั้นที่ 4
007-010-004	ชั้นที่ 5
007-010-005	ชั้นที่ 6
007-010-006	ชั้นที่ 7
007-010-007	ชั้นที่ 8
007-010-008	ชั้นที่ 9
007-010-009	ชั้นที่ 10
007-010-010	ชั้นที่ 11
007-010-011	ชั้นที่ 12
007-010-012	ชั้นที่ 13
007-010-013	ชั้นที่ 14
007-010-014	ชั้นที่ 15
007-010-015	ชั้นที่ 16
007-010-016	ชั้นที่ 17
007-010-017	ชั้นที่ 18
007-010-018	ชั้นที่ 19
007-010-019	ชั้นที่ 20
007-010-020	ชั้นที่ 21
007-010-021	ชั้นที่ 22
007-010-022	ชั้นที่ 23
007-010-023	ชั้นที่ 24
007-010-024	ชั้นที่ 25
007-010-025	ชั้นที่ 26
007-010-026	ชั้นที่ 27
007-010-027	ชั้นที่ 28
007-010-028	ชั้นที่ 29
007-010-029	ชั้นที่ 30
007-010-030	ชั้นที่ 31
007-010-031	ชั้นที่ 32
007-010-032	ชั้นที่ 33
007-010-033	ชั้นที่ 34
007-010-034	ชั้นที่ 35
007-010-035	ชั้นที่ 36
007-010-036	ชั้นที่ 37
007-010-037	ชั้นที่ 38
007-010-038	ชั้นที่ 39
007-010-039	ชั้นที่ 40
007-010-040	ชั้นที่ 41
007-010-041	ชั้นที่ 42
007-010-042	ชั้นที่ 43
007-010-043	ชั้นที่ 44
007-010-044	ชั้นที่ 45
007-010-045	ชั้นที่ 46
007-010-046	ชั้นที่ 47
007-010-047	ชั้นที่ 48
007-010-048	ชั้นที่ 49
007-010-049	ชั้นที่ 50

011			ด่านจัดอันดับ
011-000		สังเวียนเกียรติยศ
011-000-000	บททดสอบแดงเลือด
011-001		สังเวียนเกียรติยศ
011-001-000	บททดสอบเงา
011-002		สังเวียนเกียรติยศ
011-002-000	บททดสอบฟินิกซ์
011-003		สังเวียนเกียรติยศ
011-003-000	แผนห้าปี
011-004		สังเวียนเกียรติยศ
011-004-000	อ่อนแอแห่งวิญญาณ
011-005		สังเวียนเกียรติยศ
011-005-000	หกปีแกร่งกล้า
011-006		สังเวียนเกียรติยศ
011-006-000	สู่รอยร้าว: คนรับใช้สไตรก์!
011-007		สังเวียนเกียรติยศ
011-007-000	อะควาพาราดิโซ
011-008		สังเวียนเกียรติยศ
011-008-000	Princess Punt's Army
011-010		สังเวียนเกียรติยศ
011-010-000	โจมตีชากูเรล
011-011		สังเวียนเกียรติยศ
011-011-000	สภาแวมไพร์
011-012		สังเวียนเกียรติยศ
011-012-000	ร่ายรำในนภา
011-013		สังเวียนเกียรติยศ
011-013-000	ความตายจากอวกาศ
011-014		สังเวียนเกียรติยศ
011-014-000	ฉันมองหาความแข็งแกร่งที่สุด
011-015		สังเวียนเกียรติยศ
011-015-000	หมายเลข 7 นำโชค
011-016		สังเวียนเกียรติยศ
011-016-000	เทศกาลดนตรีมิกุมิกุ
011-017		สังเวียนอำนาจ
011-017-000	ทัวร์นาเมนต์น้ำตานอง
011-018		สังเวียนเกียรติยศ
011-018-000	ฉันมองหาความแข็งแกร่งที่สุด
011-019		สังเวียนเกียรติยศ
011-019-000	8 ก็ไม่พอ
011-020		ดํานานเล่าขานเกียรติยศ
011-020-000	บททดสอบแดงเลือด
011-021		ดํานานเล่าขานเกียรติยศ
011-021-000	บททดสอบเงา
011-022		ดํานานเล่าขานเกียรติยศ
011-022-000	บททดสอบฟินิกซ์
011-023		ดํานานเล่าขานเกียรติยศ
011-023-000	สบายดีตอน 9 โมง
011-025		ดํานานเล่าขานเกียรติยศ
011-025-000	ฉลองครบ 11 ปี
011-026		สังเวียนอำนาจ
011-026-000	งานประชุมเรนเจอร์
011-027		สังเวียนเกียรติยศ
011-027-000	The Swords of Meiji
011-028		สังเวียนอำนาจ
011-028-000	คลื่นโจมตี
011-030		สังเวียนโชคชะตา
011-030-000	ทัวร์นาเมนต์พรสวรรค์
011-031		สังเวียนเกียรติยศ
011-031-000	The Strongest Things
011-032		Arena of Honor
011-032-000	Sonic Battle!
011-033		สังเวียนโชคชะตา
011-033-000	พรสวรรค์ด้านสงคราม
011-034		สังเวียนอำนาจ
011-034-000	กลัวจนตัวแข็ง
011-035		สังเวียนโชคชะตา
011-035-000	พรสวรรค์ด้านสงคราม

012			การต่อสู้ท้าทาย
012-000		การต่อสู้ท้าทาย
012-000-000	คะแนนสูงขึ้น

013			ตำนานประหลาด
013-000		ตำนานบทใหม่
013-000-000	คำสาปโบราณ
013-001		มังกรปรากฏตัว
013-001-000	ทุ่งพิลาฟ
013-001-001	ไนแอนดาเรีย
013-001-002	ทางผ่านอันนิน
013-001-003	ที่ราบสูงอาคิโย่
013-001-004	ทะเลทรายพาสต้า
013-001-005	เนินเขาเนื้อบด
013-002		ป่าไม่สิ้นสุด
013-002-000	ซากโบราณโคซามิน
013-002-001	สีเขียวทะเลตื้น
013-002-002	เล่นเป็นโจร
013-002-003	โพรงแมลง
013-002-004	ยิ้มแสยะน่าสะพรึง
013-002-005	จอห์น กูล
013-003		กระแสบรรพกาล
013-003-000	เมืองทะเล
013-003-001	หอยสังข์พเนจร
013-003-002	พื้นน้ำปาลกัชโช
013-003-003	เขาใต้ทะเลอุตสุโบโบะ
013-003-004	รุ่งอรุณชายเขต
013-003-005	คลื่นวนรัตส์บอร์ก
013-004		อ่าวบาร์กิ้ง
013-004-000	เซิร์ฟแออัด
013-004-001	คลื่นจลาจล
013-004-002	ทุ่นและครีบ
013-004-003	ใส่น้ำแข็ง
013-004-004	ไซเรนม้าน้ำ
013-004-005	ปลาหมึกวัยอ่อน
013-005		ผู้จ้องมองห้วงหุบเหว
013-005-000	อาวุธถึงตาย
013-005-001	ภาพวาดฝาผนังสร้างแรงบันดาลใจ
013-005-002	ถ้ำต้องแสงอาทิตย์
013-005-003	ยอดเขาส่องประกาย
013-005-004	ปีศาจพึมพำ
013-005-005	ริมทะเลสาบเฉื่อยชา
013-006		นีโอ-เนโครโปลิส
013-006-000	ไลโคปีนเที่ยงคืน
013-006-001	เมโทรอาซิส
013-006-002	ตึกระฟ้ากระดาษ
013-006-003	สนธยาของอันธพาล
