000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
370	Healthy and capable Cat filled with dreams.<br>Fine Western-style cuisine is her talent.<br>Has a small chance of Critical Strike.	Refining her household skills day by day.<br>Every morning must start with a proper greeting.<br>Has a small chance of Critical Strike.	She expresses her boundless hope in her cooking.<br>Her overflowing optimism is unmistakable!<br>Chance of Critical Strike and Metal knockback.
371	An Cat possessing elegance unrivaled at her<br>school. Beauty extends to behavior befitting<br>an honor student. Might knockback Aliens.	Endlessly seeks to improve on herself.<br>Lashes out when she feels her weakness<br>might be exposed. Might knockback Aliens.	
372	An uncanny Cat with silver hair and red eyes.<br>Once tried to care for a small bird.<br>Might Slow Red enemies.	Inheritor of the blood of a venerable House.<br>Recently purchased new winter clothes.<br>Might Slow Red enemies.	
373	Joining the fight from Fate/stay night [HF]!<br>Dreams of defending justice like his adopted<br>father. Tough vs. Black enemies.	Joining the fight from Fate/stay night [HF]!<br>Joined the Holy Grail War after summoning<br>his Servant, Saber. Tough vs. Black enemies.	
374	Joining the fight from Fate/stay night [HF]!<br>Admires Shirou, takes care of the Emiya<br>household. Area Attacks might Critical.	Joining the fight from Fate/stay night [HF]! "If I<br>became a bad person, would you forgive me?"<br>Area Attacks might Critical.	
375	Un objet de collection inestimable !<br>Sorti à 9 milliards d’exemplaires seulement !<br>	Un souvenir empli de reconnaissance féline.<br>Tous les 3 Chats pièces,<br>un nouveau Chat pièce apparaît.	
376	Première sonde féline produite par la NACHA.<br>Conçu pour résister aux attaques extraterrestres,<br>bloque les téléportations et défense anti-aliens balèze.	Sonde dernier cri de la NACHA. Sa puissance de transmission<br>est si avancée qu’elle capte même les chaînes cochonnes.<br>Balèze contre les aliens et bloque les téléportations.	Satellite expérimental de la NACHA, conçu pour l’observation<br>de zones aussi éloignées que le magasin du coin.<br>Balèze contre les aliens et bloque les téléportations.
377	Escrimeur invaincu depuis 400 combats. Doit utiliser sa patte<br>gauche pour se sentir un minimum en danger.<br>100 % de chances de brise-barrière.	A voulu essayer une nouvelle forme de combat à l’épée,<br>mais a du mal à se défaire de sa spécialité première.<br>100 % de chances de brise-barrière.	Est passé des compétitions au tourisme.<br>Tout le monde se sert de lui comme point de rendez-vous.<br>100 % de chances de brise-barrière.
378	Mitama s’est senti trahie par ce monde cruel et a pénétré<br>dans celui des ténèbres. (Att. longue portée)<br>Balèze contre les ennemis sans caract., 100 % de ralent.	Telle une veuve pleurant son amour défunt, elle est<br>prisonnière de ses souvenirs. Balèze contre<br>les ennemis sans caract., 100 % de ralent./affaibl. (Att. longue portée)	
379	Surnommé « la terreur des gymnases ».<br>Ses pointes mettent KO ses adversaires.<br>Ses attaques longue portée peuvent être critiques !	Une prima donna du théâtre shakespearien.<br>Fend le ciel et s’abat tel un javelot.<br>Ses attaques longue portée peuvent être critiques !	Chef virtuose surnommé « le prince des épices ».<br>Les ennemis métal ne résistent pas à ses puissants parfums.<br>Ses attaques longue portée peuvent être critiques !
380	Un jeune et beau soldat qui a tant à prouver...<br>Il n’a même pas conscience de sa force.<br>Dégâts suppl. contre les ennemis à caract. (Longue portée)	Avec son épée aiguisée comme une lame de rasoir et son moral<br>à toute épreuve, risquerait tout pour protéger ses camarades.<br>Dégâts suppl. contre les ennemis à caract. (Longue portée)	
381	Un chat humble qui cultive de bonnes choses pour ses pairs.<br>Recruté par l’armée des Chats parmi d’autres candidats.<br>Argent bonus lorsque des ennemis sont vaincus.	Quoi ? Le marché du navet est en plein boom ? Tirons<br>profit des récoltes ! Vétéran respecté de l’armée des Chats.<br>Argent bonus lorsque des ennemis sont vaincus.	
382	Un chat fragile, mais au cœur solide !<br>On n’a qu’une vie, alors profitons-en !<br>N’attaque qu’une fois, ralentit les ennemis sans caract.	Fabriqué en verre un peu plus solide, mais ne fait toujours<br>pas beaucoup d’effet sur le champ de bataille.<br>N’attaque qu’une fois, ralentit les ennemis sans caract.	Son corps a été parfaitement lustré pour briller<br>de mille feux. Que son éclat dure éternellement !<br>Repousse/ralentit les ennemis sans caract. (Cible unique)
383	A rejoint l’armée des Chats en prononçant « La loi de<br>mon clan m’oblige à servir le plus fort des guerriers ».<br>Waouh, c’est beau ! Puissantes att. de zone longue portée.	A modifié son masque sacré en hommage à ses nouveaux<br>frères d’armes félins. Ce qui met mal à l’aise sa fille<br>de 12 ans. Attaques de zone longue portée.	Un renard d'argent, devenu irrésistible pour ces dames<br>qui ne lui auraient pas accordé un regard auparavant.<br>Dégâts massifs aux reliques. Attaques de zone longue portée.
384	Dropping in from PowerPro Baseball!<br>This manager plays it cool, but actually has a heart of gold.<br>Chance to knockback Red enemies.	Dropping in from PowerPro Baseball!<br>An aikido blackbelt with catlike reflexes.<br>Chance to knockback Red enemies.	
385	Dropping in from PowerPro Baseball!<br>No one can outrun this speedy outfielder!<br>	Dropping in from PowerPro Baseball!<br>Ends every sentence with "Donchaknow?"<br>	Dropping in from PowerPro Baseball!<br>Might love robot anime even more than baseball.<br>Area attacks release waves of destruction.
386	Dropping in from PowerPro Baseball!<br>Blesses all players with her maternal care.<br>Chance to weaken Angel enemies.	Dropping in from PowerPro Baseball!<br>Always puts others' needs before her own.<br>Chance to weaken Angel enemies.	
387	Dropping in from PowerPro Baseball!<br>A bright and energetic manager.<br>Tough defense vs. Alien enemies.	Dropping in from PowerPro Baseball!<br>No one can motivate a player like her!<br>Tough defense vs. Alien enemies.	
388	Dropping in from PowerPro Baseball!<br>Eager manager who's always two steps behind the hero.<br>Chance to knockback Zombies.	Dropping in from PowerPro Baseball!<br>Her devotion is just a bit too much sometimes.<br>Chance to knockback Zombies.	
389	Dropping in from PowerPro Baseball!<br>Openminded and cheerful team manager.<br>Chance to freeze Floating enemies.	Dropping in from PowerPro Baseball!<br>Better than anyone at resolving personality conflicts.<br>Chance to freeze Floating enemies.	
390	Dropping in from PowerPro Baseball!<br>So bad at cooking she could burn water.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Her flaw is too much earnest naivete.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Secretly Aoi Hayakawa.<br>Massive anti-Alien long-range area damage.
391	Dropping in from PowerPro Baseball!<br>A tomboy pitcher determined to win!<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Has a real sweet tooth, and loves pudding.<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Proudly sports the Tachibana Group logo.<br>Massive anti-Angel area damage.
392	Dropping in from PowerPro Baseball!<br>A rookie catcher with unparalleled game sense.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>From a temple family, loves Buddhist cooking.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>Proudly wears a temple name on her chest.<br>Strong vs. Zombies, with Area Attacks.
393	Dropping in from PowerPro Baseball!<br>Popular player with many female fans.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Has a small complex about being unfeminine.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Eventually was won over by the rhythm!<br>Area attacks slow Floating/Black.
394	Dropping in from PowerPro Baseball!<br>Attractive, popular, and skilled.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>Dreams of making it all the way to the series final.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>New pitch has the cosmic power of a black hole!<br>Strong vs. Red/Angels (Long-range/Area Atk)
395	Dropping in from PowerPro Baseball!<br>Reliable and respected shortstop.<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>No worries about seeming boyish if it helps to win!<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>Just between us, it's Miyabi... Immune to Waves.<br>Attack power increases after taking damage.
396	Premier empereur et fondateur de la dynastie des dragons.<br>Qui sait de quoi il est capable ?<br>Attaques longue portée, assure contre les aliens/zombies.	A entretenu sa forme pendant des millénaires, ne faisant<br>que gagner en puissance année après année.<br>Attaques longue portée, assure contre les aliens/zombies.	Une relique impie a brisé les sceaux qui renfermaient<br>son pouvoir. Capitule ou trépasse !<br>Attaques longue portée, assure contre les aliens/zombies.
397	Une écolière ordinaire qui aime le thé aux perles et tuer<br>des démons. Balèze contre les ennemis métal,<br>que ses att. critiques peuvent ralentir/affaiblir.	Dur de jongler entre ses loisirs et la défense de l’héritage<br>sacré de son clan. Balèze contre les ennemis métal,<br>que ses att. critiques peuvent ralentir/affaiblir.	Si le châtiment divin doit s'abattre, autant<br>qu'il soit agréable à regarder. Att. pouvant être crit.,<br>ralentissement et résistance acharnée aux ennemis métal.
398			
399	Dropping in from MENTORI! Trust me,<br>talking to it is more trouble than it's worth..<br>Tough vs Floating Enemies	Dropping in from MENTORI! This weird<br>bird specializes in obnoxious interjections.<br>Tough vs Floating Enemies	
400	Dropping in from MENTORI! Mentori's sharp-<br>tongued kid sis is never not macho!<br>Chance of Critical attacks.	Dropping in from MENTORI! Just at that<br>age when it's all sarcasm all the time.<br>Chance of Critical attacks.	
401	Le tonnerre cosmique en chair et en os !<br>Invoque la foudre pour tenter d’immobiliser<br>les aliens avec des attaques de zone.	Sa foudre qui déchire les cieux<br>neutralise les barrières ennemies. Balèze contre<br>les aliens, immobilise avec des attaques de zone.	Un puissant esprit qui canalise la force de l’orage<br>en passe de consumer le cosmos.<br>Balèze contre les aliens, 100 % de chances d’immobiliser.
402	Recruited from Evangelion!<br>A boy suddenly forced to pilot Evangelion.<br>Resents his distant father. (Area Attack)	Recruited from Evangelion!<br>Hoping to be respected by his comrades<br>for his piloting skills. (Area Attack)	Recruited from Evangelion! Agreed to pilot<br>Eva once again for a chance at redemption.<br>Tough vs. Aliens/Zombies (Area Attack)
403	Leader and deputy commander of NERV.<br>Out to complete their goal by any means.<br>(Area Attack)	On the moon for the final stage of their<br>plan. They trust each other fully.<br>(Area Attack)	
404	A prototype Giraffe Cat-type weapon.<br>Escaped with only the helmet equipped.<br>Might survive a lethal strike.	Received a new production-model<br>helmet for mightier headbutts. Still on<br>the run. Might survive a lethal strike.	
405	Recruited from Evangelion!<br>A strange boy with a mysterious smirk.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Thought by others to be an Eva pilot.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Seems to have known Shinji for a long<br>while. Massive area damage to Black.
406	Cat who pilots Eva Unit-00. Gendo's<br>glasses are her cherished treasure.<br>Tough vs /  Massive Damage to Angels.	She lost all memory of the black plugsuit.<br>There is nothing for her but her duty.<br>Tough vs /  Massive Damage to Angels.	
407	Cat who pilots Eva Unit-02. Flies into<br>a rage easily when she feels slighted.<br>Tough vs /  Massive Damage to Red.	She is slowly warming up to her comrades.<br>Has a habit of burning her tongue easily.<br>Tough vs /  Massive Damage to Red.	
408	A strange Cat with stylish glasses.<br>Loves to end each sentence with a meow.<br>Tough vs /  Massive Damage to Floating.	A skilled paratrooper who infiltrated Tokyo-3.<br>Learning her way around Central Dogma.<br>Tough vs /  Massive Damage to Floating.	
409	Recruited from Evangelion!<br>An aloof girl who guards her emotions.<br>Area attacks might weaken Angels.	Recruited from Evangelion!<br>Feels a strong bond with her fellow pilots.<br>Area attacks might weaken Angels.	Recruited from Evangelion! Guarding that<br>which she treasures most for 14 years.<br>Strong against and might weaken Angels.
410	Recruited from Evangelion!<br>A prideful and hot-tempered prodigy.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion!<br>Warming up to the idea of teamwork.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion! Eva 02's pilot,<br>member of anti-NERV organization WILLE.<br>Strong vs Red enemies, Area Atks might Knockback.
411	Recruited from Evangelion!<br>An enigmatic girl who arrived via parachute.<br>Strong vs. Floating (Area Attack)	Recruited from Evangelion!<br>Her love for piloting Eva is plain to see.<br>Strong vs. Floating (Area Attack)	
412	Recruited from Evangelion!<br>A humanoid superweapon prototype.<br>Tough vs Angel/Floating, negates Waves.	Recruited from Evangelion!<br>Notorious for violent incidents in testing.<br>Tough vs Angel/Floating, negates Waves.	
413	Recruited from Evangelion!<br>A humanoid superweapon test-type.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion!<br>Goes berserk when pilot is in danger.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion! Marches toward the<br>final battle with the lance of hope Cassius in hand.<br>Strong vs. Aliens/Zombies (Area Attack)
414	Recruited from Evangelion!<br>The Evangelion production model.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion!<br>The true Evangelion, or so says the pilot.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion! Eva 02's beast form,<br>activated with a backdoor code. Massive Long-range<br>Area damage vs Red, grows stronger after damage.
415	A Cat who becomes paralyzed by fear.<br>When bullied, Eva comes to his defense!<br>Knocks back Metal/Black, with Wave Attack!	Cats who can't resist their curious nature.<br>When bullied, Eva comes to their defense!<br>Knocks back Metal/Black, with Wave Attack!	
416	Operators for the secret agency NERV,<br>providing support for the Eva pilots.<br>Area attacks slow Red/Zombies.	Elite command of the NERV agency.<br>An effective team since their school days.<br>Area attacks slow Red/Zombies.	
417	Un bain thermal mobile mondialement connu.<br>Il se déplace avec aise et élégance. Att. devant-derrière<br>qui ralentit/inflige des dégâts massifs aux zombies.	Une organisation secrète souterraine qui défend l’armée<br>des Chats contre les attaques surprises des Toutous.<br>Immob. devant-derrière et dégâts massifs contre les zombies.	En première ligne de la campagne féline pour rechercher<br>et détruire les bases canines souterraines. Immob.<br>devant-derrière et dégâts massifs aux zombies.
418	La pop star dont tout le monde raffole a craqué sous<br>la pression de la célébrité. Mais même une icône<br>maléfique peut encore aimer ses fans.	Une superstar internationale qui use de son charisme<br>pour rendre fou son public en délire.<br>Sa révérence inflige de gros dégâts critiques !	
419	Joining the fight from LINE Pokopang!<br>Rabbity defender of justice who'll<br>do anything to help his friends!	Joining the fight from LINE Pokopang!<br>His mission in life is to bring joy<br>to his fellow woodland creatures.	
420	Joining the fight from LINE Pokopang!<br>A stoic sheep who loves to collect<br>unusual objects! Tough vs Red!	Joining the fight from LINE Pokopang!<br>Hides his scavenged treasures in his fluffy<br>wool for safekeeping. Tough vs Red!	
421	Joining the fight from LINE Pokopang!<br>A burly bear who lives for peace, flowers<br>and tasty fish! Might weaken Black!	Joining the fight from LINE Pokopang!<br>Despite tough looks, loves a nice cup of<br>herbal tea most. Might weaken Black!	
422			
423			
424			
425			
426	Une super arme ancestrale empruntée à un mystérieux<br>laboratoire. Étant encore chapprenti conducteur,<br>il n’est pas encore à pleine puissance. (Att. de zone)	A subi des améliorations sans autorisation...<br>Remplacer son armure vintage par du titane ne figure<br>pas dans le contrat de location ! (Att. de zone)	Malgré son amende, le Chat a encore customisé<br>son engin. Il comporte maintenant des technologies<br>expérimentales tirées de prototypes anciens. (Att. de zone)
427	Un brave groupe félin voulant en finir avec le Roi du mal.<br>Leurs frappes de zone longue portée peuvent être critiques.<br>100 % de chances d’affaiblir les rouges/noirs/flottants.	L’élu et ses 11 braves aventuriers.<br>Leurs frappes de zone longue portée peuvent être critiques.<br>100 % de chances d’affaiblir les rouges/noirs/flottants.	Nos aventuriers se sentent pousser des ailes !<br>Leurs frappes de zone longue portée peuvent être critiques.<br>100 % d’affaiblissement des rouges/noirs/flottants/reliques.
428	A boy lost to the destruction, reborn as a<br>Cat who makes ominous statements.<br>100% chance of Wave Attack.	Over time, the boy-turned-Cat evolved the<br>powerful legs from his time as a human.<br>100% chance of Wave Attack.	
429	Cat bearing the spirit of a legendary programmer<br>dedicated to teaching the world through his blog.<br>Long-distance attacks 100% Weaken non-Metal.	An expert techie who knows any machine inside<br>and out. Yesterday, his own blog was hacked...<br>Long-distance attacks 100% Weaken non-Metal.	
430			
431	Prodige du Bureau d’enquêtes infernales dans l’au-delà.<br>Il a résolu plus de 665 affaires !<br>Ses vagues offensives peuvent immob. les aliens/flottants.	Ce professionnel endurci a mis à jour un complot<br>plus effrayant que l’enfer lui-même.<br>Ses vagues offensives peuvent immob. les aliens/zombies.	A pris conscience de son potentiel en condamnant<br>les archidémons. L’heure du jugement a sonné !<br>Ses vagues offensives immobilisent les zombies à 100 %.
432	Joining the fight from Betakkuma!<br>Weirdly cute white bear with some slick moves.<br>Might knockback Aliens.	Joining the fight from Betakkuma!<br>Changed colors after training by an assassin's guild.<br>Might knockback Aliens.	
433	Inspired by a weirdly cute white<br>bear, has mastered those slick moves.<br>Might knockback Black enemies.	Embracing its savage instincts, it<br>rains rapid-fire blows on its enemy.<br>Might knockback Black enemies.	
434			
435	Petite sœur de Chalkyrie. Meilleure agente du Valhalla,<br>elle défend les mortels dans des missions à haut risque.<br>Ses attaques de zone peuvent briser les barrières.	Benjamine des Chalkyries. Elle peut commander<br>les forces de la Terre, un don de la nature !<br>Ses attaques de zone peuvent briser les barrières.	
436	Est-ce un Chat ?<br>Il a quand même de drôles<br>de moustaches...	Je n’en peux plus...<br>Celui-là a l’air d’être immunisé contre<br>les vagues offensives. (Att. de zone longue portée)	Monstre ? Magicien ? Ou simple Chat ?<br>La manière dont fonctionne son pouvoir est un mystère.<br>Immunité aux vagues offensives. (Zone longue portée)
437	Le Dieu des Chats a enfin rejoint le combat, alléluia !<br>Son éternuement céleste repousse tous les ennemis non-métal,<br>et ses frappes devant-derrière sont super cools.	Sa détermination et son charisme divins irradient.<br>Son éternuement céleste repousse tous les ennemis non-métal,<br>et ses frappes devant-derrière sont super cools.	Un dieu si resplendissant qu’il en devient odieux.<br>Son éternuement céleste repousse tous les ennemis non-métal<br>et ses frappes devant-derrière sont super cools.
438	Jeune femme impétueuse gérante d’un bar tiki sur la plage.<br>Son attitude n’a pas l’air de gêner les garçons !<br>Assure contre les zombies/flottants. (Att. de zone)	Jeune femme bagarreuse qui traque les brutes des plages<br>sur sa planche artisanale.<br>Assure contre les zombies/flottants. (Att. de zone)	
439	Une force de la nature qui a évité que l’univers ne s’écroule<br>en maintenant l’ordre grâce à son horloge du destin.<br>Immob. les ennemis à caract. avec att. de zone longue portée.	A façonné notre réalité à partir d’une matière primaire grâce<br>à son horloge divine. Ne la cherche pas !<br>Immob. les ennemis à caract. avec att. de zone longue portée.	Grâce au fruit de la création, il retient le chaos<br>qui menace de consumer l’univers tout entier. Son<br>att. de zone longue portée immobilise les ennemis à caract.
440	From Madoka Magica The Movie -Rebellion-!<br>Mami's adorable, cheese-loving partner.<br>Area attacks Weaken Aliens and Zombies.	From Madoka Magica The Movie -Rebellion-!<br>New Magical Girl who appears before Madoka.<br>Area attacks Weaken Aliens and Zombies.	
441	Un justicier ambulant qui ressemble à un mousquetaire très<br>connu. Gagne en puissance d’att. quand il subit des dégâts,<br>efficace contre tous les ennemis sans caract.	Rien ne lui importe plus que la justice. Il risquerait tout<br>au nom de sa cause ! Gagne en puissance d’att. quand il subit<br>des dégâts, efficace contre tous les ennemis sans caract.	
442	Un assassin expert qui ratisse le parc avec son petit<br>garnement à l’affut de pollueurs à réprimander.<br>Balèze et repousse/immobilise les ennemis sans caract.	Papa est souffrant, alors son chaton aide maman<br>pendant qu’elle vend des rafraîchissements dans le train.<br>Balèze et repousse/immobilise les ennemis sans caract.	Papa et son chaton méritent bien des vacances au soleil !<br>Ont économisé un siège en fourrant le chaton dans une valise.<br>Balèze et repousse/immobilise les ennemis sans caract.
443	Pilier de la brigade de forage Grandon,<br>il rêve de percer le centre de la Terre.<br>Ses att. longue portée affaiblissent les ennemis sans caract.	Spécialiste du forage de la vaillante brigade Grandon.<br>Son antenne détecte un trésor enseveli depuis longtemps !<br>Ses att. longue portée affaiblissent les ennemis sans caract.	Spécialiste du perçage de la vaillante brigade Grandon.<br>Une nouvelle antenne pour mieux trouver les trésors ?! Assure<br>contre les sans caract., att. longue portée affaiblissante.
444	Enfonce des pieux très profondément ! Personne ne lui dit<br>quoi faire, il creuse où il veut !<br>Balèze contre les zombies. (Inflige Recul) (Devant-derrière)	Les Grandon le redoutent…<br>Si tu le cherches, il t’empale !<br>Balèze contre les zombies. (Inflige Recul) (Devant-derrière)	Spécialiste du forage de la brigade Grandon.<br>Guide ses pointes comme une aiguille dans le tissu.<br>Balèze contre les zombies. (Inflige Recul et Devant-derrière)
445	Elle cumule deux boulots : découpeuse et cuisinière pour<br>les Grandon. Gros dégâts de zone contre les rouges.<br>Survit et se renforce après avoir subi des dégâts.	A investi dans une gazinière dernier cri pour cuisiner<br>plus efficacement. Gros dégâts de zone contre les rouges.<br>Survit et se renforce après avoir subi des dégâts.	Spécialiste cuisine et découpage de la brigade Grandon.<br>L'employé suprême. Dégâts de zone massifs contre les rouges.<br>100 % de survie, se renforce après avoir subi des dégâts.
446	Personne ne pellette aussi bien que lui. Personne !<br>N’attaque que les ennemis métal, avec chance de coup crit. !<br>Argent bonus lorsque des ennemis sont vaincus !	Cette façon de ramasser la terre... Splendide !<br>N’attaque que les ennemis métal, avec chance de coup crit. !<br>Argent bonus lorsque des ennemis sont vaincus !	Creuser le trou parfait est un acte divin, dit-il. N'attaque<br>que les ennemis métal, avec crit. et réplique offensive !<br>Argent bonus lorsque des ennemis sont vaincus !
447	Le maître des scies de la Brigade Grandon.<br>Déteste quand les choses ne sont pas coupées en deux.<br>Dégâts massifs et balèze contre les aliens.	Comme c’est barbant quand il n’y a rien à scier...<br>Il y a des courses pour maman dans la boîte !<br>Dégâts massifs et balèze contre les aliens.	Gourou de la scie circulaire, ne fait plus qu'un avec<br>sa machine. Son potentiel est illimité.<br>Dégâts massifs et balèze contre les aliens !
448	Un épéiste ambulant passé par le royaume du carnage<br>pour dompter l’épée Nichirin.<br>Balèze/dégâts insensés contre les ennemis noirs.	Le sang sur ses mains a transformé l’épée Nichirin<br>en épée Getsurin maudite. Ses ennemis n’ont aucune chance.<br>Balèze/dégâts insensés contre les ennemis noirs.	
449	Présidente de la Cyber Académie, respectée de tous. Invoque<br>des lances célestes pour punir les mauvais élèves. Dégâts<br>insensés contre les rouges/flottants. (Longue portée/Zone)	Ses principes en matière d’éducation sont devenus plus...<br>stricts, depuis peu. Mais qui va s’en plaindre ? Dégâts<br>insensés contre les rouges/flottants. (Longue portée/Zone)	
450	Le dragon originel a fusionné avec un château céleste<br>et contrôle les royaumes des mortels. Résistance<br>acharnée contre les rouges/flottants. (Att. de zone)	Sa nature draconique corrompt peu à peu<br>le château céleste depuis des millénaires... Résistance<br>acharnée contre les rouges/flottants. (Att. de zone)	Un dragon légendaire avec Fléau des colosses.<br>Résistance acharnée contre les rouges/flottants.<br>(Attaque de zone)
451	Un héros céleste qui a juré de venger son père.<br>Traque la brigade du mal H.E.I.K.E. avec sa flûte magique.<br>Balèze contre les anges avec des dégâts de zone fous.	Ushi a déniché un mecha invincible lors d’un voyage.<br>Il est sûr de l’emporter contre H.E.I.K.E., maintenant.<br>Balèze contre les anges avec des dégâts de zone fous.	
452	Un félinoïde primitif d’une époque ancienne, doté d’une<br>queue en forme de nageoire et de branchies.<br>Balèze contre les ennemis métal/reliques.	Cet étrange Chat (?) faisait la sieste sur le rebord<br>d’une fenêtre. Sa forme est pour le moins inhabituelle !<br>Balèze contre les ennemis métal/reliques.	Un visiteur issu d'un monde lointain de Chats<br>cultivés et bipèdes. Aime le Miam au curry épicé.<br>Résistance acharnée aux enn. de type métal et reliques.
453			
454			
455	Une justicière cosmique qui use de ses rayons plasma<br>pour appréhender les criminels de toutes les dimensions.<br>Immobilise les rouges/noirs/anges avec des vagues offensives.	La détective la plus stylée de la galaxie, qui lutte contre<br>les crimes cosmiques avec ses pistolets lasers dernier cri.<br>Ses vagues offensives de zone immob. les rouges/noirs/anges.	
456	Joining the fight from Fate/stay night [HF]!<br>Takes charge of daily care for the Emiya house.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Joining the fight from Fate/stay night [HF]! Fears<br>that Shirou will fall victim to the Holy Grail War.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Dark Sakura joins the fight from Fate/stay night [HF]!<br>After accepting darkness into herself, Sakura assumed this form.<br>Tough vs Black/Aliens/Zombies (Area Attack)
457	A Cat who strives to be a defender of justice.<br>Spent months in his room trying to summon<br>a Heroic Spirit. Strong vs. Black enemies.	Still hasn't succeeded at Heroic Spirit<br>summoning. Now leaves his room sometimes<br>to do night patrols. Strong vs. Black enemies.	
458	A Heroic Cat Spirit proficient with both bow<br>and blade. Who knows why he dislikes<br>Shirou the Cat so? Immune to Wave Attacks.	Mastered the bow in order to claim the title<br>of Archer. His hate for Shirou the Cat keeps<br>him up at night. Long-range, Immune to Waves.	
459	A Cat who wields dagger and chain with<br>grace. At a slight visual disadvantage thanks<br>to her mask. Chance to Freeze Angels.	Gained command of a legendary lifeform.<br>Can't see much due to the mask and<br>Pegasus' head. Chance to Freeze Angels.	
460	A Cat-priest with a taste for extra-spicy mapo tofu,<br>and a Cat Spirit with flawless tactical sense.<br>Might weaken Black, stronger after damage.	One Cat has begun to tire of the game of battle,<br>but the other still can't get enough mapo tofu.<br>Might weaken Zombies, stronger after damage.	
461	Est-ce un Chat ?<br>Il est quand même enveloppé<br>d’un drôle de cristal interdimensionnel...	Tremble devant sa puissance !<br>Celui-ci est sûrement immunisé<br>contre les dégâts de vagues. (Devant-derrière)	
462	Une forme de vie ancestrale détruite par les forces<br>canines, aujourd’hui réparée avec de la super glue.<br>Devant-derrière et 100 % de chances d’immob. les sans caract.	Un Chat mystère que l’on croyait tombé dans l’oubli.<br>A opté pour une teinte avec effet amincissant.<br>Devant-derrière et 100 % de chances d’immob. les sans caract.	Venu d’un autre monde pour envahir notre plan.<br>Puissance réduite due à mauvaise réception (devant-derrière).<br>Immobilise à 100 % contre les reliques et les sans caract.
463	Une gemme pulsée qui concentre les forces mystiques en<br>un souffle instable mais hyper puissant. Devant-derrière,<br>bloque-vagues et déf./att. élevées contre les zombies !	Les Chats ingénieurs ne peuvent pas garantir que ces énergies<br>extradimensionnelles ne détruisent pas le monde.<br>Devant-der., bloque-vagues, déf./att. élevées contre zombies.	
464	L’armée des Toutous a mis cet objet en vente sur cBay pour<br>financer sa prochaine campagne, mais n’a récupéré que 0,22 €.<br>Défense élevée contre les sans caract. (Att. de zone)	L’expertise indique que cet objet a été créé par les premiers<br>Chats et vendu aux Toutous en tant que décoration florale.<br>Défense élevée contre les sans caract. (Att. de zone)	A atteint son véritable potentiel en trouvant un parfait<br>armement au marché aux puces. Fléau des Colosses/Béhémoths,<br>Assure contre les reliques et les sans caract. (Att. de zone)
465			
466	The younger twin of Super Zeus,<br>second child of the goddess Nadia.<br>Insane Long-range Area damage to Traitless.	Soars in the sky while wielding magic power from<br>the 6 sacred eggs. Is he a devil, or an angel?<br>Insane Long-range Area damage to Traitless.	
467	The highest power of the heavenly realms created<br>by Nadia, with a weakness for women and money.<br>Tough vs Traited, Area attacks 100% Weaken.	Bearing unlimited strength, he holds back the<br>forces of darkness from invading the mortal realms.<br>Tough vs Traited, Area attacks 100% Weaken.	All-powerful god, beloved of the sun, whose<br>growing power now befits the title of holy emperor.<br>Tough vs Traited, Area attacks 100% Weaken.
468	The embodiment of perfect love and courage,<br>becoming yet greater with every new rebirth.<br>Chance to Freeze Floating/Black/Aliens	Denizen of a realm beyond time and space, who<br>achieves his highest form after reaching lightspeed.<br>Chance to Freeze Floating/Black/Aliens (Area Atk)	Pioneering a realm of being beyond mortal vision,<br>the fires of heaven feed his growing powers.<br>Strong vs/Freeze Floating/Black/Aliens
