000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
294	ごくごく平凡な魔法少女に憧れるネコ。友達想いで<br>心優しい性格の持ち主になりたいと思っている<br>たまに浮いてる敵の動きを一瞬遅くする	怪しげな白い生き物と契約したネコ魔法少女<br>常に誰かの役に立っていると思っている<br>たまに浮いてる敵の動きを一瞬遅くする	
295	クールで謎の多い魔法少女に憧れるネコ<br>ミステリアスな雰囲気がどうしても出せない<br>たまに黒い敵の動きを一瞬止める	怪しげな白い生き物と契約したネコ魔法少女<br>違法改造したゴム鉄砲で職務質問された<br>たまに黒い敵の動きを一瞬止める	
296	まっすぐな魔法少女に憧れるネコ<br>幼馴染のお見舞いに行くのが日課<br>体力低下で攻撃力上昇	怪しげな白い生き物と契約したネコ魔法少女<br>イケてる剣を手に入れて誰かを斬らずにはいられない<br>体力低下で攻撃力上昇	
297	面倒見のいい先輩魔法少女に憧れるネコ<br>リボンを見る度に飛びつきたくなる衝動を抑えている<br>天使に超ダメージを与える	怪しげな白い生き物と契約したネコ魔法少女<br>必殺技「ティロ・フィニャーレ」をお見舞いする<br>天使に超ダメージを与える	
298	食いしん坊な魔法少女に憧れるネコ<br>食べ物は決して粗末にしない<br>たまに赤い敵の攻撃力をダウンさせる	怪しげな白い生き物と契約したネコ魔法少女<br>伸びる槍はホームセンターで材料をそろえた手作り品<br>たまに赤い敵の攻撃力をダウンさせる	
299	魔法少女まどか☆マギカから参戦！<br>小さな体に大きな可能性を秘めた少女<br>	魔法少女まどか☆マギカから参戦！<br>小さくても魔法少女としての素質は未知数<br>浮いてる敵に超ダメージを与える(遠方攻撃)	魔法少女まどか☆マギカから参戦！<br>小さくても宇宙の法則を再編するほどの力を持つ魔法少女<br>浮いてる敵に超ダメージを与える(遠方範囲攻撃)
300	魔法少女まどか☆マギカから参戦！<br>小さな体に強い意志を秘めた少女<br>	魔法少女まどか☆マギカから参戦！<br>ワルプルギスの夜を倒す<br>その日まで戦い続ける(範囲攻撃)	魔法少女まどか☆マギカから参戦！<br>神にも等しく聖なるものを貶めて蝕んでしまった少女<br>たまに黒い敵の攻撃力を下げる(範囲攻撃)
301	可愛い小動物の皮をかぶった冷酷なネコ<br>叶えたい望みがある少女を探している<br>たまに生き残る	可愛い小動物の皮をかぶった冷酷なネコ<br>進化してずぶとさに磨きをかけた<br>たまに生き残る(範囲攻撃)	
302	氷の世界より降り立ったハロウィン限定スタイルの少女<br>背筋が凍るほどのかわいさにみんなの視線は釘づけ<br>天使の動きをたまにしばらく止める(範囲攻撃)	イタズラ心にそっと火をつけては姿をくらます<br>氷の世界の小悪魔少女<br>天使の動きをたまにしばらく止める(範囲攻撃)	
303	イカゲソたっぷりの斬新な明石焼き風たこ焼きで<br>一攫千金を狙う脱サラネコ<br>天使に超ダメージを与える	着払いで神さまからの荷物を届ける神対応ネコ<br>荷物の中身について口外すると天罰が下るらしい<br>天使に超ダメージを与える	
304	大陸全土を支配した巨大帝国の秘密兵器<br>難攻不落の城壁をもたやすく粉砕する(遠方範囲攻撃)<br>ゾンビに打たれ強く、たまに攻撃力を下げる	精鋭SCAT部隊が乗り込む帝国軍の超重量戦車<br>極秘開発された大砲の威力は絶大(遠方範囲攻撃)<br>ゾンビに打たれ強く、たまに攻撃力を下げる	帝国の科学力を総結集した決戦型超重量戦車<br>放たれる砲弾は新たな時代を切り開く(遠方範囲攻撃)<br>ゾンビに打たれ強く、たまに攻撃力を下げる
305	かつて北の海を荒らしまわった海賊の末裔達<br>先祖が隠したという秘宝を探して世界の海を渡り歩く<br>赤い敵とゾンビに超ダメージを与える(範囲攻撃)	エリート海兵UMINEKOを総動員した超巨大戦艦<br>極秘技術で製造されたドリルはいかなる装甲も打ち破る<br>赤い敵とゾンビに超ダメージを与える(範囲攻撃)	エリート海兵UMINEKOが乗船する究極戦艦<br>強化されたドリルは真の平和へ突き進む<br>赤い敵とゾンビに超ダメージを与える(範囲攻撃)
306	誰も成しえなかった大空を手中に収めた先進兵器<br>空からの無慈悲な爆撃は地上を混乱に陥れる<br>ゾンビを必ずふっとばす(範囲攻撃)	大空を制する鋼の鷹は志高きクルーを配備し<br>極秘兵器NE-K02で確実に敵地を壊滅に追い込む<br>ゾンビを必ずふっとばす(範囲攻撃)	大空を支配した鋼の鷹はより高き志を掲げる<br>究極兵器NE-K02改で理想の世界を作りだす<br>ゾンビを必ずふっとばす(範囲攻撃)
307	棒を使って空を舞うことを追い求めるネコ<br>そのチャレンジ精神は場所を選ぶことはない<br>たまにゾンビの動きを遅くする(遠方範囲攻撃)	世界一高く宙を舞ったネコとしてギネスに認定されかけた<br>スーパーアスリート女子。来年結婚予定<br>たまにゾンビの動きを遅くする(遠方範囲攻撃)	かつてトップアスリートとして名を馳せた奥様<br>物干し竿を華麗に扱い家事に育児に空を飛ぶ<br>たまにゾンビの動きを遅くする(遠方範囲攻撃)
308	通販番組で枝切りバサミを購入したネコ<br>ネコ基地近辺に枝がなくクーリングオフを検討中<br>ごくたまにゾンビの動きを一瞬止める	恐るべき敵の襲来に備えチェーンソーを手にしたネコ<br>開かないドアもこれ一つで簡単に開けられる<br>ごくたまにゾンビの動きを一瞬止める	ネット通販で強そうなマシンを購入したネコ<br>本来の用途を知らず使ってるが格好は様になっている<br>ごくたまにゾンビの動きを止める
309	キャットバスターズから参戦！<br>タイムマシンを発明した好奇心旺盛な天才科学者<br>たまにクリティカル攻撃を放つ	キャットバスターズから参戦！<br>発明したタイムマシンをネズミに奪われた天才科学者<br>マシンを取り戻す旅に出る。たまにクリティカル攻撃を放つ	
310	クリスマス限定スタイルの健気なナース(範囲攻撃)<br>聖なる炎を灯したキャンドルであらゆるネコの為に祈る<br>天使・エイリアンをたまにふっとばして移動を遅くする	クリスマス限定スタイルの聖なるナース(範囲攻撃)<br>美しい燭台に思いを込めて希望の光を灯す<br>天使・エイリアンをたまにふっとばして移動を遅くする	
311	戦闘向きの高級キャラ<br>を目指して成長中のちびにゃんこ<br>｢赤い敵｣にはめっぽう強い	肉食クジラに進化した高級戦闘キャラ<br>を目指して成長中のちびにゃんこ<br>｢赤い敵｣にはめっぽう強い	にゃんこ達の夏休みの思い出の場所に<br>最適な形状にまで成長したちびにゃんこ<br>赤い敵にめっぽう強く、ごくたまにクリティカルを放つ
312	遠くの敵を攻撃できる遠距離型キャラ<br>単発だけなら攻撃力はピカイチ、なキャラ<br>を目指して成長中のちびにゃんこ	幻想世界から降臨した遠距離型キャラ<br>単発だけなら攻撃力はピカイチ、なキャラ<br>を目指して成長中のちびにゃんこ	ドラゴン界のエリートまで成長した<br>遠距離型ちびにゃんこ<br>単発の攻撃力と垂れツノのキュートさはピカイチ
313	超絶破壊力＆強靭な体力を備えた<br>最高級のキャラ<br>を目指して成長中のちびにゃんこ(範囲攻撃)	超絶破壊力＆強靭な体力を備えた<br>破壊をつかさどるネコ神様<br>を目指して成長中のちびにゃんこ(範囲攻撃)	ごくたまに敵をふっとばす、破壊をつかさどる<br>巨大ネコに成長したちびにゃんこ(範囲攻撃)<br>いつまでも無邪気な心は忘れない
314	年末限定スタイルの妹型にゃんこ(範囲攻撃)<br>今年も一年の感謝を込めておうちをきれいにしたい…<br>憧れの人はもねこ(たまにクリティカル)	新年のあいさつを欠かさないねねこ(範囲攻撃)<br>みんなの前で歌う勇気を出すために<br>今年こそは神様にお願いしてみたい(たまにクリティカル)	
315	ペンとパイナップルとリンゴで世界を熱狂させる<br>伝説の男。新婚で78歳の妻がいる。<br>赤い敵の動きをたまに止める(範囲攻撃)	人気者になりたくて流行りに乗ったネコ<br>完コピしたダンスで人気動画NO.1を目指す<br>赤い敵の動きをたまに止める(範囲攻撃)	
316	海洋の全てを支配するオリンポス十二神の一人<br>嵐の神器「三叉の矛」でこの世の万物を打ち砕く<br>ゾンビとメタルな敵の動きを必ず止める(範囲攻撃)	海に浮かぶ大陸までも支配する驚異的な神<br>地嵐の神器「三叉の神矛」で海底から世界を揺るがす<br>ゾンビとメタルな敵の動きを必ず止める(範囲攻撃)	海に浮かぶ大陸までも支配する驚異的な神<br>創造の果実を手に入れ、世界の秩序を破壊する<br>ゾンビとメタルな敵の動きを必ず止める(範囲攻撃)
317	Cat-Pineapple-Apple-Cat、略してCPAC<br>YouTube動画キャンペーンで貰える兄弟ネコ<br>赤い敵にめっぽう強い	Pen-Pineapple-Apple-Pen、略してPPAP<br>とある人気動画に便乗したネコユーチューバー<br>赤い敵にめっぽう強い	
318	ねこの神様に愛された小さな巫女<br>自分の中に眠っているチカラをまだ知る由もない<br>属性を持つ敵に打たれ強い(遠方範囲攻撃)	朝と夜の境目に現れるという純白の花嫁<br>彼女がどこへ嫁いでいくのか、誰も知らない(遠方範囲攻撃)<br>属性を持つ敵に打たれ強く、必ず動きを遅くする	
319	野生の本能を解放したネコ<br>従えるには少々お金がかかる<br>	本能の覚醒が止まらないネコ<br>従えるには少々お金がかかる<br>	
320	321_1仮1<br>321_1仮2<br>321_1仮3	321_2仮1<br>321_2仮2<br>321_2仮3	321_3仮1<br>321_3仮2<br>321_3仮3
321	漫画「ナゾウサギ」から参戦！<br>客寄せのきぐるみを着てレモネードを売っている人<br>	漫画「ナゾウサギ」から参戦！<br>ナゾに支配された世界を変えようと思っている<br>黒い敵に超ダメージを与える	
322	演劇界に現れた天才子役にゃんこ。映画「森」では<br>最優秀助演賞を獲得し「恐ろしい子」と評される<br>天使とゾンビにめっぽう強い(範囲攻撃)	地獄より蘇りし伝説のロックバンド<br>新アルバム「因果応報」をひっさげ報復ツアー中<br>天使とゾンビにめっぽう強い(範囲攻撃)	方向性の違いで解散したビッグバンドが再結成！<br>個性がぶつかり合う新曲「KONTON」絶賛発売中<br>天使とゾンビにめっぽう強い(範囲攻撃)
323	呪われた舞台「猫の怨返し」に出演したために<br>落ち武者ネコに憑りつかれた貧乏役者<br>波動によるダメージを無効にする(範囲攻撃)	初主演を果たした映画ですべてのカットに心霊現象が<br>映り込み、作品がお蔵入りした不幸な貧乏役者<br>波動によるダメージを無効にする(範囲攻撃)	悪霊と共に事件を解決するドラマ「仏滅ポリス」で<br>大ブレイクした役者。稼ぎの９割はネコの懐に入る<br>波動ダメージを無効にし、たまに古代種の動きを止める
324	狙いを定めて一直線に出撃する意志の固いネコ<br>敵にぶつかると二度と動かなくなる石の硬いネコ<br>波動によるダメージを無効にする	波動ダメージを無効化する最新のロボット掃除機ネコ<br>ご使用中のいかなる故障も、当社は一切保証しません<br>…と説明書に書かれている	一直線にターゲットへ向かう最新鋭AI搭載の自動車<br>無人走行の実現に向け試験運転中。ボディは変更予定<br>波動によるダメージを無効化する
325	髪型がそれっぽいという理由だけで<br>ボクシング界にスカウトされたネコ<br>たまにゾンビをふっとばす	世界チャンピオンとの激しい死闘の末に<br>髪が燃え尽き、アフロ芸人として転身を果たしたネコ<br>たまにゾンビをふっとばす	不屈の闘志でボクシング界へ再起を目指すネコ<br>極限の減量によって覚醒…した幻覚が見え始めた<br>たまにゾンビをふっとばす
326	クラッシュフィーバーから参戦!<br>清楚で大人しめだが実は芯の強い女性学者<br>赤い敵に超ダメージを与え、必ずふっとばす(範囲攻撃)	クラッシュフィーバーから参戦!<br>大人の女性に憧れて密かに自分磨きをしている<br>赤い敵に超ダメージを与え、必ずふっとばす(範囲攻撃)	
327	クラッシュフィーバーから参戦！<br>ALICEの重犯罪者を取り締まっているAI<br>体力減少で攻撃力上昇(範囲攻撃)	クラッシュフィーバーから参戦！<br>犯罪者に制裁を加えるも独断行動が多い熱血漢<br>体力減少で攻撃力上昇(範囲攻撃)	
328	クラッシュフィーバーから参戦！<br>いつも幸せそうなコンピューターウィルス(範囲攻撃)<br>	クラッシュフィーバーから参戦！<br>「ハッピー！」という口癖で周りに<br>幸せを振りまく(範囲攻撃)	
329	イースターを全身で満喫するネコ<br>正直なところ何をするのかイマイチわかっていない<br>天使の動きを一瞬遅くする	自分のカラを破ったネコ<br>新しい自分に出会えた気がしている<br>天使の動きを一瞬遅くする	
330	春の陽気に酔いしれる戦国武将<br>異国より伝わりし祭りを見よう見まねで楽しむ<br>天使にめっぽう強く、必ずふっとばす(範囲攻撃)	春の陽気で開放的になった戦国武将<br>キュートな衣装で殿方の視線を絡めとる<br>天使にめっぽう強く、必ずふっとばす(範囲攻撃)	
331	純粋無垢な子供の魂をこよなく愛するパペット<br>タマゴを見つけた子は夢の国へご招待(範囲攻撃)<br>赤い敵と黒い敵しか攻撃できないが超破壊力を備える	子供が探し出したイースターエッグを<br>ピータンにすり替える極悪パペット(範囲攻撃)<br>赤い敵とゾンビしか攻撃できないが超破壊力を備える	
332	イースター限定スタイルの妹型にゃんこ<br>タマゴを隠したいけどいい場所が思いつかない…<br>憧れの人はもねこ(たまにクリティカル)	姉の代わりにカーニバルに参加させられたねねこ<br>可愛い衣装は好きだけど自分で着るのは<br>ちょっと恥ずかしい(たまにクリティカル)	
333	冷たい世界に生まれたもう一匹のガオウの姿<br>強大な力を求め彷徨う<br>属性を持たない敵に超ダメージを与える(範囲攻撃)	自らの無力さに絶望する者の前にのみ現れる幻のネコ<br>属性を持たない敵に超ダメージを与え<br>必ず動きを一瞬止める(範囲攻撃)	
334	異世界からやってきた絶命系狐娘<br>人見知りで素顔も見せず、ひっそりと現世をさまよう<br>たまに浮いてる敵と天使の動きを遅くする(範囲攻撃)	本来の姿を現した九尾の狐姫<br>しっぽがかわいいと言われたあの日から素顔でいられる<br>たまに浮いてる敵と天使の動きを遅くする(範囲攻撃)	妖狐の姿から転生し神格化した狐姫<br>素顔で過ごせる今を慈しみ小さな恵みをもたらす<br>たまに浮いてる敵と天使の動きを遅くする(範囲攻撃)
335	異世界からやってきた絶命系人魚娘<br>液晶越しの彼氏とデートを重ねる毎日<br>赤い敵に打たれ強く、必ず攻撃力を下げる	偉大な恋のチカラで美貌と両足を手に入れた人魚姫<br>画面の向こうの愛しい彼が生きる力を与えてくれる<br>赤い敵に打たれ強く、必ず攻撃力を下げる	イケメンと暮らすために竜宮城を建てた人魚姫<br>毎日ゲームをしながらイケメンがくる日を夢見てる<br>赤い敵に打たれ強く、必ず攻撃力を下げる
336	異世界からやってきた絶命系ミイラ娘<br>塗りすぎた化粧品の防腐剤効果でミイラになった美魔女<br>エイリアンとゾンビに超ダメージを与える(範囲攻撃)	新商品の化粧品でお肌もピチピチで復活した<br>美女ミイラ。「おしゃれは足元から」が信条<br>エイリアンとゾンビに超ダメージを与える(範囲攻撃)	死者のミスコンで優勝、カリスマとなった美女ミイラ<br>椅子を使った美容本も完売、その財でまた美を磨く<br>エイリアンとゾンビに超ダメージを与える(範囲攻撃)
337	宝船で遊覧中のケリ姫とネコ達<br>上空からでもスイーツは見逃さない<br>敵を倒したときにお金を多くもらえる(範囲攻撃)	もっとリッチな宝船で遊覧中のケリ姫と金ネコ達<br>上空からでもイケメンは絶対見逃さない<br>敵を倒したときにお金を多くもらえる(範囲攻撃)	プレミアムな宝船で遊覧中のケリ姫と金ネコ達<br>ついにイケメンを発見し現場に急行中<br>敵を倒したときにお金を多くもらえる(範囲攻撃)
338	伝説の武具「にゃんこ扇」の呪いを取り込み、神通力に<br>よって妖狐へと姿を変えた知の武将(遠方範囲攻撃)<br>黒い敵にめっぽう強く、必ず攻撃力を下げる	伝説の武具「にゃんこ扇」の奥義を解放した戦国武将<br>豪華絢爛な金色の矢で仇を討つ(遠方範囲攻撃)<br>黒い敵にめっぽう強く、必ず攻撃力を下げる	伝説の武具「にゃんこ扇」を紅蓮に染めた戦国武将<br>地獄の燐火で怨敵を焼き払う(遠方範囲攻撃)<br>黒い敵にめっぽう強く、必ず攻撃力を下げる
339			
340	"失われし世界"で出会った少女、に影響を受け<br>見よう見まねで不思議な力と飛行能力を習得したにゃんこ<br>たまにエイリアンの動きを一瞬止める	"失われし世界"で出会った少女、に見た目も近づくため、<br>フルオーダーの衣装で美しく進化したにゃんこ<br>たまにエイリアンの動きを一瞬止める	
341	並行世界である失われし世界のユキ<br>気安く名前を呼ばれる事を嫌う<br>天使とエイリアンに超ダメージを与える(範囲攻撃)	ネコの協力を得て新たな赤いタマシイを<br>呼び出す能力を取得した"失われし世界"のユキ<br>天使とエイリアンに超ダメージを与える(範囲攻撃)	ネコに力を借り過ぎたせいで、ネコ耳と<br>尻尾が生えてきた“失われし世界”のユキ<br>天使とエイリアンに超ダメージを与える(範囲攻撃)
342	日頃のご愛顧に感謝を込めるネコ<br>持ち主にささやかな福を招くという<br>敵を倒したときにお金を多くもらえる	みなさまの愛で立派に育ったネコ<br>お礼に満腹の幸せをお届け<br>敵を倒したときにお金を多くもらえる	
343	雨上がりの日に出会って意気投合したなめとネコ<br>粘り強い勝負が得意だが塩には弱い<br>敵の動きを一瞬遅くする(範囲攻撃)	更なる高みを目指すため、乗り手を交替したなめとネコ<br>先行逃げ切りが得意だがやっぱり塩には弱い<br>敵の動きを一瞬遅くする(範囲攻撃)	
344	メルクストーリアから参戦！<br>空の国の翼のない少年。塔の窓から街を眺めて暮らす<br>たまに浮いてる敵をふっとばす(範囲攻撃)	メルクストーリアから参戦！<br>聖女の奇跡で翼を得た少年。不器用だが根は素直<br>たまに浮いてる敵をふっとばす(範囲攻撃)	メルクストーリアから参戦！<br>スケッチブックを片手に各地を巡る空の国の少年<br>たまに浮いてる敵をふっとばす(範囲攻撃)
345	メルクストーリアから参戦！<br>巨大な翼のために聖翼と呼ばれた少女(範囲攻撃)<br>浮いてる敵にめっぽう強く、たまに動きを止める	メルクストーリアから参戦！<br>翼を失ったことで本当の聖女になれた少女(範囲攻撃)<br>浮いてる敵にめっぽう強く、たまに動きを止める	メルクストーリアから参戦！<br>神の奇跡にすがらない生き方を選んだ聖女（範囲攻撃）<br>浮いてる敵にめっぽう強く、必ず動きを止める
346	メルクストーリアから参戦！<br>現世に留まり、兄を探し続ける和の国の少女<br>たまにエイリアンとゾンビの動きを遅くする(範囲攻撃)	メルクストーリアから参戦！<br>愛する兄からの贈り物の着物を大切にしている<br>たまにエイリアンとゾンビの動きを遅くする(範囲攻撃)	
347	人気キャラクターぐでたまが参戦！<br>ネコってかぶるもんじゃないの～？<br>赤い敵にめっぽう強い	人気キャラクターぐでたまが参戦！<br>頑張って進化してもそんなに変わんないって～<br>赤い敵にめっぽう強い	人気キャラクターぐでたまが参戦！<br>こういうのオシャレだと思ってんの～？<br>赤い敵にめっぽう強く、波動ダメージを無効にする
348	人気キャラクターぐでたまが参戦！<br>ネコにかつがれてもやる気出ないんだわ～<br>浮いてる敵に打たれ強い	人気キャラクターぐでたまが参戦！<br>どれだけ揺らされてもおはようございません<br>浮いてる敵に打たれ強い	
349	人気キャラクターぐでたまが参戦！<br>歩くのほんとむりだから～<br>黒い敵に超ダメージを与える(範囲攻撃)	人気キャラクターぐでたまが参戦！<br>急ブレーキやめれ～<br>黒い敵に超ダメージを与える(範囲攻撃)	
350	人気キャラクターぐでたまが参戦！<br>ニセたまさん、はりきってんね～<br>たまに赤い敵とエイリアンをふっとばす(範囲攻撃)	人気キャラクターぐでたまが参戦！<br>その恰好、おしゃれだとおもってんの～？<br>たまに赤い敵とエイリアンをふっとばす(範囲攻撃)	
351	双掌技をマスターした無邪気な双子<br>阿吽の呼吸で肉球メカを操り、放たれる素早い連撃は<br>黒い敵とエイリアンに超ダメージを与える(範囲攻撃)	格闘技を極めた、いつも仲良しの双子<br>阿吽の拳で校門前の先生をぶっ飛ばし、皆勤賞を狙う<br>黒い敵とエイリアンに超ダメージを与える(範囲攻撃)	双掌技の極意を伝承した選ばれし双子<br>洗練された阿吽の攻撃は校舎を粉々に破壊する<br>黒い敵とエイリアンに超ダメージを与える(範囲攻撃)
352	豆大福１個でにゃんこ軍団に入った伝説の仙人<br>最近物忘れが激しいが、武術の極意は忘れない<br>素早い連撃で波動を放つ(範囲攻撃)	アレ１個でなんちゃら軍団に入った伝説の老師<br>最近物忘れが激しいが、アレの極意は忘れない<br>素早いアレでアレを放つ(範囲攻撃)	
353			
354	数年ぶりに引っぱり出した水着ではしゃぐ天然少女<br>レンタル浮輪「とりとん」を乗りこなし熱い視線が集まる<br>黒い敵とゾンビに打たれ強い(範囲攻撃)	真夏の暑さで波のように流されやすくなったカイ<br>いつか誰かとひと夏の恋に溺れてみたい<br>黒い敵とゾンビに打たれ強い(範囲攻撃)	
355	古代学術である天体力学を武器転用した移動型兵器<br>属性を持つ敵にしか攻撃できないが<br>超破壊力を備える(範囲攻撃)	銀河統一を掲げ選抜オペレーターのみ擁する<br>惑星破壊兵器。属性を持つ敵にしか攻撃できないが<br>超破壊力を備える(範囲攻撃)	全宇宙の選抜オペレーターのみ擁する<br>銀河破壊兵器。属性を持つ敵にしか攻撃できないが<br>超破壊力を備える(全方位攻撃)
356	漫画「にゃんこ大戦争～日本侵略秘録～」から参戦！<br>神様からネコカン２個で勧誘された期待の新人<br>黒い敵にめっぽう強い	漫画「にゃんこ大戦争～日本侵略秘録～」から参戦！<br>身体に宿ったとある力によって『覚醒』した<br>黒い敵にめっぽう強い	
357	異世界からやってきた絶命系狼娘<br>SNSで狼が来た事を拡散し、嘘八百で人を惑わす<br>たまに天使とエイリアンをふっとばす(範囲攻撃)	嘘のつきすぎでSNSが炎上した狼姫<br>最新の投稿は「炎上して熱いので脱いじゃいまーす☆」<br>たまに天使とエイリアンをふっとばす(範囲攻撃)	炎上マーケティングで荒稼ぎし豪邸をゲットした狼姫<br>「フォローしてくれたら1億円あげちゃいまーす☆」<br>たまに天使とエイリアンをふっとばす(範囲攻撃)
358	異世界からやってきた絶命系ゾンビ娘<br>空っぽの心とお腹を満たしてくれる誰かを待っている<br>たまにクリティカルを放つ(範囲攻撃)	真実の愛にたどり着き、満たされたゾンビの花嫁<br>幸せで一杯だが心とお腹は別腹<br>たまにクリティカルを放つ(範囲攻撃)	愛する夫達の遺産で贅沢の限りを極めたゾンビ花嫁<br>バツの数だけ心も懐も潤って、幸せでお腹いっぱい<br>たまにクリティカルを放つ(範囲攻撃)
359	宇宙の果てからやって来た火の精霊<br>降り立った星に炎の源を宿すと言われている<br>エイリアンに超ダメージを与える	太陽を焼き尽くすほどの炎を操る精霊<br>爆発的なパワーはバリアをも貫く力を持つ<br>エイリアンに打たれ強く、超ダメージを与える	銀河をも灰にする強大な炎の力を手にした猛火の精霊<br>ビッグバンを超えるパワーはバリアを貫く力を持ち<br>エイリアンに打たれ強く、超ダメージを与える
360	宇宙の果てからやって来た水の精霊<br>降り立った星に水の源を宿すと言われている<br>たまにエイリアンをふっとばして動きを遅くする	大地を削るほどの流水を操る精霊<br>清く荒々しい水柱はバリアをも貫く力を持つ<br>エイリアンに打たれ強く、ふっとばして動きを遅くする	星座をも洗い流す強大な力を手にした流水の精霊王<br>天の川を水源とする水柱はバリアを貫く力を持ち<br>エイリアンに打たれ強く、ふっとばして動きを遅くする
361	宇宙の果てからやって来た風の精霊<br>降り立った星に風の源を宿すと言われている<br>(遠方範囲攻撃)	大陸を吹き飛ばすほどの嵐を操る精霊<br>凄まじい突風はバリアをも貫く力を持つ<br>エイリアンに打たれ強い(遠方範囲攻撃)	星雲をも消し飛ばす強大な力を手にした嵐の精霊王<br>宇宙を荒らす大嵐はバリアを貫く力を持ち<br>エイリアンに打たれ強い(遠方範囲攻撃)
362	Fate/stay night [HF]から参戦！<br>衛宮士郎と契約を交わした剣士の英霊<br>浮いてる敵に超ダメージを与える(遠方範囲攻撃)	Fate/stay night [HF]から参戦！<br>最優のクラスで、強力な宝具を持つ<br>浮いてる敵に超ダメージを与える(遠方範囲攻撃)	Fate/stay night [HF]から参戦！<br>漆黒の鎧をまとった謎の剣士。セイバーに似ているが…<br>浮いてる敵に超ダメージを与える(遠方範囲攻撃)
363	Fate/stay night [HF]から参戦！<br>アーチャーを召喚し聖杯戦争に挑む<br>たまにエイリアンとゾンビをふっとばす(範囲攻撃)	Fate/stay night [HF]から参戦！<br>衛宮士郎の同級生で、冬木の管理者・遠坂の継承者<br>たまにエイリアンとゾンビをふっとばす(範囲攻撃)	
364	Fate/stay night [HF]から参戦！<br>バーサーカーと契約を交わし、戦いに挑む少女<br>たまに赤い敵とメタルな敵の動きを遅くする(範囲攻撃)	Fate/stay night [HF]から参戦！<br>聖杯戦争御三家の一つ、アインツベルンの名をもつ<br>たまに赤い敵とメタルな敵の動きを遅くする(範囲攻撃)	
365	Fate/stay night [HF]から参戦！<br>遠坂凛と契約を交わした弓兵の英霊<br>波動によるダメージを無効にする(遠方範囲攻撃)	Fate/stay night [HF]から参戦！<br>衛宮士郎のことを敵視しているが真意は不明<br>波動によるダメージを無効にする(遠方範囲攻撃)	
366	Fate/stay night [HF]から参戦！<br>マスター不明の槍兵の英霊<br>必ずバリアを貫く(範囲攻撃)	Fate/stay night [HF]から参戦！<br>高い敏捷性を誇り、セイバーと互角に渡り合う<br>必ずバリアを貫く(範囲攻撃)	
367	Fate/stay night [HF]から参戦！<br>間桐慎二と契約を交わした騎兵の英霊<br>天使の動きをしばらく止める(範囲攻撃)	Fate/stay night [HF]から参戦！<br>機動力に優れ、結界を張る魔術なども得意とする<br>天使の動きをしばらく止める(範囲攻撃)	
368	Fate/stay night [HF]から参戦！<br>不敵な笑みで現れた謎の青年<br>体力低下で攻撃力上昇(遠方範囲攻撃)	Fate/stay night [HF]から参戦！<br>その正体は存在しないはずの8人目の英霊<br>体力低下で攻撃力上昇(遠方範囲攻撃)	
369	ある夜に見た金髪の剣士に憧れるネコ<br>まずは体力づくり、と竹刀を振り回す<br>浮いてる敵にめっぽう強い	誰かから召喚されることを夢見るネコ剣士<br>冷静沈着と本人は思っている<br>浮いてる敵にめっぽう強い	いつまでたっても召喚されないので<br>カッとなって黒く染めてみたネコ剣士<br>浮いてる敵にめっぽう強く、全妨害効果を無効にする
370	健気でおっとりとした少女に一途な想いを秘めたネコ<br>得意料理は創作洋食<br>ごくたまにクリティカル攻撃を出す	日々家事スキルを磨き続けているネコ<br>毎朝の「おはようございます」は欠かさない<br>ごくたまにクリティカル攻撃を出す	一途な想いをフライパンに込めたネコ<br>フルスイングで想いを伝える<br>ごくたまにメタルな敵をふっとばし、クリティカル
371	とある学園の優雅な美少女に憧れるネコ<br>優等生であるべく美しい振る舞いから勉強中<br>たまにエイリアンをふっとばす	優雅さに磨きをかけたネコ<br>本番に弱いのがたまにキズ<br>たまにエイリアンをふっとばす	
372	銀色の髪と赤い瞳の少女に憧れるネコ<br>手始めに小鳥を飼ってみた<br>たまに赤い敵の動きを遅くする	古き血筋で由緒正しき名をもつ<br>と思いこんでいるネコ。最近冬服を新調した<br>たまに赤い敵の動きを遅くする	
373	Fate/stay night [HF]から参戦！<br>養父の影響で正義の味方を目指す少年<br>黒い敵に打たれ強い	Fate/stay night [HF]から参戦！<br>偶然セイバーを召喚し、聖杯戦争に巻き込まれる<br>黒い敵に打たれ強い	
374	Fate/stay night [HF]から参戦！<br>士郎に憧れる少女。衛宮家の家事を担当している<br>ごくたまにクリティカル攻撃を出す(範囲攻撃)	Fate/stay night [HF]から参戦！<br>「もしわたしが悪い人になったら、許せませんか？」<br>ごくたまにクリティカル攻撃を出す(範囲攻撃)	
375	感謝の気持ちを込めて発行された記念のネコ<br>９０００億万枚限定生産品<br>	感謝の気持ちを込めて発行された記念のネコの中に<br>３枚に１枚の確率で混ざっているレアコイン<br>３枚集めると記念ネコと交換可	
